episode_id,variant_id,entry_variant,direction,entry_ts,exit_ts,exit_type,ep,sl,risk,tp_pts,exit_price,pts,r,context_family,context_tf,trigger_tf,context_id,context_zone_lo,context_zone_hi,contract
EP-02618,EP-02618-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,-1,2018-01-04 09:36:00-05:00,2018-01-04 09:36:00-05:00,STOP,6608.0,6613.240872030173,2.445740280747199,3.668610421120799,6613.240872030173,-2.445740280747199,-1.0,rb,3,3,RB2-023419,6615.0,6615.75,NQH8
EP-02625,EP-02625-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,-1,2018-01-04 09:36:00-05:00,2018-01-04 09:36:00-05:00,STOP,6608.0,6613.240872030173,2.445740280747199,3.668610421120799,6613.240872030173,-2.445740280747199,-1.0,rb,3,3,RB2-023420,6612.0,6612.75,NQH8
EP-02625,EP-02625-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,-1,2018-01-04 09:36:00-05:00,2018-01-04 09:36:00-05:00,STOP,6608.0,6613.240872030173,2.445740280747199,3.668610421120799,6613.240872030173,-2.445740280747199,-1.0,rb,3,3,RB2-023420,6612.0,6612.75,NQH8
EP-02625,EP-02625-ENTRY_ON_IMMEDIATE_DISPLACEMENT,ENTRY_ON_IMMEDIATE_DISPLACEMENT,-1,2018-01-04 09:36:00-05:00,2018-01-04 09:36:00-05:00,STOP,6608.0,6613.240872030173,2.445740280747199,3.668610421120799,6613.240872030173,-2.445740280747199,-1.0,rb,3,3,RB2-023420,6612.0,6612.75,NQH8
EP-02635,EP-02635-ENTRY_ON_TAP,ENTRY_ON_TAP,1,2018-01-04 09:36:00-05:00,2018-01-04 09:36:00-05:00,TARGET,6608.0,6602.759127969827,2.445740280747199,3.668610421120799,6611.668610421121,1.7120181965229657,0.6999999999999699,rb,1,1,RB2-001012,6606.5,6608.25,NQH8
EP-02636,EP-02636-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,-1,2018-01-04 09:38:00-05:00,2018-01-04 09:38:00-05:00,TARGET,6612.75,6618.760218037632,2.8047684175612297,4.207152626341845,6608.542847373658,1.9633378922927314,0.6999999999999539,rb,3,1,RB2-023421,6613.75,6615.25,NQH8
EP-02636,EP-02636-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,-1,2018-01-04 09:38:00-05:00,2018-01-04 09:38:00-05:00,TARGET,6612.75,6618.760218037632,2.8047684175612297,4.207152626341845,6608.542847373658,1.9633378922927314,0.6999999999999539,rb,3,1,RB2-023421,6613.75,6615.25,NQH8
EP-02658,EP-02658-ENTRY_ON_DELAYED_DISPLACEMENT,ENTRY_ON_DELAYED_DISPLACEMENT,-1,2018-01-04 10:03:00-05:00,2018-01-04 10:11:00-05:00,STOP,6594.25,6603.1140564154975,4.136559660565629,6.204839490848443,6603.1140564154975,-4.136559660565629,-1.0,rb,3,3,RB2-023422,6603.0,6605.25,NQH8
EP-02696,EP-02696-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,1,2018-01-04 10:35:00-05:00,2018-01-04 10:42:00-05:00,TARGET,6607.0,6599.780747358928,3.368984565833323,5.053476848749985,6612.05347684875,2.35828919608321,0.6999999999999655,rb,3,1,RB2-023431,6600.0,6603.0,NQH8
EP-03715,EP-03715-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,1,2018-01-05 09:42:00-05:00,2018-01-05 09:57:00-05:00,TARGET,6622.75,6615.855074930334,3.2176316991775438,4.826447548766316,6627.576447548767,2.2523421894243385,0.700000000000018,rb,3,3,RB2-023557,6615.5,6616.0,NQH8
EP-03732,EP-03732-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,1,2018-01-05 10:10:00-05:00,2018-01-05 10:18:00-05:00,TARGET,6625.0,6618.381777993041,3.0885036032474638,4.632755404871196,6629.632755404871,2.1619525222733054,0.7000000000000262,rb,5,5,RB2-032143,6617.5,6620.0,NQH8
EP-04713,EP-04713-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,-1,2018-01-08 10:06:00-05:00,2018-01-08 10:08:00-05:00,TARGET,6666.25,6672.266596353421,2.807744964929706,4.211617447394559,6662.038382552605,1.965421475450749,0.699999999999984,rb,1,1,RB2-001779,6669.75,6671.0,NQH8
EP-05666,EP-05666-ENTRY_ON_FIRST_CLOSE_OUTSIDE,ENTRY_ON_FIRST_CLOSE_OUTSIDE,1,2018-01-09 09:56:00-05:00,2018-01-09 10:06:00-05:00,TARGET,6676.25,6667.715513765279,3.9827602428696443,5.974140364304466,6682.224140364305,2.7879321700086273,0.699999999999969,rb,3,1,RB2-023896,6667.25,6672.5,NQH8
EP-06806,EP-06806-ENTRY_ON_TAP,ENTRY_ON_TAP,-1,2018-01-10 09:40:00-05:00,2018-01-10 09:41:00-05:00,TARGET,6664.0,6671.645645604165,3.5679679486105593,5.351951922915839,6658.648048077084,2.4975775640275137,0.7000000000000343,rb,3,1,RB2-024077,6667.25,6669.0,NQH8
EP-06793,EP-06793-ENTRY_ON_MINIMAL_WICK_REJECTION,ENTRY_ON_MINIMAL_WICK_REJECTION,1,2018-01-10 09:45:00-05:00,2018-01-10 09:49:00-05:00,STOP,6660.25,6651.831908323833,3.928442782211485,5.892664173317227,6651.831908323833,-3.928442782211485,-1.0,rb,3,3,RB2-024075,6652.75,6653.5,NQH8
EP-06888,EP-06888-ENTRY_ON_TAP,ENTRY_ON_TAP,-1,2018-01-10 11:04:00-05:00,2018-01-10 11:20:00-05:00,TARGET,6658.5,6665.570208584256,3.29943067265256,4.94914600897884,6653.5508539910215,2.3096014708566726,0.6999999999999638,rb,3,1,RB2-024079,6660.25,6664.75,NQH8
EP-11009,EP-11009-ENTRY_ON_TAP,ENTRY_ON_TAP,-1,2018-01-16 10:02:00-05:00,2018-01-16 10:03:00-05:00,TARGET,6836.0,6843.1033667584925,3.314904487296622,4.972356730944933,6831.027643269055,2.320433141107726,0.7000000000000273,rb,1,1,RB2-004197,6837.5,6838.5,NQH8
