trigger_id,role,structure_id,family,timeframe,direction,zone_lo,zone_hi,source_ts_et,availability_seq,availability_le_trigger
TRIG-00001,component,RB2-000001,rb,1,1,29892.25,29895.25,2026-07-05 18:14:00-04:00,15,True
TRIG-00002,component,RB2-000002,rb,1,1,29907.25,29911.5,2026-07-05 18:17:00-04:00,18,True
TRIG-00002,target,RB2-000003,rb,1,-1,29909.25,29913.0,2026-07-05 18:18:00-04:00,19,True
TRIG-00003,component,RB2-000003,rb,1,-1,29909.25,29913.0,2026-07-05 18:18:00-04:00,19,True
TRIG-00003,target,RB2-000001,rb,1,1,29892.25,29895.25,2026-07-05 18:14:00-04:00,15,True
TRIG-00004,component,RB2-000004,rb,1,-1,29929.5,29939.0,2026-07-05 18:20:00-04:00,21,True
TRIG-00004,target,RB2-000005,rb,1,1,29922.5,29927.25,2026-07-05 18:21:00-04:00,22,True
TRIG-00005,component,RB2-000005,rb,1,1,29922.5,29927.25,2026-07-05 18:21:00-04:00,22,True
TRIG-00005,target,RB2-000006,rb,1,-1,29942.0,29948.75,2026-07-05 18:22:00-04:00,23,True
TRIG-00006,component,RB2-000006,rb,1,-1,29942.0,29948.75,2026-07-05 18:22:00-04:00,23,True
TRIG-00006,target,RB2-000005,rb,1,1,29922.5,29927.25,2026-07-05 18:21:00-04:00,22,True
TRIG-00007,component,RB2-000007,rb,1,-1,29930.25,29932.25,2026-07-05 18:26:00-04:00,27,True
TRIG-00007,target,RB2-000005,rb,1,1,29922.5,29927.25,2026-07-05 18:21:00-04:00,22,True
TRIG-00008,component,RB2-000009,rb,1,-1,29952.25,29957.0,2026-07-05 18:34:00-04:00,35,True
TRIG-00008,target,RB2-000004,rb,1,-1,29929.5,29939.0,2026-07-05 18:20:00-04:00,21,True
TRIG-00009,component,RB2-000008,rb,1,-1,29957.25,29959.25,2026-07-05 18:33:00-04:00,34,True
TRIG-00009,target,RB2-000009,rb,1,-1,29952.25,29957.0,2026-07-05 18:34:00-04:00,35,True
TRIG-00010,component,RB2-000010,rb,1,-1,29962.5,29966.5,2026-07-05 18:37:00-04:00,38,True
TRIG-00010,target,RB2-000011,rb,1,1,29959.25,29961.75,2026-07-05 18:38:00-04:00,39,True
TRIG-00011,component,RB2-000011,rb,1,1,29959.25,29961.75,2026-07-05 18:38:00-04:00,39,True
TRIG-00011,target,RB2-000010,rb,1,-1,29962.5,29966.5,2026-07-05 18:37:00-04:00,38,True
TRIG-00012,component,RB2-000012,rb,1,1,29959.5,29965.0,2026-07-05 18:41:00-04:00,42,True
TRIG-00013,component,RB2-000013,rb,1,-1,29966.25,29971.0,2026-07-05 18:42:00-04:00,43,True
TRIG-00013,target,RB2-000010,rb,1,-1,29962.5,29966.5,2026-07-05 18:37:00-04:00,38,True
TRIG-00014,component,RB2-000015,rb,1,-1,29972.75,29976.25,2026-07-05 18:45:00-04:00,46,True
TRIG-00014,target,RB2-000013,rb,1,-1,29966.25,29971.0,2026-07-05 18:42:00-04:00,43,True
TRIG-00015,component,RB2-000016,rb,1,-1,29975.5,29979.0,2026-07-05 18:47:00-04:00,48,True
TRIG-00015,target,FVG2-000747,fvg,3,1,29968.5,29969.0,2026-07-05 18:48:00-04:00,48,True
TRIG-00016,component,RB2-000014,rb,1,1,29965.5,29968.75,2026-07-05 18:44:00-04:00,45,True
TRIG-00016,target,FVG2-000747,fvg,3,1,29968.5,29969.0,2026-07-05 18:48:00-04:00,48,True
TRIG-00017,component,RB2-000017,rb,1,1,29970.25,29972.5,2026-07-05 18:48:00-04:00,49,True
TRIG-00017,target,FVG2-000747,fvg,3,1,29968.5,29969.0,2026-07-05 18:48:00-04:00,48,True
TRIG-00018,component,IFVG2-000387,ifvg,3,-1,29968.5,29969.0,2026-07-05 18:51:00-04:00,51,True
TRIG-00018,component,FVG2-000747,fvg,3,1,29968.5,29969.0,2026-07-05 18:48:00-04:00,48,True
TRIG-00018,target,RB2-000011,rb,1,1,29959.25,29961.75,2026-07-05 18:38:00-04:00,39,True
