family,subtype,implemented,unit_tested,detected_in_dev_history,eligible_as_origin,eligible_as_transition,eligible_as_trigger,eligible_for_continuation,eligible_for_fade,generated_occurrence_count,rejection_count,reason_for_zero
fvg,formation:bullish,True,True,674,True,True,True,True,False,674,1367,
fvg,formation:bearish,True,True,612,True,True,True,True,False,612,1367,
ifvg,formation:bullish,True,True,585,True,True,True,False,True,585,954,
ifvg,formation:bearish,True,True,612,True,True,True,False,True,612,954,
rejection_block,formation:bullish,True,True,330,True,True,True,True,False,330,794,
rejection_block,formation:bearish,True,True,304,True,True,True,True,False,304,794,
displacement,formation:good,True,True,566,True,True,True,True,False,566,473,
displacement,formation:mixed,True,True,1604,True,True,True,True,False,1604,473,
displacement,formation:bad,True,True,140,True,True,True,True,False,140,473,
time_anchor,formation:asia_open,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:hl_0900_high,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:hl_0900_low,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:hl_0930_high,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:hl_0930_low,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:hl_1000_high,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:hl_1000_low,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:london_open,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:midnight_open,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:ny_session_open,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:open_0900,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:open_0930,True,True,4,True,True,True,True,True,4,604,
time_anchor,formation:open_1000,True,True,4,True,True,True,True,True,4,604,
hist_level,formation:prev_3session_high,True,True,1,True,True,True,True,True,1,521,
hist_level,formation:prev_3session_low,True,True,1,True,True,True,True,True,1,521,
hist_level,formation:prev_day_high,True,True,3,True,True,True,True,True,3,521,
hist_level,formation:prev_day_low,True,True,3,True,True,True,True,True,3,521,
hist_level,formation:prev_rth_close,True,True,3,True,True,True,True,True,3,521,
hist_level,formation:prev_rth_high,True,True,3,True,True,True,True,True,3,521,
hist_level,formation:prev_rth_low,True,True,3,True,True,True,True,True,3,521,
liquidity,formation:equal_highs,True,True,142,True,True,True,True,True,142,65747,
liquidity,formation:equal_lows,True,True,141,True,True,True,True,True,141,65747,
liquidity,formation:swing_high,True,True,858,True,True,True,True,True,858,65747,
liquidity,formation:swing_low,True,True,837,True,True,True,True,True,837,65747,
structure,formation:compression,True,True,40,True,True,True,True,True,40,36,
structure,formation:expansion,True,True,415,True,True,True,True,True,415,36,
fvg,state:FORMED,True,True,1286,True,True,True,True,False,1286,1367,
fvg,state:FIRST_TOUCH,True,True,1260,True,True,True,True,False,1260,1367,
fvg,state:FIRST_FILL,True,True,1255,True,True,True,True,False,1255,1367,
fvg,state:MIDPOINT,True,True,1244,True,True,True,True,False,1244,1367,
fvg,state:FULL_FILL,True,True,1234,True,True,True,True,False,1234,1367,
fvg,state:REVISIT,True,True,979,True,True,True,True,False,979,1367,
fvg,state:FAILURE,True,True,1197,True,True,True,True,False,1197,1367,
fvg,state:CONTINUATION,True,True,26,True,True,True,True,False,26,1367,
ifvg,state:CONFIRMED,True,True,1197,True,True,True,False,True,1197,954,
ifvg,state:FIRST_TOUCH,True,True,1181,True,True,True,False,True,1181,954,
ifvg,state:REVISIT,True,True,858,True,True,True,False,True,858,954,
ifvg,state:REJECTION,True,True,734,True,True,True,False,True,734,954,
ifvg,state:REINVERSION,True,True,1118,True,True,True,False,True,1118,954,
rejection_block,state:FORMED,True,True,634,True,True,True,True,False,634,794,
rejection_block,state:CONFIRMED,True,True,439,True,True,True,True,False,439,794,
rejection_block,state:FIRST_TOUCH,True,True,429,True,True,True,True,False,429,794,
rejection_block,state:EXACT_TOUCH,True,True,112,True,True,True,True,False,112,794,
rejection_block,state:REVISIT,True,True,373,True,True,True,True,False,373,794,
rejection_block,state:REJECTION,True,True,307,True,True,True,True,False,307,794,
rejection_block,state:INVALIDATION,True,True,408,True,True,True,True,False,408,794,
rejection_block,state:FAILURE,True,True,194,True,True,True,True,False,194,794,
displacement,state:FORMED,True,True,2310,True,True,True,True,False,2310,473,
displacement,state:CONTINUATION,True,True,1055,True,True,True,True,False,1055,473,
displacement,state:FAILED_CONTINUATION,True,True,250,True,True,True,True,False,250,473,
time_anchor,state:FIRST_TOUCH,True,True,51,True,True,True,True,True,51,604,
time_anchor,state:SWEEP,True,True,48,True,True,True,True,True,48,604,
time_anchor,state:BREAK,True,True,52,True,True,True,True,True,52,604,
time_anchor,state:RECLAIM,True,True,46,True,True,True,True,True,46,604,
time_anchor,state:REJECTION,True,True,48,True,True,True,True,True,48,604,
time_anchor,state:ACCEPTANCE_ABOVE,True,True,46,True,True,True,True,True,46,604,
time_anchor,state:ACCEPTANCE_BELOW,True,True,51,True,True,True,True,True,51,604,
time_anchor,state:CONTINUATION,True,True,52,True,True,True,True,True,52,604,
hist_level,state:FIRST_TOUCH,True,True,6,True,True,True,True,True,6,521,
hist_level,state:SWEEP,True,True,6,True,True,True,True,True,6,521,
hist_level,state:BREAK,True,True,17,True,True,True,True,True,17,521,
hist_level,state:RECLAIM,True,True,6,True,True,True,True,True,6,521,
hist_level,state:REJECTION,True,True,6,True,True,True,True,True,6,521,
hist_level,state:ACCEPTANCE_ABOVE,True,True,12,True,True,True,True,True,12,521,
hist_level,state:ACCEPTANCE_BELOW,True,True,11,True,True,True,True,True,11,521,
hist_level,state:CONTINUATION,True,True,17,True,True,True,True,True,17,521,
liquidity,state:CONFIRMED,True,True,1978,True,True,True,True,True,1978,65747,
liquidity,state:FIRST_TOUCH,True,True,1884,True,True,True,True,True,1884,65747,
liquidity,state:SWEEP,True,True,1851,True,True,True,True,True,1851,65747,
liquidity,state:BREAK,True,True,1978,True,True,True,True,True,1978,65747,
liquidity,state:RECLAIM,True,True,1848,True,True,True,True,True,1848,65747,
liquidity,state:REJECTION,True,True,1851,True,True,True,True,True,1851,65747,
liquidity,state:CONTINUATION,True,True,1976,True,True,True,True,True,1976,65747,
vwap,state:REJECTION,True,True,9,True,True,True,True,True,9,629,
vwap,state:RECLAIM,True,True,9,True,True,True,True,True,9,629,
vwap,state:BREAK,True,True,9,True,True,True,True,True,9,629,
vwap,state:ACCEPTANCE_ABOVE,True,True,9,True,True,True,True,True,9,629,
vwap,state:ACCEPTANCE_BELOW,True,True,8,True,True,True,True,True,8,629,
vwap,state:CONTINUATION,True,True,9,True,True,True,True,True,9,629,
structure,state:COMPRESSION,True,True,40,True,True,True,True,True,40,36,
structure,state:EXPANSION,True,True,425,True,True,True,True,True,425,36,
structure,state:BREAK,True,True,40,True,True,True,True,True,40,36,
structure,state:CONTINUATION,True,True,28,True,True,True,True,True,28,36,
