candidate_id,source_branch_id,source_episode_id,trigger_event_id,direction,entry_mode,continuation_or_fade,trigger_family,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,stop_anchor_type,stop_anchor_object_id,target_anchor_type,target_anchor_object_id,parent_fvg_id,effective_sample,shrunk_expected_R,qualification,outcome
GNC-000003,GBR-000014,GEP-000005,EVT-0000035,short,first_touch,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FIRST_TOUCH -> FIRST_TOUCH_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,13,22996.0,22998.5,22977.0,7.6,1.0,fvg_boundary,FVG-000002,opposing_liquidity,LVL-000070,,0,0.0,RECORDED_NOT_ACTIVATED,WIN
GNC-000004,GBR-000015,GEP-000005,EVT-0000036,short,first_fill,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FIRST_FILL -> FIRST_FILL_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,13,22997.0,22998.5,22977.0,13.3333,1.0,fvg_boundary,FVG-000002,opposing_liquidity,LVL-000070,,0,0.0,RECORDED_NOT_ACTIVATED,WIN
GNC-000005,GBR-000016,GEP-000005,EVT-0000037,short,midpoint,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_MIDPOINT -> MIDPOINT_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,13,22997.0,22998.5,22977.0,13.3333,1.0,fvg_boundary,FVG-000002,opposing_liquidity,LVL-000070,,0,0.0,RECORDED_NOT_ACTIVATED,WIN
GNC-000006,GBR-000007,GEP-000003,EVT-0000042,short,first_touch,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FIRST_TOUCH -> FIRST_TOUCH_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,15,23005.0,23006.25,22988.25,13.4,1.0,fvg_boundary,FVG-000001,opposing_liquidity,LVL-000072,,0,0.0,RECORDED_NOT_ACTIVATED,AMBIGUOUS
GNC-000007,GBR-000008,GEP-000003,EVT-0000043,short,first_fill,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FIRST_FILL -> FIRST_FILL_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,15,23005.375,23006.25,22988.25,19.5714,1.0,fvg_boundary,FVG-000001,opposing_liquidity,LVL-000072,,0,0.0,RECORDED_NOT_ACTIVATED,AMBIGUOUS
GNC-000008,GBR-000009,GEP-000003,EVT-0000044,short,midpoint,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_MIDPOINT -> MIDPOINT_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,15,23005.375,23006.25,22988.25,19.5714,1.0,fvg_boundary,FVG-000001,opposing_liquidity,LVL-000072,,0,0.0,RECORDED_NOT_ACTIVATED,AMBIGUOUS
GNC-000009,GBR-000010,GEP-000003,EVT-0000045,short,full_fill,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FULL_FILL -> FULL_FILL_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,15,23005.75,23006.25,22988.25,35.0,1.0,fvg_boundary,FVG-000001,opposing_liquidity,LVL-000072,,0,0.0,RECORDED_NOT_ACTIVATED,AMBIGUOUS
GNC-000010,GBR-000017,GEP-000005,EVT-0000047,short,full_fill,continuation,fvg_fill,BEARISH_FVG_FORMED -> BEARISH_FVG_FULL_FILL -> FULL_FILL_SHORT_TRIGGER,GAP_FORMATION -> GAP_FILL -> ENTRY_TRIGGER,15,22998.0,22998.5,22988.25,19.5,1.0,fvg_boundary,FVG-000002,opposing_liquidity,LVL-000072,,0,0.0,RECORDED_NOT_ACTIVATED,LOSS
GNC-000011,GBR-000020,GEP-000007,EVT-0000053,long,formation_close,fade,ifvg_activation,BEARISH_FVG_FORMED -> BEARISH_FVG_FAILURE -> BULLISH_IFVG_ACTIVATION -> FORMATION_CLOSE_LONG_TRIGGER,GAP_FORMATION -> GAP_FAILURE -> INVERSION_ACTIVATION -> ENTRY_TRIGGER,15,23004.0,22995.5,23022.0,2.1176,1.0,ifvg_invalidation_boundary,IFVG-000001,opposing_liquidity,LVL-000071,FVG-000002,0,0.0,RECORDED_NOT_ACTIVATED,LOSS
GNC-000012,GBR-000021,GEP-000007,EVT-0000053,long,next_bar,fade,ifvg_activation,BEARISH_FVG_FORMED -> BEARISH_FVG_FAILURE -> BULLISH_IFVG_ACTIVATION -> NEXT_BAR_LONG_TRIGGER,GAP_FORMATION -> GAP_FAILURE -> INVERSION_ACTIVATION -> ENTRY_TRIGGER,16,23003.0,22995.5,23022.0,2.5333,1.0,ifvg_invalidation_boundary,IFVG-000001,opposing_liquidity,LVL-000071,FVG-000002,0,0.0,RECORDED_NOT_ACTIVATED,LOSS
