variant_id,episode_id,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,match_mode,cross_lookback,match_prev_1_session,match_prev_3_sessions,match_prev_10_sessions,match_prev_20_sessions,entry_price,effective_stop_price,target_price,exit_type,points,gross_r,mfe_points,mae_points,success
EP-42403-ENTRY_ON_TAP,EP-42403,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29796.75,29826.25,29572.25,STOP,-29.5,-1.0,6.5,-47.0,False
EP-42422-ENTRY_ON_TAP,EP-42422,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29794.75,29812.6959,29572.25,STOP,-17.9459,-1.0,5.25,-18.75,False
EP-42428-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42428,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29797.0,29815.1527,29572.25,STOP,-18.1527,-1.0,4.0,-35.75,False
EP-42441-ENTRY_ON_TAP,EP-42441,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29782.5,29799.3647,29572.25,STOP,-16.8647,-1.0,5.5,-17.0,False
EP-42441-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42441,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29777.75,29798.5,29572.25,STOP,-20.75,-1.0,50.75,-24.25,False
EP-42442-ENTRY_ON_TAP,EP-42442,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29783.25,29800.2412,29572.25,STOP,-16.9912,-1.0,56.25,-18.75,False
EP-42442-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42442,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29764.0,29799.5,29572.25,STOP,-35.5,-1.0,37.0,-38.0,False
EP-42450-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42450,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29751.5,29769.4698,29572.25,STOP,-17.9698,-1.0,8.25,-18.75,False
EP-42451-ENTRY_ON_TAP,EP-42451,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29751.5,29769.4698,29572.25,STOP,-17.9698,-1.0,8.25,-18.75,False
EP-42535-ENTRY_ON_TAP,EP-42535,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29687.5,29698.9275,29572.25,STOP,-11.4275,-1.0,5.5,-15.0,False
EP-42536-ENTRY_ON_TAP,EP-42536,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,REDUCED_FAMILY,TWENTY_SESSION_ONLY,,,,REDUCED_FAMILY,29688.5,29699.7837,29572.25,STOP,-11.2837,-1.0,0.0,-14.0,False
