id,family,subtype,segment_id,created_seq,created_ts,lo,hi,events
FVG-000001,fvg,bearish,0,10,2025-07-06 22:10:00+00:00,23005.0,23005.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000002,fvg,bearish,0,12,2025-07-06 22:12:00+00:00,22996.0,22998.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000003,fvg,bullish,0,16,2025-07-06 22:16:00+00:00,22995.0,23001.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000004,fvg,bearish,0,21,2025-07-06 22:21:00+00:00,23000.75,23002.5,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|REVISIT|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000005,fvg,bearish,0,22,2025-07-06 22:22:00+00:00,22996.0,22997.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000006,fvg,bearish,0,25,2025-07-06 22:25:00+00:00,22992.5,22996.25,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000007,fvg,bearish,0,26,2025-07-06 22:26:00+00:00,22989.0,22991.75,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|FAILURE
FVG-000008,fvg,bearish,0,27,2025-07-06 22:27:00+00:00,22986.75,22987.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000009,fvg,bullish,0,31,2025-07-06 22:31:00+00:00,22985.25,22986.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000010,fvg,bearish,0,33,2025-07-06 22:33:00+00:00,22983.5,22986.0,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000011,fvg,bullish,0,35,2025-07-06 22:35:00+00:00,22983.5,22986.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000012,fvg,bullish,0,37,2025-07-06 22:37:00+00:00,22990.5,22991.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000013,fvg,bearish,0,41,2025-07-06 22:41:00+00:00,22992.5,22992.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000014,fvg,bullish,0,47,2025-07-06 22:47:00+00:00,22993.0,22994.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000015,fvg,bearish,0,49,2025-07-06 22:49:00+00:00,22994.25,22994.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000016,fvg,bearish,0,54,2025-07-06 22:54:00+00:00,22988.0,22988.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|REVISIT|FAILURE
FVG-000017,fvg,bearish,0,59,2025-07-06 22:59:00+00:00,22984.75,22989.25,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000018,fvg,bearish,0,60,2025-07-06 23:00:00+00:00,22977.75,22983.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
FVG-000019,fvg,bullish,0,68,2025-07-06 23:08:00+00:00,22970.25,22972.25,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000020,fvg,bullish,0,71,2025-07-06 23:11:00+00:00,22974.75,22987.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|MIDPOINT|REVISIT|REVISIT|REVISIT|REVISIT|EXACT_TOUCH|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|FAILURE
FVG-000021,fvg,bullish,0,77,2025-07-06 23:17:00+00:00,22988.75,22991.75,FORMED|EXACT_TOUCH|FIRST_TOUCH|REVISIT|FIRST_FILL|MIDPOINT|REVISIT|REVISIT|REVISIT|FULL_FILL|REVISIT|FAILURE
FVG-000022,fvg,bullish,0,83,2025-07-06 23:23:00+00:00,22994.5,23000.5,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|MIDPOINT|FULL_FILL|FAILURE
FVG-000023,fvg,bullish,0,84,2025-07-06 23:24:00+00:00,23001.25,23001.75,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|REVISIT|FULL_FILL|FAILURE
FVG-000024,fvg,bearish,0,89,2025-07-06 23:29:00+00:00,22992.5,23000.0,FORMED|FIRST_TOUCH|FIRST_FILL|REVISIT|REVISIT|REVISIT|MIDPOINT|FULL_FILL|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|REVISIT|EXPIRY
FVG-000025,fvg,bearish,0,91,2025-07-06 23:31:00+00:00,22986.0,22987.5,FORMED|FIRST_TOUCH|FIRST_FILL|MIDPOINT|FULL_FILL|FAILURE
