variant_id,episode_id,symbol,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,executable,interaction_ts,trigger_ts,entry_ts,entry_price,atr_1m_24,atr_5m_24,raw_stop_price,raw_stop_distance,effective_stop_price,effective_stop_distance,stop_widened_by_atr_floor,target_surface,target_family,target_tf,target_distance,target_distance_atr5_multiple,natural_rr,rejection_reason,match_prev_1_session,support_prev_1_session,items_prev_1_session,match_prev_3_sessions,support_prev_3_sessions,items_prev_3_sessions,match_prev_10_sessions,support_prev_10_sessions,items_prev_10_sessions,match_prev_20_sessions,support_prev_20_sessions,items_prev_20_sessions,cross_lookback,rejection_reason
EP-42317-ENTRY_ON_TAP,EP-42317,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,False,2026-07-12 20:06:00-04:00,2026-07-12 20:07:00-04:00,2026-07-12 20:07:00-04:00,29996.0,16.7995,28.2905,29977.75,18.25,30014.25,18.25,False,,,,,,,NO_STRUCTURAL_STOP,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,NO_STRUCTURAL_STOP
EP-42325-ENTRY_ON_TAP,EP-42325,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,False,2026-07-12 20:11:00-04:00,2026-07-12 20:12:00-04:00,2026-07-12 20:12:00-04:00,30022.0,18.6157,29.3721,30041.0,19.0,30041.0,19.0,False,30021.75,ifvg,1,0.25,0.0085,0.0132,TARGET_DISTANCE_BELOW_5M_ATR24,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,TARGET_DISTANCE_BELOW_5M_ATR24
EP-42326-ENTRY_ON_TAP,EP-42326,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,3,1,True,False,2026-07-12 20:12:00-04:00,2026-07-12 20:13:00-04:00,2026-07-12 20:13:00-04:00,30014.25,18.4755,29.3721,30041.0,26.75,30041.0,26.75,False,30013.5,ifvg,1,0.75,0.0255,0.028,TARGET_DISTANCE_BELOW_5M_ATR24,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,TARGET_DISTANCE_BELOW_5M_ATR24
EP-42331-ENTRY_ON_TAP,EP-42331,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,ASIA,3,3,False,False,,2026-07-12 20:18:00-04:00,2026-07-12 20:18:00-04:00,29981.25,18.6586,30.0441,30003.5,22.25,29959.0,22.25,False,,,,,,,NO_STRUCTURAL_STOP,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,NO_STRUCTURAL_STOP
EP-42341-ENTRY_ON_TAP,EP-42341,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,ASIA,3,3,False,False,,2026-07-12 20:24:00-04:00,2026-07-12 20:24:00-04:00,30004.0,18.9198,31.886,29958.0,46.0,29958.0,46.0,False,30004.5,ifvg,1,0.5,0.0157,0.0109,TARGET_DISTANCE_BELOW_5M_ATR24,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,TARGET_DISTANCE_BELOW_5M_ATR24
EP-42346-ENTRY_ON_TAP,EP-42346,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,False,2026-07-12 20:27:00-04:00,2026-07-12 20:28:00-04:00,2026-07-12 20:28:00-04:00,29983.25,18.4308,32.4012,30004.5,21.25,30004.5,21.25,False,29983.0,ifvg,1,0.25,0.0077,0.0118,TARGET_DISTANCE_BELOW_5M_ATR24,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,TARGET_DISTANCE_BELOW_5M_ATR24
EP-42346-ENTRY_ON_DELAYED_DISPLACEMENT,EP-42346,NQU6,ENTRY_ON_DELAYED_DISPLACEMENT,DELAYED_DISPLACEMENT,-1,A,ASIA,1,1,False,False,2026-07-12 20:27:00-04:00,2026-07-12 20:30:00-04:00,2026-07-12 20:30:00-04:00,29968.0,18.1179,32.7386,30004.5,36.5,30004.5,36.5,False,29967.0,rb,5,1.0,0.0305,0.0274,TARGET_DISTANCE_BELOW_5M_ATR24,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,TARGET_DISTANCE_BELOW_5M_ATR24
EP-42348-ENTRY_ON_TAP,EP-42348,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,ASIA,3,3,False,False,,2026-07-12 20:30:00-04:00,2026-07-12 20:30:00-04:00,29968.0,18.1179,32.7386,29984.0,16.0,29949.8821,18.1179,True,,,,,,,NO_STRUCTURAL_STOP,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,NO_STRUCTURAL_STOP
EP-42358-ENTRY_ON_TAP,EP-42358,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,ASIA,3,3,False,False,,2026-07-12 20:36:00-04:00,2026-07-12 20:36:00-04:00,29921.25,18.0559,33.8745,29936.25,15.0,29903.1941,18.0559,True,,,,,,,NO_STRUCTURAL_STOP,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,NO_STRUCTURAL_STOP
EP-42360-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42360,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,C,ASIA,1,1,False,False,2026-07-12 20:35:00-04:00,2026-07-12 20:37:00-04:00,2026-07-12 20:37:00-04:00,29912.0,17.9285,33.8745,29942.25,30.25,29942.25,30.25,False,29911.75,ifvg,60,0.25,0.0074,0.0083,TARGET_DISTANCE_BELOW_5M_ATR24,,0,,,0,,,0,,,0,,NO_ACTIONABLE_MATCH,TARGET_DISTANCE_BELOW_5M_ATR24
