variant_id,episode_id,entry_variant,session_date,exit_type,exit_seq,points,r_multiple,success
EP-00012-ENTRY_ON_TAP,EP-00012,ENTRY_ON_TAP,2026-05-31,STOP,57,-12.75,-1.0,False
EP-00014-ENTRY_ON_TAP,EP-00014,ENTRY_ON_TAP,2026-05-31,TARGET,69,13.25,1.4324,True
EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,78,20.0,0.6349,True
EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,78,26.0,1.0196,True
EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,78,26.0,1.3,True
EP-00019-ENTRY_ON_TAP,EP-00019,ENTRY_ON_TAP,2026-05-31,STOP,83,-8.3032,-1.0,False
EP-00020-ENTRY_ON_TAP,EP-00020,ENTRY_ON_TAP,2026-05-31,STOP,86,-8.3219,-1.0,False
EP-00022-ENTRY_ON_TAP,EP-00022,ENTRY_ON_TAP,2026-05-31,TARGET,92,13.0,1.5863,True
EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,118,-25.0,-1.0,False
EP-00026-ENTRY_ON_TAP,EP-00026,ENTRY_ON_TAP,2026-05-31,STOP,97,-8.0754,-1.0,False
EP-00028-ENTRY_ON_TAP,EP-00028,ENTRY_ON_TAP,2026-05-31,STOP,106,-17.0,-1.0,False
EP-00029-ENTRY_ON_IFVG_RETEST,EP-00029,ENTRY_ON_IFVG_RETEST,2026-05-31,TARGET,106,22.25,0.9674,True
EP-00034-ENTRY_ON_TAP,EP-00034,ENTRY_ON_TAP,2026-05-31,STOP,105,-7.4736,-1.0,False
EP-00046-ENTRY_ON_TAP,EP-00046,ENTRY_ON_TAP,2026-05-31,STOP,137,-7.8169,-1.0,False
EP-00047-ENTRY_ON_TAP,EP-00047,ENTRY_ON_TAP,2026-05-31,STOP,137,-7.6162,-1.0,False
EP-00052-ENTRY_ON_TAP,EP-00052,ENTRY_ON_TAP,2026-05-31,TARGET,146,20.5,0.9011,True
EP-00065-ENTRY_ON_TAP,EP-00065,ENTRY_ON_TAP,2026-05-31,TARGET,152,17.0,2.1721,True
EP-00066-ENTRY_ON_TAP,EP-00066,ENTRY_ON_TAP,2026-05-31,TARGET,152,16.75,2.1122,True
EP-00092-ENTRY_ON_TAP,EP-00092,ENTRY_ON_TAP,2026-05-31,STOP,174,-31.5,-1.0,False
EP-00102-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00102,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,179,29.25,1.0833,True
EP-00102-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00102,ENTRY_ON_MINIMAL_WICK_REJECTION,2026-05-31,TARGET,179,29.25,1.0833,True
EP-00102-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00102,ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-05-31,TARGET,179,29.25,1.0833,True
EP-00102-ENTRY_ON_NEW_FVG,EP-00102,ENTRY_ON_NEW_FVG,2026-05-31,TARGET,179,24.25,0.7578,True
EP-00138-ENTRY_ON_TAP,EP-00138,ENTRY_ON_TAP,2026-05-31,STOP,202,-20.6422,-1.0,False
EP-00278-ENTRY_ON_TAP,EP-00278,ENTRY_ON_TAP,2026-05-31,STOP,346,-16.0,-1.0,False
EP-00278-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00278,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00282-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00282,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00282-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00282,ENTRY_ON_DELAYED_DISPLACEMENT,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00283,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00283-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00283,ENTRY_ON_DELAYED_DISPLACEMENT,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00315-ENTRY_ON_TAP,EP-00315,ENTRY_ON_TAP,2026-05-31,STOP,403,-9.8997,-1.0,False
EP-00347-ENTRY_ON_IFVG_RETEST,EP-00347,ENTRY_ON_IFVG_RETEST,2026-05-31,STOP,442,-24.75,-1.0,False
EP-00348-ENTRY_ON_IFVG_RETEST,EP-00348,ENTRY_ON_IFVG_RETEST,2026-05-31,STOP,442,-24.75,-1.0,False
EP-00348-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00348,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,442,-33.75,-1.0,False
EP-00349-ENTRY_ON_TAP,EP-00349,ENTRY_ON_TAP,2026-05-31,STOP,436,-8.1227,-1.0,False
EP-00358-ENTRY_ON_TAP,EP-00358,ENTRY_ON_TAP,2026-06-01,STOP,448,-9.25,-1.0,False
EP-00366-ENTRY_ON_TAP,EP-00366,ENTRY_ON_TAP,2026-06-01,STOP,449,-45.75,-1.0,False
EP-00369-ENTRY_ON_TAP,EP-00369,ENTRY_ON_TAP,2026-06-01,STOP,449,-45.75,-1.0,False
EP-00377-ENTRY_ON_IFVG_RETEST,EP-00377,ENTRY_ON_IFVG_RETEST,2026-06-01,TARGET,456,21.25,0.6071,True
EP-00391-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00391,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,502,45.0,0.5028,True
EP-00391-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00391,ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01,TARGET,502,45.0,0.5028,True
EP-00393-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00393,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,502,72.5,1.2446,True
EP-00393-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00393,ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01,TARGET,502,72.5,1.2446,True
EP-00393-ENTRY_ON_COMPRESSION_BREAK,EP-00393,ENTRY_ON_COMPRESSION_BREAK,2026-06-01,TARGET,502,72.5,1.2446,True
EP-00394-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00394,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,502,45.0,0.5248,True
EP-00394-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00394,ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01,TARGET,502,45.0,0.5248,True
EP-00395-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00395,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,502,45.0,0.695,True
EP-00395-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00395,ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01,TARGET,502,45.0,0.695,True
EP-00398-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00398,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,502,72.5,1.2446,True
EP-00398-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00398,ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01,TARGET,502,72.5,1.2446,True
EP-00398-ENTRY_ON_COMPRESSION_BREAK,EP-00398,ENTRY_ON_COMPRESSION_BREAK,2026-06-01,TARGET,502,72.5,1.2446,True
EP-00399-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00399,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,502,54.5,0.7148,True
EP-00399-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00399,ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01,TARGET,502,54.5,0.7148,True
EP-00399-ENTRY_ON_COMPRESSION_BREAK,EP-00399,ENTRY_ON_COMPRESSION_BREAK,2026-06-01,TARGET,502,54.5,0.7148,True
EP-00417-ENTRY_ON_TAP,EP-00417,ENTRY_ON_TAP,2026-06-01,TARGET,502,22.0,1.0,True
EP-00418-ENTRY_ON_IFVG_RETEST,EP-00418,ENTRY_ON_IFVG_RETEST,2026-06-01,TARGET,502,22.0,1.2571,True
EP-00420-ENTRY_ON_TAP,EP-00420,ENTRY_ON_TAP,2026-06-01,STOP,511,-10.3581,-1.0,False
EP-00421-ENTRY_ON_TAP,EP-00421,ENTRY_ON_TAP,2026-06-01,STOP,511,-10.3581,-1.0,False
EP-00422-ENTRY_ON_TAP,EP-00422,ENTRY_ON_TAP,2026-06-01,TARGET,515,20.75,1.2206,True
EP-00423-ENTRY_ON_TAP,EP-00423,ENTRY_ON_TAP,2026-06-01,TARGET,515,20.75,1.2206,True
EP-00458-ENTRY_ON_TAP,EP-00458,ENTRY_ON_TAP,2026-06-01,STOP,557,-53.75,-1.0,False
EP-00460-ENTRY_ON_TAP,EP-00460,ENTRY_ON_TAP,2026-06-01,STOP,557,-44.5,-1.0,False
EP-00460-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00460,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,STOP,557,-49.5,-1.0,False
EP-00461-ENTRY_ON_TAP,EP-00461,ENTRY_ON_TAP,2026-06-01,STOP,557,-53.75,-1.0,False
EP-00461-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00461,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,STOP,557,-49.5,-1.0,False
EP-00478-ENTRY_ON_TAP,EP-00478,ENTRY_ON_TAP,2026-06-01,TARGET,605,18.5,1.0423,True
EP-00481-ENTRY_ON_TAP,EP-00481,ENTRY_ON_TAP,2026-06-01,STOP,609,-22.5,-1.0,False
EP-00483-ENTRY_ON_TAP,EP-00483,ENTRY_ON_TAP,2026-06-01,STOP,601,-5.6343,-1.0,False
EP-00497-ENTRY_ON_TAP,EP-00497,ENTRY_ON_TAP,2026-06-01,STOP,609,-6.5622,-1.0,False
EP-00506-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00506,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,624,16.0,1.2549,True
EP-00509-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00509,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,STOP,631,-14.75,-1.0,False
EP-00509-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00509,ENTRY_ON_MINIMAL_WICK_REJECTION,2026-06-01,STOP,631,-14.75,-1.0,False
EP-00532-ENTRY_ON_TAP,EP-00532,ENTRY_ON_TAP,2026-06-01,TARGET,650,15.25,1.6117,True
EP-00546-ENTRY_ON_TAP,EP-00546,ENTRY_ON_TAP,2026-06-01,STOP,659,-9.5,-1.0,False
EP-00553-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00553,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,713,31.5,0.5478,True
EP-00553-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00553,ENTRY_ON_MINIMAL_WICK_REJECTION,2026-06-01,TARGET,713,31.5,0.5478,True
EP-00553-ENTRY_ON_STRONG_REJECTION,EP-00553,ENTRY_ON_STRONG_REJECTION,2026-06-01,TARGET,713,31.5,0.5478,True
EP-00553-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00553,ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-06-01,TARGET,713,31.5,0.5478,True
EP-00563-ENTRY_ON_IFVG_RETEST,EP-00563,ENTRY_ON_IFVG_RETEST,2026-06-01,TARGET,679,37.25,3.5476,True
EP-00605-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00605,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,713,31.5,0.6176,True
EP-00605-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00605,ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-06-01,TARGET,713,31.5,0.6176,True
EP-00760-ENTRY_ON_TAP,EP-00760,ENTRY_ON_TAP,2026-06-01,TARGET,848,29.75,1.8308,True
EP-00760-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00760,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,848,30.75,2.0164,True
EP-00761-ENTRY_ON_TAP,EP-00761,ENTRY_ON_TAP,2026-06-01,TARGET,848,31.5,3.9658,True
EP-00761-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00761,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,848,30.75,3.9966,True
EP-00790-ENTRY_ON_IFVG_RETEST,EP-00790,ENTRY_ON_IFVG_RETEST,2026-06-01,STOP,878,-9.0,-1.0,False
EP-00850-ENTRY_ON_TAP,EP-00850,ENTRY_ON_TAP,2026-06-02,TARGET,948,16.5,2.1094,True
EP-00851-ENTRY_ON_TAP,EP-00851,ENTRY_ON_TAP,2026-06-02,TARGET,948,16.5,2.1094,True
EP-00854-ENTRY_ON_IFVG_RETEST,EP-00854,ENTRY_ON_IFVG_RETEST,2026-06-02,STOP,952,-18.25,-1.0,False
EP-00855-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00855,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-02,TARGET,962,19.75,0.513,True
EP-00858-ENTRY_ON_TAP,EP-00858,ENTRY_ON_TAP,2026-06-02,TARGET,962,19.75,1.2951,True
