session_date,start_seq,end_seq,n_bars,is_pre_application
2026-05-31,0,446,447,True
2026-06-01,447,943,497,True
2026-06-02,944,1575,632,True
2026-06-03,1576,2244,669,True
2026-06-04,2245,3073,829,True
2026-06-07,3074,4089,1016,True
2026-06-08,4090,4940,851,True
2026-06-09,4941,5985,1045,True
2026-06-10,5986,7234,1249,True
2026-06-11,7235,8607,1373,True
2026-06-14,8608,9987,1380,True
2026-06-15,9988,11367,1380,True
2026-06-16,11368,12747,1380,True
2026-06-17,12748,14127,1380,True
2026-06-18,14128,15267,1140,True
2026-06-21,15268,16647,1380,True
2026-06-22,16648,18027,1380,True
2026-06-23,18028,19407,1380,True
2026-06-24,19408,20787,1380,True
2026-06-25,20788,22167,1380,True
2026-06-28,22168,23547,1380,True
2026-06-29,23548,24927,1380,True
2026-06-30,24928,26307,1380,True
2026-07-01,26308,27687,1380,True
2026-07-02,27688,28826,1139,True
2026-07-05,28827,30206,1380,True
2026-07-06,30207,31586,1380,True
2026-07-07,31587,32966,1380,True
2026-07-08,32967,34346,1380,True
2026-07-09,34347,35726,1380,True
2026-07-12,35727,37106,1380,False
2026-07-13,37107,38486,1380,False
2026-07-14,38487,39866,1380,False
2026-07-15,39867,41246,1380,False
2026-07-16,41247,42626,1380,False
