variant_id,episode_id,symbol,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,executable,interaction_ts,trigger_ts,entry_ts,entry_price,atr_1m_24,atr_5m_24,raw_stop_price,raw_stop_distance,effective_stop_price,effective_stop_distance,stop_widened_by_atr_floor,target_surface,target_family,target_id,target_tf,target_distance,target_distance_atr5_multiple,natural_rr,rejection_reason,match_prev_1_session,support_prev_1_session,items_prev_1_session,match_prev_3_sessions,support_prev_3_sessions,items_prev_3_sessions,match_prev_10_sessions,support_prev_10_sessions,items_prev_10_sessions,match_prev_20_sessions,support_prev_20_sessions,items_prev_20_sessions,cross_lookback
EP-42403-ENTRY_ON_TAP,EP-42403,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,True,2026-07-12 21:11:00-04:00,2026-07-12 21:12:00-04:00,2026-07-12 21:12:00-04:00,29796.75,20.1423,36.1035,29826.25,29.5,29826.25,29.5,False,29572.25,fvg,FVG2-007795,60,224.5,6.2182,7.6102,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-533,TWENTY_SESSION_ONLY
EP-42422-ENTRY_ON_TAP,EP-42422,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,True,2026-07-12 21:28:00-04:00,2026-07-12 21:29:00-04:00,2026-07-12 21:29:00-04:00,29794.75,17.9459,35.7821,29806.75,12.0,29812.6959,17.9459,True,29572.25,fvg,FVG2-007795,60,222.5,6.2182,12.3984,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-533,TWENTY_SESSION_ONLY
EP-42428-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42428,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,False,True,2026-07-12 21:32:00-04:00,2026-07-12 21:34:00-04:00,2026-07-12 21:34:00-04:00,29797.0,18.1527,35.5516,29810.0,13.0,29815.1527,18.1527,True,29572.25,fvg,FVG2-007795,60,224.75,6.3218,12.3811,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-145,TWENTY_SESSION_ONLY
EP-42441-ENTRY_ON_TAP,EP-42441,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,True,2026-07-12 21:48:00-04:00,2026-07-12 21:49:00-04:00,2026-07-12 21:49:00-04:00,29782.5,16.8647,35.84,29798.5,16.0,29799.3647,16.8647,True,29572.25,fvg,FVG2-007795,60,210.25,5.8664,12.4669,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-533,TWENTY_SESSION_ONLY
EP-42441-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42441,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,False,True,2026-07-12 21:48:00-04:00,2026-07-12 21:50:00-04:00,2026-07-12 21:50:00-04:00,29777.75,17.0995,35.8779,29798.5,20.75,29798.5,20.75,False,29572.25,fvg,FVG2-007795,60,205.5,5.7278,9.9036,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-145,TWENTY_SESSION_ONLY
EP-42442-ENTRY_ON_TAP,EP-42442,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,True,2026-07-12 21:50:00-04:00,2026-07-12 21:51:00-04:00,2026-07-12 21:51:00-04:00,29783.25,16.9912,35.8779,29799.5,16.25,29800.2412,16.9912,True,29572.25,fvg,FVG2-007795,60,211.0,5.8811,12.4182,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-533,TWENTY_SESSION_ONLY
EP-42442-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42442,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,False,True,2026-07-12 21:50:00-04:00,2026-07-12 21:52:00-04:00,2026-07-12 21:52:00-04:00,29764.0,17.2311,35.8779,29799.5,35.5,29799.5,35.5,False,29572.25,fvg,FVG2-007795,60,191.75,5.3445,5.4014,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-145,TWENTY_SESSION_ONLY
EP-42450-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42450,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,False,True,2026-07-12 21:56:00-04:00,2026-07-12 21:58:00-04:00,2026-07-12 21:58:00-04:00,29751.5,17.9698,36.2476,29762.0,10.5,29769.4698,17.9698,True,29572.25,fvg,FVG2-007795,60,179.25,4.9452,9.9751,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-145,TWENTY_SESSION_ONLY
EP-42451-ENTRY_ON_TAP,EP-42451,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,True,2026-07-12 21:57:00-04:00,2026-07-12 21:58:00-04:00,2026-07-12 21:58:00-04:00,29751.5,17.9698,36.2476,29769.25,17.75,29769.4698,17.9698,True,29572.25,fvg,FVG2-007795,60,179.25,4.9452,9.9751,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-533,TWENTY_SESSION_ONLY
EP-42535-ENTRY_ON_TAP,EP-42535,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,True,2026-07-12 23:16:00-04:00,2026-07-12 23:17:00-04:00,2026-07-12 23:17:00-04:00,29687.5,11.4275,32.8912,29698.0,10.5,29698.9275,11.4275,True,29572.25,fvg,FVG2-007795,60,115.25,3.504,10.0853,,,0,,,0,,,0,,REDUCED_FAMILY,1,PREV_20_SESSIONS-533,TWENTY_SESSION_ONLY
