variant_id,episode_id,symbol,entry_variant,reaction_state,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,executable,interaction_ts,trigger_ts,entry_ts,entry_price,atr_1m_24,atr_5m_24,raw_stop_price,raw_stop_distance,effective_stop_price,effective_stop_distance,stop_widened_by_atr_floor,target_surface,target_family,target_id,target_tf,target_distance,target_distance_atr5_multiple,natural_rr,rejection_reason
EP-42179-ENTRY_ON_TAP,EP-42179,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,F,GLOBEX_EVENING,15,1,True,True,2026-07-12 18:00:00-04:00,2026-07-12 18:01:00-04:00,2026-07-12 18:01:00-04:00,29970.75,10.3749,19.3094,29948.5,22.25,29948.5,22.25,False,29998.0,ifvg,IFVG2-002064,1,27.25,1.4112,1.2247,
EP-42180-ENTRY_ON_TAP,EP-42180,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,F,GLOBEX_EVENING,5,1,True,True,2026-07-12 18:00:00-04:00,2026-07-12 18:01:00-04:00,2026-07-12 18:01:00-04:00,29970.75,10.3749,19.3094,29938.25,32.5,29938.25,32.5,False,29998.0,ifvg,IFVG2-002064,1,27.25,1.4112,0.8385,
EP-42192-ENTRY_ON_TAP,EP-42192,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,GLOBEX_EVENING,1,1,False,True,2026-07-12 18:05:00-04:00,2026-07-12 18:06:00-04:00,2026-07-12 18:06:00-04:00,29883.5,14.3282,24.9528,29870.5,13.0,29869.1718,14.3282,True,29923.75,rb,RB2-014230,1,40.25,1.613,2.8091,
EP-42192-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42192,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,1,A,GLOBEX_EVENING,1,1,False,True,2026-07-12 18:05:00-04:00,2026-07-12 18:07:00-04:00,2026-07-12 18:07:00-04:00,29889.75,14.6687,24.9528,29870.5,19.25,29870.5,19.25,False,29923.75,rb,RB2-014230,1,34.0,1.3626,1.7662,
EP-42192-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-42192,NQU6,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,1,A,GLOBEX_EVENING,1,1,False,True,2026-07-12 18:05:00-04:00,2026-07-12 18:07:00-04:00,2026-07-12 18:07:00-04:00,29889.75,14.6687,24.9528,29870.5,19.25,29870.5,19.25,False,29923.75,rb,RB2-014230,1,34.0,1.3626,1.7662,
EP-42192-ENTRY_ON_STRONG_REJECTION,EP-42192,NQU6,ENTRY_ON_STRONG_REJECTION,STRONG_REJECTION_DEPARTURE,1,A,GLOBEX_EVENING,1,1,False,True,2026-07-12 18:05:00-04:00,2026-07-12 18:07:00-04:00,2026-07-12 18:07:00-04:00,29889.75,14.6687,24.9528,29870.5,19.25,29870.5,19.25,False,29923.75,rb,RB2-014230,1,34.0,1.3626,1.7662,
EP-42194-ENTRY_ON_TAP,EP-42194,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,GLOBEX_EVENING,3,1,True,True,2026-07-12 18:06:00-04:00,2026-07-12 18:07:00-04:00,2026-07-12 18:07:00-04:00,29889.75,14.6687,24.9528,29847.75,42.0,29847.75,42.0,False,29923.75,rb,RB2-014230,1,34.0,1.3626,0.8095,
EP-42197-ENTRY_ON_TAP,EP-42197,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,GLOBEX_EVENING,1,1,False,True,2026-07-12 18:09:00-04:00,2026-07-12 18:10:00-04:00,2026-07-12 18:10:00-04:00,29894.25,15.0083,26.236,29894.0,0.25,29879.2417,15.0083,True,29923.75,rb,RB2-014230,1,29.5,1.1244,1.9656,
EP-42316-ENTRY_ON_IFVG_RETEST,EP-42316,NQU6,ENTRY_ON_IFVG_RETEST,IFVG_RETEST,-1,F,ASIA,60,1,True,True,2026-07-12 20:06:00-04:00,2026-07-12 20:07:00-04:00,2026-07-12 20:07:00-04:00,29996.0,16.7995,28.2905,29996.5,0.5,30012.7995,16.7995,True,29954.0,rb,RB2-014277,1,42.0,1.4846,2.5001,
EP-42320-ENTRY_ON_IFVG_RETEST,EP-42320,NQU6,ENTRY_ON_IFVG_RETEST,IFVG_RETEST,-1,C,ASIA,3,3,False,True,,2026-07-12 20:09:00-04:00,2026-07-12 20:09:00-04:00,29985.0,17.43,28.2905,29998.75,13.75,30002.43,17.43,True,29954.0,rb,RB2-014277,1,31.0,1.0958,1.7785,
EP-42322-ENTRY_ON_TAP,EP-42322,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,F,ASIA,3,1,True,True,2026-07-12 20:09:00-04:00,2026-07-12 20:10:00-04:00,2026-07-12 20:10:00-04:00,29996.5,17.5996,29.3721,30007.75,11.25,30014.0996,17.5996,True,29967.0,rb,RB2-027179,5,29.5,1.0044,1.6762,
EP-42324-ENTRY_ON_TAP,EP-42324,NQU6,ENTRY_ON_TAP,TAP_ONLY,1,A,ASIA,1,1,False,True,2026-07-12 20:10:00-04:00,2026-07-12 20:11:00-04:00,2026-07-12 20:11:00-04:00,30025.75,18.7621,29.3721,30018.0,7.75,30006.9879,18.7621,True,30059.25,ifvg,IFVG2-003878,5,33.5,1.1405,1.7855,
EP-42325-ENTRY_ON_TAP,EP-42325,NQU6,ENTRY_ON_TAP,TAP_ONLY,-1,A,ASIA,1,1,False,True,2026-07-12 20:11:00-04:00,2026-07-12 20:12:00-04:00,2026-07-12 20:12:00-04:00,30022.0,18.6157,29.3721,30041.0,19.0,30041.0,19.0,False,29967.0,rb,RB2-027179,5,55.0,1.8725,2.8947,
EP-42325-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-42325,NQU6,ENTRY_ON_FIRST_CLOSE_OUTSIDE,CLOSE_BACK_OUTSIDE,-1,A,ASIA,1,1,False,True,2026-07-12 20:11:00-04:00,2026-07-12 20:13:00-04:00,2026-07-12 20:13:00-04:00,30014.25,18.4755,29.3721,30041.0,26.75,30041.0,26.75,False,29967.0,rb,RB2-027179,5,47.25,1.6087,1.7664,
EP-42325-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-42325,NQU6,ENTRY_ON_MINIMAL_WICK_REJECTION,MINIMAL_WICK_REJECTION,-1,A,ASIA,1,1,False,True,2026-07-12 20:11:00-04:00,2026-07-12 20:13:00-04:00,2026-07-12 20:13:00-04:00,30014.25,18.4755,29.3721,30041.0,26.75,30041.0,26.75,False,29967.0,rb,RB2-027179,5,47.25,1.6087,1.7664,
