variant_id,episode_id,entry_variant,session_date,exit_type,exit_seq,points,r_multiple,success
EP-00012-ENTRY_ON_TAP,EP-00012,ENTRY_ON_TAP,2026-05-31,STOP,57,-12.75,-1.0,False
EP-00014-ENTRY_ON_TAP,EP-00014,ENTRY_ON_TAP,2026-05-31,TARGET,69,13.25,1.4324,True
EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,78,20.0,0.6349,True
EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,78,26.0,1.0196,True
EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,78,26.0,1.3,True
EP-00019-ENTRY_ON_TAP,EP-00019,ENTRY_ON_TAP,2026-05-31,STOP,83,-8.3032,-1.0,False
EP-00020-ENTRY_ON_TAP,EP-00020,ENTRY_ON_TAP,2026-05-31,STOP,86,-8.3219,-1.0,False
EP-00022-ENTRY_ON_TAP,EP-00022,ENTRY_ON_TAP,2026-05-31,TARGET,92,13.0,1.5863,True
EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,118,-25.0,-1.0,False
EP-00026-ENTRY_ON_TAP,EP-00026,ENTRY_ON_TAP,2026-05-31,STOP,97,-8.0754,-1.0,False
EP-00028-ENTRY_ON_TAP,EP-00028,ENTRY_ON_TAP,2026-05-31,STOP,106,-17.0,-1.0,False
EP-00029-ENTRY_ON_IFVG_RETEST,EP-00029,ENTRY_ON_IFVG_RETEST,2026-05-31,TARGET,106,22.25,0.9674,True
EP-00034-ENTRY_ON_TAP,EP-00034,ENTRY_ON_TAP,2026-05-31,STOP,105,-7.4736,-1.0,False
EP-00046-ENTRY_ON_TAP,EP-00046,ENTRY_ON_TAP,2026-05-31,STOP,137,-7.8169,-1.0,False
EP-00047-ENTRY_ON_TAP,EP-00047,ENTRY_ON_TAP,2026-05-31,STOP,137,-7.6162,-1.0,False
EP-00052-ENTRY_ON_TAP,EP-00052,ENTRY_ON_TAP,2026-05-31,TARGET,146,20.5,0.9011,True
EP-00065-ENTRY_ON_TAP,EP-00065,ENTRY_ON_TAP,2026-05-31,TARGET,152,17.0,2.1721,True
EP-00066-ENTRY_ON_TAP,EP-00066,ENTRY_ON_TAP,2026-05-31,TARGET,152,16.75,2.1122,True
EP-00092-ENTRY_ON_TAP,EP-00092,ENTRY_ON_TAP,2026-05-31,STOP,174,-31.5,-1.0,False
EP-00102-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00102,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,TARGET,179,29.25,1.0833,True
EP-00102-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00102,ENTRY_ON_MINIMAL_WICK_REJECTION,2026-05-31,TARGET,179,29.25,1.0833,True
EP-00102-ENTRY_ON_IMMEDIATE_DISPLACEMENT,EP-00102,ENTRY_ON_IMMEDIATE_DISPLACEMENT,2026-05-31,TARGET,179,29.25,1.0833,True
EP-00102-ENTRY_ON_NEW_FVG,EP-00102,ENTRY_ON_NEW_FVG,2026-05-31,TARGET,179,24.25,0.7578,True
EP-00138-ENTRY_ON_TAP,EP-00138,ENTRY_ON_TAP,2026-05-31,STOP,202,-20.6422,-1.0,False
EP-00148-ENTRY_ON_TAP,EP-00148,ENTRY_ON_TAP,2026-05-31,STOP,217,-22.5,-1.0,False
EP-00278-ENTRY_ON_TAP,EP-00278,ENTRY_ON_TAP,2026-05-31,STOP,346,-16.0,-1.0,False
EP-00278-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00278,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00282-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00282,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00282-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00282,ENTRY_ON_DELAYED_DISPLACEMENT,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00283,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00283-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00283,ENTRY_ON_DELAYED_DISPLACEMENT,2026-05-31,STOP,346,-31.0,-1.0,False
EP-00315-ENTRY_ON_TAP,EP-00315,ENTRY_ON_TAP,2026-05-31,STOP,403,-9.8997,-1.0,False
EP-00347-ENTRY_ON_IFVG_RETEST,EP-00347,ENTRY_ON_IFVG_RETEST,2026-05-31,STOP,442,-24.75,-1.0,False
EP-00348-ENTRY_ON_IFVG_RETEST,EP-00348,ENTRY_ON_IFVG_RETEST,2026-05-31,STOP,442,-24.75,-1.0,False
EP-00348-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00348,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-05-31,STOP,442,-33.75,-1.0,False
EP-00349-ENTRY_ON_TAP,EP-00349,ENTRY_ON_TAP,2026-05-31,STOP,436,-8.1227,-1.0,False
EP-00358-ENTRY_ON_TAP,EP-00358,ENTRY_ON_TAP,2026-06-01,STOP,448,-9.25,-1.0,False
EP-00366-ENTRY_ON_TAP,EP-00366,ENTRY_ON_TAP,2026-06-01,STOP,449,-45.75,-1.0,False
EP-00369-ENTRY_ON_TAP,EP-00369,ENTRY_ON_TAP,2026-06-01,STOP,449,-45.75,-1.0,False
EP-00377-ENTRY_ON_IFVG_RETEST,EP-00377,ENTRY_ON_IFVG_RETEST,2026-06-01,TARGET,456,21.25,0.6071,True
EP-00380-ENTRY_ON_TAP,EP-00380,ENTRY_ON_TAP,2026-06-01,STOP,454,-23.0,-1.0,False
EP-00402-ENTRY_ON_TAP,EP-00402,ENTRY_ON_TAP,2026-06-01,STOP,476,-9.2974,-1.0,False
EP-00405-ENTRY_ON_TAP,EP-00405,ENTRY_ON_TAP,2026-06-01,STOP,477,-10.0,-1.0,False
EP-00406-ENTRY_ON_TAP,EP-00406,ENTRY_ON_TAP,2026-06-01,STOP,493,-9.7864,-1.0,False
EP-00409-ENTRY_ON_TAP,EP-00409,ENTRY_ON_TAP,2026-06-01,STOP,493,-9.7864,-1.0,False
EP-00410-ENTRY_ON_TAP,EP-00410,ENTRY_ON_TAP,2026-06-01,STOP,493,-9.6808,-1.0,False
EP-00411-ENTRY_ON_TAP,EP-00411,ENTRY_ON_TAP,2026-06-01,STOP,493,-9.6808,-1.0,False
EP-00412-ENTRY_ON_TAP,EP-00412,ENTRY_ON_TAP,2026-06-01,STOP,499,-26.0,-1.0,False
EP-00415-ENTRY_ON_TAP,EP-00415,ENTRY_ON_TAP,2026-06-01,STOP,499,-26.0,-1.0,False
EP-00416-ENTRY_ON_TAP,EP-00416,ENTRY_ON_TAP,2026-06-01,STOP,499,-26.0,-1.0,False
EP-00420-ENTRY_ON_TAP,EP-00420,ENTRY_ON_TAP,2026-06-01,STOP,511,-10.3581,-1.0,False
EP-00421-ENTRY_ON_TAP,EP-00421,ENTRY_ON_TAP,2026-06-01,STOP,511,-10.3581,-1.0,False
EP-00422-ENTRY_ON_TAP,EP-00422,ENTRY_ON_TAP,2026-06-01,TARGET,515,20.75,1.2206,True
EP-00423-ENTRY_ON_TAP,EP-00423,ENTRY_ON_TAP,2026-06-01,TARGET,515,20.75,1.2206,True
EP-00453-ENTRY_ON_TAP,EP-00453,ENTRY_ON_TAP,2026-06-01,STOP,540,-8.4434,-1.0,False
EP-00454-ENTRY_ON_TAP,EP-00454,ENTRY_ON_TAP,2026-06-01,STOP,540,-8.4434,-1.0,False
EP-00458-ENTRY_ON_TAP,EP-00458,ENTRY_ON_TAP,2026-06-01,STOP,557,-53.75,-1.0,False
EP-00459-ENTRY_ON_TAP,EP-00459,ENTRY_ON_TAP,2026-06-01,STOP,557,-9.25,-1.0,False
EP-00460-ENTRY_ON_TAP,EP-00460,ENTRY_ON_TAP,2026-06-01,STOP,557,-44.5,-1.0,False
EP-00460-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00460,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,STOP,557,-49.5,-1.0,False
EP-00461-ENTRY_ON_TAP,EP-00461,ENTRY_ON_TAP,2026-06-01,STOP,557,-53.75,-1.0,False
EP-00461-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00461,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,STOP,557,-49.5,-1.0,False
EP-00475-ENTRY_ON_TAP,EP-00475,ENTRY_ON_TAP,2026-06-01,STOP,584,-5.7731,-1.0,False
EP-00475-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00475,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,STOP,585,-5.6784,-1.0,False
EP-00475-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00475,ENTRY_ON_MINIMAL_WICK_REJECTION,2026-06-01,STOP,585,-5.6784,-1.0,False
EP-00475-ENTRY_ON_STRONG_REJECTION,EP-00475,ENTRY_ON_STRONG_REJECTION,2026-06-01,STOP,585,-5.6784,-1.0,False
EP-00476-ENTRY_ON_TAP,EP-00476,ENTRY_ON_TAP,2026-06-01,STOP,584,-5.6605,-1.0,False
EP-00478-ENTRY_ON_TAP,EP-00478,ENTRY_ON_TAP,2026-06-01,STOP,609,-17.75,-1.0,False
EP-00480-ENTRY_ON_TAP,EP-00480,ENTRY_ON_TAP,2026-06-01,STOP,609,-26.0,-1.0,False
EP-00481-ENTRY_ON_TAP,EP-00481,ENTRY_ON_TAP,2026-06-01,STOP,609,-22.5,-1.0,False
EP-00482-ENTRY_ON_TAP,EP-00482,ENTRY_ON_TAP,2026-06-01,STOP,596,-5.7054,-1.0,False
EP-00483-ENTRY_ON_TAP,EP-00483,ENTRY_ON_TAP,2026-06-01,STOP,601,-5.6343,-1.0,False
EP-00486-ENTRY_ON_TAP,EP-00486,ENTRY_ON_TAP,2026-06-01,STOP,608,-18.25,-1.0,False
EP-00488-ENTRY_ON_TAP,EP-00488,ENTRY_ON_TAP,2026-06-01,TARGET,631,38.5,0.8603,True
EP-00488-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00488,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,631,30.5,0.5782,True
EP-00488-ENTRY_ON_COMPRESSION_BREAK,EP-00488,ENTRY_ON_COMPRESSION_BREAK,2026-06-01,TARGET,631,30.5,0.5782,True
EP-00490-ENTRY_ON_TAP,EP-00490,ENTRY_ON_TAP,2026-06-01,TARGET,631,37.5,0.8197,True
EP-00497-ENTRY_ON_TAP,EP-00497,ENTRY_ON_TAP,2026-06-01,STOP,609,-6.5622,-1.0,False
EP-00498-ENTRY_ON_TAP,EP-00498,ENTRY_ON_TAP,2026-06-01,STOP,624,-7.5,-1.0,False
EP-00499-ENTRY_ON_TAP,EP-00499,ENTRY_ON_TAP,2026-06-01,STOP,624,-6.5622,-1.0,False
EP-00500-ENTRY_ON_TAP,EP-00500,ENTRY_ON_TAP,2026-06-01,STOP,624,-24.5,-1.0,False
EP-00501-ENTRY_ON_COMPRESSION_BREAK,EP-00501,ENTRY_ON_COMPRESSION_BREAK,2026-06-01,STOP,628,-10.0,-1.0,False
EP-00506-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00506,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,624,16.0,1.2549,True
EP-00506-ENTRY_ON_DELAYED_DISPLACEMENT,EP-00506,ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01,TARGET,624,24.25,3.6704,True
EP-00508-ENTRY_ON_TAP,EP-00508,ENTRY_ON_TAP,2026-06-01,TARGET,624,28.0,3.9365,True
EP-00509-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00509,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,STOP,631,-14.75,-1.0,False
EP-00509-ENTRY_ON_MINIMAL_WICK_REJECTION,EP-00509,ENTRY_ON_MINIMAL_WICK_REJECTION,2026-06-01,STOP,631,-14.75,-1.0,False
EP-00512-ENTRY_ON_TAP,EP-00512,ENTRY_ON_TAP,2026-06-01,STOP,628,-10.5,-1.0,False
EP-00516-ENTRY_ON_TAP,EP-00516,ENTRY_ON_TAP,2026-06-01,TARGET,640,21.75,1.8913,True
EP-00518-ENTRY_ON_TAP,EP-00518,ENTRY_ON_TAP,2026-06-01,TARGET,640,28.75,0.7931,True
EP-00519-ENTRY_ON_TAP,EP-00519,ENTRY_ON_TAP,2026-06-01,TARGET,640,21.75,2.2308,True
EP-00520-ENTRY_ON_TAP,EP-00520,ENTRY_ON_TAP,2026-06-01,TARGET,640,21.75,2.2308,True
EP-00532-ENTRY_ON_TAP,EP-00532,ENTRY_ON_TAP,2026-06-01,TARGET,650,19.5,2.0608,True
EP-00533-ENTRY_ON_TAP,EP-00533,ENTRY_ON_TAP,2026-06-01,STOP,648,-10.25,-1.0,False
EP-00540-ENTRY_ON_TAP,EP-00540,ENTRY_ON_TAP,2026-06-01,TARGET,656,22.75,2.3959,True
EP-00543-ENTRY_ON_TAP,EP-00543,ENTRY_ON_TAP,2026-06-01,TARGET,656,15.5,1.1923,True
EP-00546-ENTRY_ON_TAP,EP-00546,ENTRY_ON_TAP,2026-06-01,STOP,659,-9.5,-1.0,False
EP-00553-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00553,ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01,TARGET,713,31.5,0.5478,True
