week,variant_id,trigger_ts,structure_id,activation_ts,deactivation_ts,deactivation_reason,exclusion_reason
historical,EP-00012-ENTRY_ON_TAP,2026-06-01 03:55:00-04:00,IFVG2-003941,2026-06-01 01:29:00-04:00,2026-06-01 02:14:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 04:45:00-04:00,IFVG2-003941,2026-06-01 01:29:00-04:00,2026-06-01 02:14:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 04:50:00-04:00,IFVG2-003941,2026-06-01 01:29:00-04:00,2026-06-01 02:14:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 04:50:00-04:00,IFVG2-003941,2026-06-01 01:29:00-04:00,2026-06-01 02:14:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 06:11:00-04:00,IFVG2-003942,2026-06-01 05:40:00-04:00,2026-06-01 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00026-ENTRY_ON_TAP,2026-06-01 06:21:00-04:00,IFVG2-003943,2026-06-01 06:15:00-04:00,2026-06-01 08:13:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00028-ENTRY_ON_TAP,2026-06-01 06:11:00-04:00,IFVG2-003942,2026-06-01 05:40:00-04:00,2026-06-01 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00029-ENTRY_ON_IFVG_RETEST,2026-06-01 06:14:00-04:00,IFVG2-003942,2026-06-01 05:40:00-04:00,2026-06-01 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00034-ENTRY_ON_TAP,2026-06-01 07:00:00-04:00,IFVG2-003942,2026-06-01 05:40:00-04:00,2026-06-01 11:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00278-ENTRY_ON_TAP,2026-06-01 12:58:00-04:00,IFVG2-003941,2026-06-01 01:29:00-04:00,2026-06-01 02:14:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00278-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 13:04:00-04:00,IFVG2-004191,2026-06-01 13:00:00-04:00,2026-06-01 18:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00282-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 13:04:00-04:00,IFVG2-004191,2026-06-01 13:00:00-04:00,2026-06-01 18:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00282-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01 13:04:00-04:00,IFVG2-004191,2026-06-01 13:00:00-04:00,2026-06-01 18:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00283-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 13:04:00-04:00,IFVG2-004191,2026-06-01 13:00:00-04:00,2026-06-01 18:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00283-ENTRY_ON_DELAYED_DISPLACEMENT,2026-06-01 13:04:00-04:00,IFVG2-004191,2026-06-01 13:00:00-04:00,2026-06-01 18:59:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00347-ENTRY_ON_IFVG_RETEST,2026-06-01 15:51:00-04:00,IFVG2-003941,2026-06-01 01:29:00-04:00,2026-06-01 02:14:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00347-ENTRY_ON_IFVG_RETEST,2026-06-01 15:51:00-04:00,IFVG2-002487,2026-06-01 13:30:00-04:00,2026-06-01 16:47:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00348-ENTRY_ON_IFVG_RETEST,2026-06-01 15:51:00-04:00,IFVG2-003941,2026-06-01 01:29:00-04:00,2026-06-01 02:14:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00348-ENTRY_ON_IFVG_RETEST,2026-06-01 15:51:00-04:00,IFVG2-002487,2026-06-01 13:30:00-04:00,2026-06-01 16:47:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00348-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 15:54:00-04:00,IFVG2-000013,2026-06-01 13:40:00-04:00,2026-06-01 15:50:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00348-ENTRY_ON_FIRST_CLOSE_OUTSIDE,2026-06-01 15:54:00-04:00,IFVG2-002487,2026-06-01 13:30:00-04:00,2026-06-01 16:47:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00349-ENTRY_ON_TAP,2026-06-01 15:54:00-04:00,IFVG2-000013,2026-06-01 13:40:00-04:00,2026-06-01 15:50:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00358-ENTRY_ON_TAP,2026-06-01 18:00:00-04:00,IFVG2-000009,2026-06-01 12:32:00-04:00,2026-06-01 12:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00366-ENTRY_ON_TAP,2026-06-01 18:00:00-04:00,IFVG2-000009,2026-06-01 12:32:00-04:00,2026-06-01 12:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00366-ENTRY_ON_TAP,2026-06-01 18:00:00-04:00,IFVG2-003403,2026-06-01 12:30:00-04:00,2026-06-01 18:09:00-04:00,DEACTIVATED_CLOSE_THROUGH,component
historical,EP-00369-ENTRY_ON_TAP,2026-06-01 18:00:00-04:00,IFVG2-000009,2026-06-01 12:32:00-04:00,2026-06-01 12:45:00-04:00,DEACTIVATED_CLOSE_THROUGH,same_direction
historical,EP-00377-ENTRY_ON_IFVG_RETEST,2026-06-01 18:14:00-04:00,IFVG2-000018,2026-06-01 18:08:00-04:00,2026-06-02 02:08:00-04:00,EXPIRED_ACTIVE_8H,component
historical,EP-00380-ENTRY_ON_TAP,2026-06-01 18:17:00-04:00,IFVG2-000018,2026-06-01 18:08:00-04:00,2026-06-02 02:08:00-04:00,EXPIRED_ACTIVE_8H,behind_entry
historical,EP-00412-ENTRY_ON_TAP,2026-06-01 21:33:00-04:00,IFVG2-000004,2026-06-01 09:54:00-04:00,2026-06-01 10:16:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00412-ENTRY_ON_TAP,2026-06-01 21:33:00-04:00,IFVG2-002491,2026-06-01 21:24:00-04:00,2026-06-02 00:30:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00415-ENTRY_ON_TAP,2026-06-01 21:33:00-04:00,IFVG2-000004,2026-06-01 09:54:00-04:00,2026-06-01 10:16:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00415-ENTRY_ON_TAP,2026-06-01 21:33:00-04:00,IFVG2-002491,2026-06-01 21:24:00-04:00,2026-06-02 00:30:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00416-ENTRY_ON_TAP,2026-06-01 21:33:00-04:00,IFVG2-000004,2026-06-01 09:54:00-04:00,2026-06-01 10:16:00-04:00,DEACTIVATED_CLOSE_THROUGH,inactive_or_traversed
historical,EP-00416-ENTRY_ON_TAP,2026-06-01 21:33:00-04:00,IFVG2-002491,2026-06-01 21:24:00-04:00,2026-06-02 00:30:00-04:00,DEACTIVATED_CLOSE_THROUGH,behind_entry
historical,EP-00422-ENTRY_ON_TAP,2026-06-01 22:15:00-04:00,IFVG2-003400,2026-06-01 10:10:00-04:00,2026-06-01 18:15:00-04:00,EXPIRED_ACTIVE_8H,same_direction
historical,EP-00423-ENTRY_ON_TAP,2026-06-01 22:15:00-04:00,IFVG2-003400,2026-06-01 10:10:00-04:00,2026-06-01 18:15:00-04:00,EXPIRED_ACTIVE_8H,same_direction
