week,variant_id,episode_id,structure_id,family,tf,surface,distance,natural_rr,availability_seq,exclusion_reason,selected_as
historical,EP-00012-ENTRY_ON_TAP,EP-00012,FVG2-007143,fvg,15,30819.5,14.0,1.098,50,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00012-ENTRY_ON_TAP,EP-00012,FVG2-006110,fvg,5,30830.0,24.5,1.9216,44,,
historical,EP-00012-ENTRY_ON_TAP,EP-00012,RB2-000001,rb,1,30830.75,25.25,1.9804,39,,BRANCH_SEMANTIC_TARGET
historical,EP-00012-ENTRY_ON_TAP,EP-00012,IFVG2-002481,ifvg,3,30850.0,44.5,3.4902,38,,
historical,EP-00012-ENTRY_ON_TAP,EP-00012,RB2-017342,rb,3,30810.25,4.75,0.3725,44,same_direction,ANY_SURFACE_DIAGNOSTIC
historical,EP-00012-ENTRY_ON_TAP,EP-00012,IFVG2-003941,ifvg,15,30855.0,49.5,3.8824,22,inactive_or_traversed,
historical,EP-00012-ENTRY_ON_TAP,EP-00012,FVG2-000001,fvg,1,30795.0,10.5,0.8235,51,behind_entry,
historical,EP-00012-ENTRY_ON_TAP,EP-00012,RB2-023763,rb,5,30792.75,12.75,1.0,52,component,
historical,EP-00014-ENTRY_ON_TAP,EP-00014,RB2-023765,rb,5,30750.75,13.25,1.4324,67,,ANY_SURFACE_DIAGNOSTIC
historical,EP-00014-ENTRY_ON_TAP,EP-00014,RB2-017343,rb,3,30795.0,31.0,3.3514,52,inactive_or_traversed,
historical,EP-00014-ENTRY_ON_TAP,EP-00014,FVG2-007525,fvg,30,30810.25,46.25,5.0,64,same_direction,
historical,EP-00014-ENTRY_ON_TAP,EP-00014,RB2-027815,rb,15,30773.25,9.25,1.0,64,component,
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,FVG2-000001,fvg,1,30795.0,20.0,0.6349,51,,NEAREST_OPPOSING_VALID_STRUCTURE
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,FVG2-007525,fvg,30,30806.75,31.75,1.0079,64,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,FVG2-007143,fvg,15,30819.5,44.5,1.4127,50,,
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,FVG2-006110,fvg,5,30830.0,55.0,1.746,44,,
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,RB2-000001,rb,1,30830.75,55.75,1.7698,39,,BRANCH_SEMANTIC_TARGET
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,IFVG2-002481,ifvg,3,30850.0,75.0,2.381,38,,
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,RB2-017343,rb,3,30792.75,17.75,0.5635,52,same_direction,ANY_SURFACE_DIAGNOSTIC
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,IFVG2-003941,ifvg,15,30855.0,80.0,2.5397,22,inactive_or_traversed,
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,RB2-027815,rb,15,30763.25,11.75,0.373,64,behind_entry,
historical,EP-00015-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00015,RB2-023765,rb,5,30743.5,31.5,1.0,67,component,
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,FVG2-000001,fvg,1,30795.0,26.0,1.0196,51,,NEAREST_OPPOSING_VALID_STRUCTURE
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,FVG2-007525,fvg,30,30806.75,37.75,1.4804,64,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,FVG2-007143,fvg,15,30819.5,50.5,1.9804,50,,
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,FVG2-006110,fvg,5,30830.0,61.0,2.3922,44,,
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,RB2-000001,rb,1,30830.75,61.75,2.4216,39,,BRANCH_SEMANTIC_TARGET
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,IFVG2-002481,ifvg,3,30850.0,81.0,3.1765,38,,
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,RB2-023766,rb,5,30751.5,17.5,0.6863,73,same_direction,
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,IFVG2-003941,ifvg,15,30855.0,86.0,3.3725,22,inactive_or_traversed,
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,RB2-027815,rb,15,30763.25,5.75,0.2255,64,behind_entry,ANY_SURFACE_DIAGNOSTIC
historical,EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00016,RB2-023765,rb,5,30743.5,25.5,1.0,67,component,
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,FVG2-000001,fvg,1,30795.0,26.0,1.3,51,,NEAREST_OPPOSING_VALID_STRUCTURE
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,FVG2-007525,fvg,30,30806.75,37.75,1.8875,64,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,FVG2-007143,fvg,15,30819.5,50.5,2.525,50,,
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,FVG2-006110,fvg,5,30830.0,61.0,3.05,44,,
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,RB2-000001,rb,1,30830.75,61.75,3.0875,39,,BRANCH_SEMANTIC_TARGET
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,IFVG2-002481,ifvg,3,30850.0,81.0,4.05,38,,
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,RB2-023766,rb,5,30751.5,17.5,0.875,73,same_direction,
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,IFVG2-003941,ifvg,15,30855.0,86.0,4.3,22,inactive_or_traversed,
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,RB2-027815,rb,15,30763.25,5.75,0.2875,64,behind_entry,ANY_SURFACE_DIAGNOSTIC
historical,EP-00017-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00017,RB2-017345,rb,3,30749.0,20.0,1.0,71,component,
historical,EP-00019-ENTRY_ON_TAP,EP-00019,FVG2-000001,fvg,1,30795.0,25.5,5.3684,51,,BRANCH_SEMANTIC_TARGET
historical,EP-00019-ENTRY_ON_TAP,EP-00019,FVG2-007525,fvg,30,30806.75,37.25,7.8421,64,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00019-ENTRY_ON_TAP,EP-00019,FVG2-007709,fvg,60,30806.75,37.25,7.8421,78,,
historical,EP-00019-ENTRY_ON_TAP,EP-00019,FVG2-007143,fvg,15,30819.5,50.0,10.5263,50,,
historical,EP-00019-ENTRY_ON_TAP,EP-00019,FVG2-006110,fvg,5,30830.0,60.5,12.7368,44,,
historical,EP-00019-ENTRY_ON_TAP,EP-00019,RB2-000001,rb,1,30830.75,61.25,12.8947,39,,
historical,EP-00019-ENTRY_ON_TAP,EP-00019,IFVG2-002481,ifvg,3,30850.0,80.5,16.9474,38,,
historical,EP-00019-ENTRY_ON_TAP,EP-00019,RB2-027817,rb,15,30769.0,0.5,0.1053,78,same_direction,
historical,EP-00019-ENTRY_ON_TAP,EP-00019,RB2-027815,rb,15,30763.25,6.25,1.3158,64,inactive_or_traversed,ANY_SURFACE_DIAGNOSTIC
historical,EP-00019-ENTRY_ON_TAP,EP-00019,FVG2-007144,fvg,15,30764.75,4.75,1.0,80,component,
historical,EP-00020-ENTRY_ON_TAP,EP-00020,FVG2-000001,fvg,1,30795.0,30.0,120.0,51,,BRANCH_SEMANTIC_TARGET
historical,EP-00020-ENTRY_ON_TAP,EP-00020,FVG2-007525,fvg,30,30806.75,41.75,167.0,64,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00020-ENTRY_ON_TAP,EP-00020,FVG2-007709,fvg,60,30806.75,41.75,167.0,78,,
historical,EP-00020-ENTRY_ON_TAP,EP-00020,FVG2-007143,fvg,15,30819.5,54.5,218.0,50,,
historical,EP-00020-ENTRY_ON_TAP,EP-00020,FVG2-006110,fvg,5,30830.0,65.0,260.0,44,,
historical,EP-00020-ENTRY_ON_TAP,EP-00020,RB2-000001,rb,1,30830.75,65.75,263.0,39,,
historical,EP-00020-ENTRY_ON_TAP,EP-00020,IFVG2-002481,ifvg,3,30850.0,85.0,340.0,38,,
historical,EP-00020-ENTRY_ON_TAP,EP-00020,RB2-023766,rb,5,30751.5,13.5,54.0,73,same_direction,
historical,EP-00020-ENTRY_ON_TAP,EP-00020,RB2-027815,rb,15,30763.25,1.75,7.0,64,inactive_or_traversed,ANY_SURFACE_DIAGNOSTIC
historical,EP-00020-ENTRY_ON_TAP,EP-00020,FVG2-007144,fvg,15,30764.75,0.25,1.0,80,component,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,RB2-023767,rb,5,30762.75,13.0,2.08,86,,BRANCH_SEMANTIC_TARGET
historical,EP-00022-ENTRY_ON_TAP,EP-00022,IFVG2-003942,ifvg,15,30764.75,15.0,2.4,86,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00022-ENTRY_ON_TAP,EP-00022,FVG2-000001,fvg,1,30795.0,45.25,7.24,51,,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,FVG2-007525,fvg,30,30806.75,57.0,9.12,64,,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,FVG2-007709,fvg,60,30806.75,57.0,9.12,78,,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,FVG2-007143,fvg,15,30819.5,69.75,11.16,50,,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,FVG2-006110,fvg,5,30830.0,80.25,12.84,44,,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,RB2-000001,rb,1,30830.75,81.0,12.96,39,,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,IFVG2-002481,ifvg,3,30850.0,100.25,16.04,38,,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,RB2-017345,rb,3,30749.0,0.75,0.12,71,same_direction,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,RB2-027815,rb,15,30763.25,13.5,2.16,64,inactive_or_traversed,
historical,EP-00022-ENTRY_ON_TAP,EP-00022,RB2-027816,rb,15,30743.5,6.25,1.0,73,component,
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,FVG2-000001,fvg,1,30795.0,26.5,1.06,51,,NEAREST_OPPOSING_VALID_STRUCTURE
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,FVG2-007525,fvg,30,30806.75,38.25,1.53,64,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,FVG2-007709,fvg,60,30806.75,38.25,1.53,78,,
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,FVG2-007143,fvg,15,30819.5,51.0,2.04,50,,
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,FVG2-006110,fvg,5,30830.0,61.5,2.46,44,,
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,RB2-000001,rb,1,30830.75,62.25,2.49,39,,BRANCH_SEMANTIC_TARGET
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,IFVG2-002481,ifvg,3,30850.0,81.5,3.26,38,,
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,RB2-027817,rb,15,30769.0,0.5,0.02,78,same_direction,ANY_SURFACE_DIAGNOSTIC
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,RB2-027815,rb,15,30763.25,5.25,0.21,64,inactive_or_traversed,
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,RB2-027816,rb,15,30743.5,25.0,1.0,73,component,
historical,EP-00022-ENTRY_ON_FIRST_CLOSE_OUTSIDE,EP-00022,IFVG2-003942,ifvg,15,30764.75,3.75,0.15,86,behind_entry,
historical,EP-00026-ENTRY_ON_TAP,EP-00026,RB2-027816,rb,15,30751.25,13.0,2.4762,73,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00026-ENTRY_ON_TAP,EP-00026,RB2-023765,rb,5,30750.75,13.5,2.5714,67,,
historical,EP-00026-ENTRY_ON_TAP,EP-00026,RB2-027818,rb,15,30762.75,1.5,0.2857,86,inactive_or_traversed,
historical,EP-00026-ENTRY_ON_TAP,EP-00026,RB2-023767,rb,5,30765.0,0.75,0.1429,86,same_direction,
historical,EP-00026-ENTRY_ON_TAP,EP-00026,FVG2-007145,fvg,15,30769.5,5.25,1.0,89,component,
historical,EP-00026-ENTRY_ON_TAP,EP-00026,IFVG2-003943,ifvg,15,30769.5,5.25,1.0,94,behind_entry,
historical,EP-00028-ENTRY_ON_TAP,EP-00028,FVG2-000001,fvg,1,30795.0,26.5,1.5588,51,,NEAREST_OPPOSING_VALID_STRUCTURE
historical,EP-00028-ENTRY_ON_TAP,EP-00028,FVG2-007525,fvg,30,30806.75,38.25,2.25,64,,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
historical,EP-00028-ENTRY_ON_TAP,EP-00028,FVG2-007709,fvg,60,30806.75,38.25,2.25,78,,
historical,EP-00028-ENTRY_ON_TAP,EP-00028,FVG2-007143,fvg,15,30819.5,51.0,3.0,50,,
historical,EP-00028-ENTRY_ON_TAP,EP-00028,FVG2-006110,fvg,5,30830.0,61.5,3.6176,44,,
historical,EP-00028-ENTRY_ON_TAP,EP-00028,RB2-000001,rb,1,30830.75,62.25,3.6618,39,,BRANCH_SEMANTIC_TARGET
historical,EP-00028-ENTRY_ON_TAP,EP-00028,IFVG2-002481,ifvg,3,30850.0,81.5,4.7941,38,,
historical,EP-00028-ENTRY_ON_TAP,EP-00028,RB2-027817,rb,15,30769.0,0.5,0.0294,78,same_direction,ANY_SURFACE_DIAGNOSTIC
