run_id,stage,config,tie_break,cost_basis,trades,pf_1pt,pf_2pt,net_1pt,net_2pt,mdd_1pt,pos_years_1pt,status
R001,baseline,FROZEN_OPTION_3,"(entry_ts,fkey)",0/1/2pt,9771,1.1466,1.0602,782.7,336.0,-82.8,8,REPRODUCES_FROZEN
R002,baseline,FROZEN_OPTION_3,"(entry_ts,gvid)",0/1/2pt,9625,1.1594,1.0727,824.2,392.5,-66.9,8,DISCREPANCY_TIEBREAK
R003,A1,minus_FIRST_CLOSE_OUTSIDE,"(entry_ts,fkey)",0/1/2pt,8672,1.1295,1.0464,623.1,233.2,-75.8,7,WORSE
R004,A1,minus_IMMEDIATE_DISPLACEMENT,"(entry_ts,fkey)",0/1/2pt,9516,1.1318,1.0471,693.0,258.9,-80.6,7,WORSE
R005,A1,minus_MINIMAL_WICK_REJECTION,"(entry_ts,fkey)",0/1/2pt,9239,1.1251,1.0416,642.0,223.3,-67.4,7,WORSE
R006,A1,minus_NEW_FVG,"(entry_ts,fkey)",0/1/2pt,9068,1.1727,1.0838,866.0,439.7,-84.6,8,BETTER_THAN_BASELINE
R007,A1,minus_STRONG_REJECTION,"(entry_ts,fkey)",0/1/2pt,9531,1.1378,1.0526,725.5,289.5,-76.2,7,WORSE
R008,A1b,alone_FIRST_CLOSE_OUTSIDE,"(entry_ts,fkey)",0/1/2pt,7840,1.1352,1.0519,612.9,245.9,,8,STANDALONE
R009,A1b,alone_IMMEDIATE_DISPLACEMENT,"(entry_ts,fkey)",0/1/2pt,5237,1.0827,1.0073,255.0,23.5,,7,STANDALONE
R010,A1b,alone_MINIMAL_WICK_REJECTION,"(entry_ts,fkey)",0/1/2pt,5632,1.0900,1.0082,307.0,29.3,,6,STANDALONE
R011,A1b,alone_NEW_FVG,"(entry_ts,fkey)",0/1/2pt,4852,1.0215,0.9556,60.3,-129.5,,5,STANDALONE_NEG_AT_2PT
R012,A1b,alone_STRONG_REJECTION,"(entry_ts,fkey)",0/1/2pt,2455,1.0376,0.9655,52.7,-50.4,,5,STANDALONE_NEG_AT_2PT
R013,A2,minus_LONDON,"(entry_ts,fkey)",0/1/2pt,7287,1.1826,1.0951,690.8,375.2,,7,BETTER_PF_AT_2PT
R014,A2,minus_NY_AM,"(entry_ts,fkey)",0/1/2pt,4927,1.0986,1.0168,288.7,51.7,,6,MUCH_WORSE
R015,A2,minus_NY_PM,"(entry_ts,fkey)",0/1/2pt,7787,1.1500,1.0617,635.1,273.1,,7,WORSE
R016,A2b,alone_LONDON,"(entry_ts,fkey)",0/1/2pt,2758,1.0484,0.9666,83.2,-60.3,,5,STANDALONE_NEG_AT_2PT
R017,A2b,alone_NY_AM,"(entry_ts,fkey)",0/1/2pt,5307,1.2019,1.1110,540.9,309.8,,7,STANDALONE_STRONGEST
R018,A2b,alone_NY_PM,"(entry_ts,fkey)",0/1/2pt,2169,1.1710,1.0897,206.7,113.3,,6,STANDALONE
