timeframe,size_bin,count
1,<0.05 ATR,61
1,0.05-<0.10 ATR,82
1,0.10-<0.20 ATR,139
1,0.20-<0.30 ATR,117
1,0.30-<0.50 ATR,165
1,>=0.50 ATR,234
1,no_atr_available,1
3,<0.05 ATR,23
3,0.05-<0.10 ATR,30
3,0.10-<0.20 ATR,43
3,0.20-<0.30 ATR,37
3,0.30-<0.50 ATR,60
3,>=0.50 ATR,69
3,no_atr_available,1
5,<0.05 ATR,14
5,0.05-<0.10 ATR,17
5,0.10-<0.20 ATR,23
5,0.20-<0.30 ATR,27
5,0.30-<0.50 ATR,36
5,>=0.50 ATR,37
5,no_atr_available,0
15,<0.05 ATR,5
15,0.05-<0.10 ATR,6
15,0.10-<0.20 ATR,5
15,0.20-<0.30 ATR,7
15,0.30-<0.50 ATR,8
15,>=0.50 ATR,8
15,no_atr_available,1
30,<0.05 ATR,1
30,0.05-<0.10 ATR,4
30,0.10-<0.20 ATR,2
30,0.20-<0.30 ATR,3
30,0.30-<0.50 ATR,6
30,>=0.50 ATR,5
30,no_atr_available,1
60,<0.05 ATR,0
60,0.05-<0.10 ATR,2
60,0.10-<0.20 ATR,5
60,0.20-<0.30 ATR,0
60,0.30-<0.50 ATR,0
60,>=0.50 ATR,3
60,no_atr_available,3
