id,parent_fvg_id,timeframe,parent_direction,child_direction,parent_formation_ts_et,parent_width_points,parent_width_atr,parent_first_touch_ts_et,inversion_ts_et,inversion_open,inversion_high,inversion_low,inversion_close,close_through_boundary,atr_at_inversion,inversion_body_atr,inversion_range_atr,bars_from_formation_to_inversion,bars_from_first_touch_to_inversion,inversion_speed_bucket,max_penetration_before_inversion,distance_through_zone,distance_through_zone_over_width,n_scraping_candles,avg_scraping_body,activation_ts_et,expiry_ts_et,deactivation_reason
IFVG2-000001,FVG2-000004,1,bullish,bearish,2026-07-12 18:57:00-04:00,0.5,0.047336447131263185,2026-07-12 19:00:00-04:00,2026-07-12 19:00:00-04:00,29909.75,29910.5,29880.5,29887.25,29908.25,11.16134106055164,2.015886789762516,2.687849053016688,3,0,3_candles,0.0,21.0,42.0,0,,2026-07-12 19:00:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000002,FVG2-000008,1,bearish,bullish,2026-07-12 19:46:00-04:00,8.25,0.8869682073718687,2026-07-12 19:50:00-04:00,2026-07-12 19:51:00-04:00,29880.5,29894.5,29877.75,29894.25,29888.75,11.413096420010874,1.2047563162518957,1.467612239797764,5,,5plus_candles,0.0,5.5,0.6666666666666666,1,15.25,2026-07-12 19:51:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000003,FVG2-000001,1,bearish,bullish,2026-07-12 18:04:00-04:00,3.0,,2026-07-12 20:02:00-04:00,2026-07-12 20:02:00-04:00,29903.75,29956.5,29903.75,29952.75,29935.0,17.334353541138174,2.8267566992742124,3.043090120137035,118,,5plus_candles,0.0,17.75,5.916666666666667,0,,2026-07-12 20:02:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000004,FVG2-000010,1,bullish,bearish,2026-07-12 20:03:00-04:00,28.5,1.6082445562616225,2026-07-12 20:31:00-04:00,2026-07-12 20:34:00-04:00,29933.0,29933.25,29911.75,29912.0,29913.75,18.56291446484783,1.1312878718353858,1.158223297355276,31,3,5plus_candles,0.0,1.75,0.06140350877192982,3,10.916666666666666,2026-07-12 20:34:00-04:00,2026-07-13 04:34:00-04:00,EXPIRED_ACTIVE_8H
IFVG2-000005,FVG2-000019,1,bearish,bullish,2026-07-12 21:26:00-04:00,1.5,0.08514055913510823,2026-07-12 21:29:00-04:00,2026-07-12 21:29:00-04:00,29794.75,29811.25,29794.75,29809.0,29808.5,17.160470701280662,0.8303968025152446,0.9615120871229149,3,,3_candles,0.0,0.5,0.3333333333333333,0,,2026-07-12 21:29:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000006,FVG2-000018,1,bearish,bullish,2026-07-12 21:25:00-04:00,3.25,0.18160252326949936,2026-07-12 21:36:00-04:00,2026-07-12 21:36:00-04:00,29810.5,29832.75,29806.75,29828.75,29822.5,17.775491418796893,1.0266945408159762,1.4626881129433085,11,,5plus_candles,0.0,6.25,1.9230769230769231,0,,2026-07-12 21:36:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000007,FVG2-000025,1,bullish,bearish,2026-07-12 22:21:00-04:00,3.5,0.20421887788363347,2026-07-12 22:23:00-04:00,2026-07-12 22:31:00-04:00,29781.75,29789.25,29770.0,29770.25,29775.5,15.591786307344679,0.7375678304789748,1.2346244118887186,10,8,5plus_candles,0.0,5.25,1.5,1,7.25,2026-07-12 22:31:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000008,FVG2-000028,1,bullish,bearish,2026-07-12 22:50:00-04:00,4.75,0.3683795634025853,2026-07-12 22:51:00-04:00,2026-07-12 22:51:00-04:00,29768.25,29768.75,29750.75,29752.75,29759.0,13.25900141645019,1.1690171464020997,1.3575682990475997,1,0,1_candles,0.0,6.25,1.3157894736842106,0,,2026-07-12 22:51:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000009,FVG2-000033,1,bearish,bullish,2026-07-12 23:31:00-04:00,2.0,0.1994999621521977,2026-07-12 23:38:00-04:00,2026-07-12 23:38:00-04:00,29699.5,29710.75,29697.0,29710.25,29710.0,9.931855382845384,1.082375808508825,1.3844341736740786,7,,5plus_candles,0.0,0.25,0.125,0,,2026-07-12 23:38:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000010,FVG2-000034,1,bearish,bullish,2026-07-12 23:44:00-04:00,11.75,1.0860673812155068,2026-07-12 23:45:00-04:00,2026-07-12 23:49:00-04:00,29713.0,29722.25,29709.5,29722.25,29715.75,10.891525839712127,0.8492841256707229,1.17063487592451,5,,5plus_candles,0.0,6.5,0.5531914893617021,4,6.125,2026-07-12 23:49:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000011,FVG2-000037,1,bearish,bullish,2026-07-13 00:27:00-04:00,0.25,0.023944124798696315,2026-07-13 00:28:00-04:00,2026-07-13 00:28:00-04:00,29644.75,29653.25,29638.75,29651.25,29650.5,10.730905030606186,0.6057271014384158,1.3512373801318507,1,,1_candles,0.0,0.75,3.0,0,,2026-07-13 00:28:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000012,FVG2-000039,1,bearish,bullish,2026-07-13 00:36:00-04:00,2.0,0.2010709208133432,2026-07-13 00:37:00-04:00,2026-07-13 00:38:00-04:00,29635.25,29639.5,29632.75,29638.75,29638.25,9.473208756970816,0.3694629865962303,0.7125357598641584,2,,2_candles,0.0,0.5,0.25,1,2.5,2026-07-13 00:38:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
IFVG2-000013,FVG2-000044,1,bullish,bearish,2026-07-13 01:11:00-04:00,7.5,0.6648804266043976,2026-07-13 01:12:00-04:00,2026-07-13 01:15:00-04:00,29684.0,29686.25,29664.5,29665.0,29674.25,12.402299079077496,1.5319740218209004,1.753707103926557,4,3,4_candles,0.0,9.25,1.2333333333333334,2,7.75,2026-07-13 01:15:00-04:00,,DEACTIVATED_CLOSE_THROUGH
IFVG2-000014,FVG2-000042,1,bullish,bearish,2026-07-13 01:09:00-04:00,4.0,0.36502580596127665,2026-07-13 01:16:00-04:00,2026-07-13 01:16:00-04:00,29666.0,29668.75,29652.25,29653.25,29656.25,12.694992002000532,1.0043330470779974,1.2997251197479964,7,0,5plus_candles,0.0,3.0,0.75,0,,2026-07-13 01:16:00-04:00,,DEACTIVATED_OVERSHOOT_LIMIT
