id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,activated,activation_candle_number,activation_ts_et,first_tap_ts_et,first_tap_was_activated,n_taps,max_penetration,deactivation_ts_et,deactivation_reason_final
RB2-000001,1,bearish,15,2026-07-12 18:15:00-04:00,29866.25,29887.75,29866.25,29872.75,15.0,0.0,6.5,False,21.5,2.3076923076923075,0.6976744186046512,60.0,25.373724489795915,29872.75,29887.75,10.5,10.5,10.5,0.4138139043884784,0.4138139043884784,0.4138139043884784,False,,,2026-07-12 18:16:00-04:00,False,7,9.75,2026-07-12 18:22:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000002,1,bullish,16,2026-07-12 18:16:00-04:00,29872.75,29879.75,29862.25,29878.0,10.5,1.75,5.25,False,17.5,2.0,0.6,6.0,24.811315597667633,29862.25,29872.75,6.5,6.5,6.5,0.261977240763929,0.261977240763929,0.261977240763929,False,,,2026-07-12 18:17:00-04:00,False,9,10.25,2026-07-12 19:46:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000003,1,bearish,22,2026-07-12 18:22:00-04:00,29885.0,29897.5,29883.0,29892.0,5.5,2.0,7.0,False,14.5,0.7857142857142857,0.3793103448275862,2.75,20.614606621000622,29892.0,29897.5,6.0,17.0,17.0,0.2910557601369724,0.8246579870547551,0.8246579870547551,False,,,2026-07-12 18:23:00-04:00,False,2,2.5,2026-07-12 18:30:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000004,1,bullish,23,2026-07-12 18:23:00-04:00,29893.0,29893.5,29886.0,29888.25,2.25,0.5,4.75,False,7.5,0.47368421052631576,0.3,4.5,19.677849005214863,29886.0,29888.25,0.5,,,0.025409281261762607,,,False,,,2026-07-12 18:24:00-04:00,False,1,11.0,2026-07-12 18:24:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000005,1,bullish,24,2026-07-12 18:24:00-04:00,29888.75,29888.75,29875.0,29882.25,7.25,0.0,6.5,False,13.75,1.1153846153846154,0.5272727272727272,29.0,19.254431219128087,29875.0,29882.25,2.0,8.25,8.25,0.10387219322340323,0.4284727970465383,0.4284727970465383,False,,,2026-07-12 18:25:00-04:00,False,6,3.25,2026-07-12 18:37:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000006,1,bearish,26,2026-07-12 18:26:00-04:00,29884.75,29890.5,29881.75,29882.75,5.75,1.0,2.0,False,8.75,2.875,0.6571428571428571,5.75,17.724484061391056,29884.75,29890.5,3.75,8.0,8.0,0.21157174375352125,0.4513530533408453,0.4513530533408453,False,,,2026-07-12 18:27:00-04:00,False,4,9.5,2026-07-12 18:30:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000007,1,bullish,31,2026-07-12 18:31:00-04:00,29897.0,29900.0,29893.0,29896.25,3.25,3.0,0.75,False,7.0,4.333333333333333,0.4642857142857143,1.0833333333333333,14.818771309212808,29893.0,29896.25,0.75,,,0.050611483526554334,,,False,,,2026-07-12 18:32:00-04:00,False,1,3.25,2026-07-12 18:32:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000008,1,bearish,33,2026-07-12 18:33:00-04:00,29892.5,29895.75,29890.5,29892.25,3.25,1.75,0.25,False,5.25,13.0,0.6190476190476191,1.8571428571428572,13.633277302331452,29892.5,29895.75,2.5,3.25,,0.18337483677328784,0.23838728780527418,,False,,,2026-07-12 18:34:00-04:00,False,2,3.0,2026-07-12 18:35:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000009,1,bullish,34,2026-07-12 18:34:00-04:00,29893.25,29894.25,29890.0,29894.25,3.25,0.0,1.0,False,4.25,3.25,0.7647058823529411,13.0,12.963043209307775,29890.0,29893.25,5.5,,,0.4242830877899773,,,False,,,2026-07-12 18:35:00-04:00,False,1,0.75,2026-07-12 18:35:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000010,1,bearish,36,2026-07-12 18:36:00-04:00,29895.5,29904.25,29893.75,29896.75,7.5,1.75,1.25,False,10.5,6.0,0.7142857142857143,4.285714285714286,12.557419910066399,29896.75,29904.25,25.0,,,1.9908548236058636,,,True,1,2026-07-12 18:37:00-04:00,2026-07-12 18:39:00-04:00,True,4,4.0,2026-07-12 18:55:00-04:00,DEACTIVATED_CLOSE_THROUGH
