id,timeframe,direction,source_seq,source_ts_et,source_open,source_high,source_low,source_close,relevant_wick_length,opposite_wick_length,real_body_length,body_was_zero,total_range,wick_body_ratio,wick_range_ratio,dominant_wick_ratio,atr_at_source_close,zone_lo,zone_hi,mfe_after_1,mfe_after_2,mfe_after_3,mfe_after_1_atr,mfe_after_2_atr,mfe_after_3_atr,confirming_candle_number,confirmed,rejection_reason,activation_ts_et,first_tap_ts_et,max_penetration_after_activation,deactivation_ts_et,deactivation_reason_final
RB2-000019,1,bearish,35,2026-07-12 18:35:00-04:00,29890.25,29898.75,29889.25,29894.5,4.25,1.0,4.25,False,9.5,1.0,0.4473684210526316,4.25,12.715682980071506,29894.5,29898.75,0.75,22.75,,0.05898228205086806,1.7891292222096644,,2,True,,2026-07-12 18:37:00-04:00,2026-07-12 18:39:00-04:00,1.25,2026-07-12 18:44:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000020,1,bearish,36,2026-07-12 18:36:00-04:00,29895.5,29904.25,29893.75,29896.75,7.5,1.75,1.25,False,10.5,6.0,0.7142857142857143,4.285714285714286,12.557419910066399,29896.75,29904.25,25.0,,,1.9908548236058636,,,1,True,,2026-07-12 18:37:00-04:00,2026-07-12 18:39:00-04:00,4.0,2026-07-12 18:55:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000028,1,bearish,45,2026-07-12 18:45:00-04:00,29894.0,29896.5,29890.0,29891.75,2.5,1.75,2.25,False,6.5,1.1111111111111112,0.38461538461538464,1.4285714285714286,12.063746097623511,29894.0,29896.5,12.5,12.5,22.25,1.0361623909228683,1.0361623909228683,1.8443690558427057,3,True,,2026-07-12 18:48:00-04:00,2026-07-12 18:55:00-04:00,11.75,2026-07-12 18:55:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000033,1,bullish,53,2026-07-12 18:53:00-04:00,29891.0,29891.0,29887.25,29889.0,1.75,0.0,2.0,False,3.75,0.875,0.4666666666666667,7.0,10.528023288292607,29887.25,29889.0,3.75,19.25,,0.3561922212092827,1.828453402207651,,2,True,,2026-07-12 18:55:00-04:00,2026-07-12 19:00:00-04:00,6.75,2026-07-12 19:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000037,1,bearish,57,2026-07-12 18:57:00-04:00,29909.0,29915.0,29908.75,29912.0,3.0,0.25,3.0,False,6.25,1.0,0.48,12.0,10.562685421098637,29912.0,29915.0,1.25,2.5,31.5,0.11834111782815795,0.2366822356563159,2.98219616926958,3,True,,2026-07-12 19:00:00-04:00,2026-07-12 20:01:00-04:00,41.5,2026-07-12 20:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000038,1,bearish,58,2026-07-12 18:58:00-04:00,29913.0,29914.75,29910.75,29911.0,1.75,0.25,2.0,False,4.0,0.875,0.4375,7.0,10.093922176734448,29913.0,29914.75,3.5,32.5,,0.34674331134305497,3.2197593196140817,,2,True,,2026-07-12 19:00:00-04:00,2026-07-12 20:01:00-04:00,41.75,2026-07-12 20:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000039,1,bearish,59,2026-07-12 18:59:00-04:00,29913.25,29914.25,29909.5,29910.25,1.0,0.75,3.0,False,4.75,0.3333333333333333,0.21052631578947367,1.3333333333333333,9.712213449824844,29913.25,29914.25,32.75,,,3.3720428581180566,,,1,True,,2026-07-12 19:00:00-04:00,2026-07-12 20:01:00-04:00,42.25,2026-07-12 20:02:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000049,1,bearish,72,2026-07-12 19:12:00-04:00,29892.75,29896.75,29892.5,29893.75,3.0,0.25,1.0,False,4.25,3.0,0.7058823529411765,12.0,9.139963255674093,29893.75,29896.75,0.0,9.25,24.25,0.0,1.0120390795069767,2.653183532761534,3,True,,2026-07-12 19:15:00-04:00,2026-07-12 19:17:00-04:00,1.5,2026-07-12 19:41:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000050,1,bearish,73,2026-07-12 19:13:00-04:00,29893.75,29897.5,29893.75,29896.5,1.0,0.0,2.75,False,3.75,0.36363636363636365,0.26666666666666666,4.0,8.7549658802688,29896.5,29897.5,12.0,27.0,,1.370650687176815,3.0839640461478335,,2,True,,2026-07-12 19:15:00-04:00,2026-07-12 19:40:00-04:00,0.75,2026-07-12 19:41:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000070,1,bullish,97,2026-07-12 19:37:00-04:00,29882.0,29882.75,29879.5,29880.75,1.25,0.75,1.25,False,3.25,1.0,0.38461538461538464,1.6666666666666667,7.506697518160229,29879.5,29880.75,3.25,12.75,,0.43294671087220293,1.698483250344796,,2,True,,2026-07-12 19:39:00-04:00,2026-07-12 19:45:00-04:00,5.5,2026-07-12 19:45:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000071,1,bullish,98,2026-07-12 19:38:00-04:00,29883.5,29884.0,29877.75,29882.25,4.5,0.5,1.25,False,6.25,3.6,0.72,9.0,7.4169334097202135,29877.75,29882.25,11.25,,,1.5167993803552808,,,1,True,,2026-07-12 19:39:00-04:00,2026-07-12 19:45:00-04:00,3.75,2026-07-12 19:45:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000074,1,bearish,102,2026-07-12 19:42:00-04:00,29894.0,29898.0,29894.0,29895.25,2.75,0.0,1.25,False,4.0,2.2,0.6875,11.0,7.272419958221028,29895.25,29898.0,5.75,6.5,21.25,0.7906584098598397,0.8937877676676449,2.921998471221147,3,True,,2026-07-12 19:45:00-04:00,2026-07-12 19:52:00-04:00,4.0,2026-07-12 20:00:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000076,1,bullish,107,2026-07-12 19:47:00-04:00,29854.75,29871.25,29845.0,29866.25,9.75,5.0,11.5,False,26.25,0.8478260869565217,0.37142857142857144,1.95,10.511966040094453,29845.0,29854.75,11.5,12.25,29.75,1.093991357671535,1.1653386201283742,2.8301080774546232,3,True,,2026-07-12 19:50:00-04:00,2026-07-12 20:41:00-04:00,36.5,2026-07-12 20:52:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000077,1,bullish,108,2026-07-12 19:48:00-04:00,29864.0,29866.25,29857.5,29861.5,4.0,2.25,2.5,False,8.75,1.6,0.45714285714285713,1.7777777777777777,10.386111322944851,29857.5,29861.5,5.5,23.0,,0.529553345711737,2.214495809339991,,2,True,,2026-07-12 19:50:00-04:00,2026-07-12 20:41:00-04:00,7.5,2026-07-12 20:41:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000082,1,bullish,114,2026-07-12 19:54:00-04:00,29875.0,29878.5,29871.0,29876.5,4.0,2.0,1.5,False,7.5,2.6666666666666665,0.5333333333333333,2.0,11.559246659899376,29871.0,29875.0,2.0,7.75,17.5,0.17302165606849418,0.670458917265415,1.5139394905993242,3,True,,2026-07-12 19:57:00-04:00,2026-07-12 20:00:00-04:00,21.0,2026-07-12 20:41:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000083,1,bullish,115,2026-07-12 19:55:00-04:00,29876.5,29877.0,29865.75,29875.0,9.25,0.5,1.5,False,11.25,6.166666666666667,0.8222222222222222,18.5,11.537157612763707,29865.75,29875.0,7.75,17.5,,0.6717425782088714,1.5168380798264838,,2,True,,2026-07-12 19:57:00-04:00,2026-07-12 20:00:00-04:00,15.75,2026-07-12 20:41:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000087,1,bullish,119,2026-07-12 19:59:00-04:00,29882.75,29895.0,29878.5,29893.25,4.25,1.75,10.5,False,16.5,0.40476190476190477,0.25757575757575757,2.4285714285714284,11.615824359072892,29878.5,29882.75,19.25,,,1.6572220278937158,,,1,True,,2026-07-12 20:00:00-04:00,2026-07-12 20:01:00-04:00,28.5,2026-07-12 20:41:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000088,1,bullish,123,2026-07-12 20:03:00-04:00,29954.0,29965.0,29942.25,29959.75,11.75,5.25,5.75,False,22.75,2.0434782608695654,0.5164835164835165,2.238095238095238,17.721185431056877,29942.25,29954.0,32.25,,,1.8198556820855203,,,1,True,,2026-07-12 20:04:00-04:00,2026-07-12 20:06:00-04:00,5.0,2026-07-12 20:31:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000099,1,bearish,135,2026-07-12 20:15:00-04:00,30018.0,30032.25,30001.0,30010.5,14.25,9.5,7.5,False,31.25,1.9,0.456,1.5,21.353400456749682,30018.0,30032.25,19.5,36.75,,0.9132034984074945,1.721037362383355,,2,True,,2026-07-12 20:17:00-04:00,,0.0,2026-07-13 04:17:00-04:00,EXPIRED_UNTOUCHED_8H
RB2-000100,1,bearish,136,2026-07-12 20:16:00-04:00,30010.75,30015.75,29998.5,30003.0,5.0,4.5,7.75,False,17.25,0.6451612903225806,0.2898550724637681,1.1111111111111112,21.060300424124705,30010.75,30015.75,29.5,40.75,,1.4007397523260194,1.934920166348654,,2,True,,2026-07-12 20:18:00-04:00,2026-07-12 20:23:00-04:00,0.0,2026-07-13 04:18:00-04:00,EXPIRED_ACTIVE_8H
RB2-000102,1,bullish,139,2026-07-12 20:19:00-04:00,29970.25,29974.75,29958.0,29972.0,12.25,2.75,1.75,False,16.75,7.0,0.7313432835820896,4.454545454545454,20.54217566756632,29958.0,29970.25,27.0,31.25,,1.314369054035003,1.5212604792071796,,2,True,,2026-07-12 20:21:00-04:00,2026-07-12 20:29:00-04:00,20.75,2026-07-12 20:31:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000103,1,bullish,140,2026-07-12 20:20:00-04:00,29975.0,29997.25,29970.0,29996.5,5.0,0.75,21.5,False,27.25,0.23255813953488372,0.1834862385321101,6.666666666666667,21.021305977025868,29970.0,29975.0,26.5,26.5,39.25,1.2606257683971578,1.2606257683971578,1.8671532607391865,3,True,,2026-07-12 20:23:00-04:00,2026-07-12 20:28:00-04:00,6.0,2026-07-12 20:29:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000108,1,bearish,146,2026-07-12 20:26:00-04:00,29997.75,30004.5,29993.0,29999.5,5.0,4.75,1.75,False,11.5,2.857142857142857,0.43478260869565216,1.0526315789473684,19.55660337259325,29999.5,30004.5,16.0,28.5,35.5,0.8181379810781714,1.4573082787954927,1.8152436455171927,3,True,,2026-07-12 20:29:00-04:00,,0.0,2026-07-13 04:29:00-04:00,EXPIRED_UNTOUCHED_8H
RB2-000110,1,bearish,150,2026-07-12 20:30:00-04:00,29968.0,29971.75,29959.5,29960.75,3.75,1.25,7.25,False,12.25,0.5172413793103449,0.30612244897959184,3.0,18.265446660887015,29968.0,29971.75,30.75,,,1.683506599696079,,,1,True,,2026-07-12 20:31:00-04:00,,0.0,2026-07-13 04:31:00-04:00,EXPIRED_UNTOUCHED_8H
RB2-000113,1,bearish,155,2026-07-12 20:35:00-04:00,29912.0,29928.5,29911.75,29920.0,8.5,0.25,8.0,False,16.75,1.0625,0.5074626865671642,34.0,18.433420574501554,29920.0,29928.5,7.0,24.5,30.0,0.379745038188024,1.329107633658084,1.6274787350915314,3,True,,2026-07-12 20:38:00-04:00,,0.0,2026-07-13 04:38:00-04:00,EXPIRED_UNTOUCHED_8H
RB2-000114,1,bearish,156,2026-07-12 20:36:00-04:00,29921.25,29928.0,29913.0,29913.0,6.75,0.0,8.25,False,15.0,0.8181818181818182,0.45,27.0,18.188176247751443,29921.25,29928.0,25.75,31.25,,1.4157549195281967,1.7181491741847046,,2,True,,2026-07-12 20:38:00-04:00,,0.0,2026-07-13 04:38:00-04:00,EXPIRED_UNTOUCHED_8H
RB2-000118,1,bearish,160,2026-07-12 20:40:00-04:00,29893.75,29903.5,29884.0,29884.5,9.75,0.5,9.25,False,19.5,1.054054054054054,0.5,19.5,17.886818039671727,29893.75,29903.5,43.75,,,2.4459353196843354,,,1,True,,2026-07-12 20:41:00-04:00,2026-07-12 20:45:00-04:00,1.75,2026-07-12 20:48:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000121,1,bullish,164,2026-07-12 20:44:00-04:00,29875.5,29885.0,29870.0,29881.75,5.5,3.25,6.25,False,15.0,0.88,0.36666666666666664,1.6923076923076923,18.751455383982307,29870.0,29875.5,22.5,29.75,,1.1999068626544978,1.5865435183987247,,2,True,,2026-07-12 20:46:00-04:00,2026-07-12 20:49:00-04:00,9.75,2026-07-12 20:49:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000125,1,bearish,171,2026-07-12 20:51:00-04:00,29864.5,29869.0,29852.25,29854.75,4.5,2.5,9.75,False,16.75,0.46153846153846156,0.26865671641791045,1.8,20.172676168098487,29864.5,29869.0,56.0,,,2.7760322692613104,,,1,True,,2026-07-12 20:52:00-04:00,,0.0,2026-07-13 04:52:00-04:00,EXPIRED_UNTOUCHED_8H
RB2-000132,1,bullish,180,2026-07-12 21:00:00-04:00,29836.75,29838.0,29809.5,29818.75,9.25,1.25,18.0,False,28.5,0.5138888888888888,0.32456140350877194,7.4,20.964133249955115,29809.5,29818.75,20.25,25.75,32.5,0.9659354745822061,1.2282883195304595,1.5502668110578617,3,True,,2026-07-12 21:03:00-04:00,2026-07-12 21:04:00-04:00,4.0,2026-07-12 21:05:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000134,1,bearish,183,2026-07-12 21:03:00-04:00,29844.0,29851.25,29840.0,29841.0,7.25,1.0,3.0,False,11.25,2.4166666666666665,0.6444444444444445,7.25,20.16233627920969,29844.0,29851.25,36.0,,,1.7855073688618741,,,1,True,,2026-07-12 21:04:00-04:00,2026-07-12 21:16:00-04:00,0.0,2026-07-13 05:04:00-04:00,EXPIRED_ACTIVE_8H
RB2-000141,1,bullish,192,2026-07-12 21:12:00-04:00,29796.75,29816.25,29790.25,29815.5,6.5,0.75,18.75,False,26.0,0.3466666666666667,0.25,8.666666666666666,20.864946043776133,29790.25,29796.75,22.75,22.75,47.0,1.0903454987263754,1.0903454987263754,2.2525819094566875,3,True,,2026-07-12 21:15:00-04:00,2026-07-12 21:25:00-04:00,14.25,2026-07-12 21:48:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000142,1,bullish,193,2026-07-12 21:13:00-04:00,29815.5,29819.5,29803.75,29811.75,8.0,4.0,3.75,False,15.75,2.1333333333333333,0.5079365079365079,2.0,20.49959275493498,29803.75,29811.75,4.0,32.0,,0.1951258275136738,1.5610066201093904,,2,True,,2026-07-12 21:15:00-04:00,2026-07-12 21:24:00-04:00,8.25,2026-07-12 21:25:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000143,1,bullish,194,2026-07-12 21:14:00-04:00,29814.0,29815.75,29806.0,29812.25,6.25,1.75,1.75,False,9.75,3.5714285714285716,0.6410256410256411,3.5714285714285716,19.731764701011052,29806.0,29812.25,31.5,,,1.5964106848682391,,,1,True,,2026-07-12 21:15:00-04:00,2026-07-12 21:24:00-04:00,10.5,2026-07-12 21:25:00-04:00,DEACTIVATED_CLOSE_THROUGH
RB2-000150,1,bearish,203,2026-07-12 21:23:00-04:00,29829.0,29831.25,29822.5,29822.75,2.25,0.25,6.25,False,8.75,0.36,0.2571428571428571,9.0,17.49947049328821,29829.0,29831.25,20.5,33.5,,1.1714640170319792,1.9143436375888443,,2,True,,2026-07-12 21:25:00-04:00,2026-07-12 21:36:00-04:00,1.5,2026-07-12 21:36:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000160,1,bearish,223,2026-07-12 21:43:00-04:00,29819.25,29829.75,29809.0,29813.5,10.5,4.5,5.75,False,20.75,1.826086956521739,0.5060240963855421,2.3333333333333335,16.584823263969394,29819.25,29829.75,16.0,17.5,29.0,0.9647374437061428,1.0551815790535937,1.7485866167173838,3,True,,2026-07-12 21:46:00-04:00,,0.0,2026-07-13 05:46:00-04:00,EXPIRED_UNTOUCHED_8H
RB2-000164,1,bearish,228,2026-07-12 21:48:00-04:00,29795.5,29805.0,29776.0,29781.0,9.5,5.0,14.5,False,29.0,0.6551724137931034,0.3275862068965517,1.9,16.254522918555118,29795.5,29805.0,18.5,22.75,33.5,1.1381447547058787,1.39961044159777,2.0609648260890236,3,True,,2026-07-12 21:51:00-04:00,2026-07-12 22:22:00-04:00,2.25,2026-07-12 22:25:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000165,1,bearish,229,2026-07-12 21:49:00-04:00,29782.5,29799.5,29777.0,29777.0,17.0,0.0,5.5,False,22.5,3.090909090909091,0.7555555555555555,68.0,16.70062842437261,29782.5,29799.5,9.75,20.5,27.5,0.5838103664273506,1.2274987191549422,1.6466446232566299,3,True,,2026-07-12 21:52:00-04:00,2026-07-12 22:20:00-04:00,7.75,2026-07-12 22:25:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
RB2-000171,1,bearish,237,2026-07-12 21:57:00-04:00,29762.25,29769.0,29745.25,29750.5,6.75,5.25,11.75,False,23.75,0.574468085106383,0.28421052631578947,1.2857142857142858,18.318804296490566,29762.25,29769.0,19.0,19.0,28.75,1.0371855986059055,1.0371855986059055,1.5694255768378833,3,True,,2026-07-12 22:00:00-04:00,2026-07-12 22:03:00-04:00,2.25,2026-07-12 22:05:00-04:00,DEACTIVATED_OVERSHOOT_LIMIT
