timeframe,source_seq,source_ts,source_ohlc,lower_wick,upper_wick,wick_body_ratio,reason
1,14,2026-07-12 18:14:00-04:00,"(29880.75, 29884.25, 29860.75, 29864.25)",3.5,3.5,0.21212121212121213,equal_wick_ambiguous
1,50,2026-07-12 18:50:00-04:00,"(29880.75, 29882.75, 29879.0, 29881.0)",1.75,1.75,7.0,equal_wick_ambiguous
1,80,2026-07-12 19:20:00-04:00,"(29890.0, 29894.0, 29883.0, 29887.0)",4.0,4.0,1.3333333333333333,equal_wick_ambiguous
1,174,2026-07-12 20:54:00-04:00,"(29829.25, 29836.25, 29824.75, 29831.75)",4.5,4.5,1.8,equal_wick_ambiguous
1,300,2026-07-12 23:00:00-04:00,"(29717.5, 29721.25, 29712.75, 29716.5)",3.75,3.75,3.75,equal_wick_ambiguous
1,529,2026-07-13 02:49:00-04:00,"(29645.5, 29647.0, 29641.25, 29642.75)",1.5,1.5,0.5454545454545454,equal_wick_ambiguous
1,606,2026-07-13 04:06:00-04:00,"(29666.75, 29681.0, 29662.25, 29676.5)",4.5,4.5,0.46153846153846156,equal_wick_ambiguous
1,621,2026-07-13 04:21:00-04:00,"(29717.0, 29730.0, 29714.75, 29727.75)",2.25,2.25,0.20930232558139536,equal_wick_ambiguous
1,830,2026-07-13 07:50:00-04:00,"(29760.75, 29766.0, 29759.75, 29765.0)",1.0,1.0,0.23529411764705882,equal_wick_ambiguous
1,885,2026-07-13 08:45:00-04:00,"(29688.75, 29693.25, 29687.25, 29691.75)",1.5,1.5,0.5,equal_wick_ambiguous
1,924,2026-07-13 09:24:00-04:00,"(29691.0, 29694.0, 29687.5, 29690.5)",3.0,3.0,6.0,equal_wick_ambiguous
1,1085,2026-07-13 12:05:00-04:00,"(29594.25, 29599.5, 29584.25, 29589.5)",5.25,5.25,1.105263157894737,equal_wick_ambiguous
