config_id,grammar,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
BENCH_RB_K1,A,,EVALUATED,2150,5.164722031571722,1.48615804879205,1.3514820637900458,1.2295607889638893,459.4424,349.5419324833029,239.64146496660578,-21.441724631451265,-26.107251297285522,8,8,8
D000,D,AMD tf1m L12 w1.0 exc0.0 mw6 midpoint rbw6,TOO_FEW,2,,,,,,,,,,,,
D000_V,D,AMD tf1m L12 w1.0 exc0.0 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D001,D,AMD tf1m L12 w1.0 exc0.0 mw6 midpoint rbw12,TOO_FEW,4,,,,,,,,,,,,
D001_V,D,AMD tf1m L12 w1.0 exc0.0 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D002,D,AMD tf1m L12 w1.0 exc0.0 mw6 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D002_V,D,AMD tf1m L12 w1.0 exc0.0 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D003,D,AMD tf1m L12 w1.0 exc0.0 mw6 opposite rbw12,TOO_FEW,3,,,,,,,,,,,,
D003_V,D,AMD tf1m L12 w1.0 exc0.0 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D004,D,AMD tf1m L12 w1.0 exc0.0 mw12 midpoint rbw6,TOO_FEW,2,,,,,,,,,,,,
D004_V,D,AMD tf1m L12 w1.0 exc0.0 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D005,D,AMD tf1m L12 w1.0 exc0.0 mw12 midpoint rbw12,TOO_FEW,4,,,,,,,,,,,,
D005_V,D,AMD tf1m L12 w1.0 exc0.0 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D006,D,AMD tf1m L12 w1.0 exc0.0 mw12 opposite rbw6,TOO_FEW,2,,,,,,,,,,,,
D006_V,D,AMD tf1m L12 w1.0 exc0.0 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D007,D,AMD tf1m L12 w1.0 exc0.0 mw12 opposite rbw12,TOO_FEW,4,,,,,,,,,,,,
D007_V,D,AMD tf1m L12 w1.0 exc0.0 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D008,D,AMD tf1m L12 w1.0 exc0.25 mw6 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D008_V,D,AMD tf1m L12 w1.0 exc0.25 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D009,D,AMD tf1m L12 w1.0 exc0.25 mw6 midpoint rbw12,TOO_FEW,1,,,,,,,,,,,,
D009_V,D,AMD tf1m L12 w1.0 exc0.25 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D010,D,AMD tf1m L12 w1.0 exc0.25 mw6 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D010_V,D,AMD tf1m L12 w1.0 exc0.25 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D011,D,AMD tf1m L12 w1.0 exc0.25 mw6 opposite rbw12,TOO_FEW,1,,,,,,,,,,,,
D011_V,D,AMD tf1m L12 w1.0 exc0.25 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D012,D,AMD tf1m L12 w1.0 exc0.25 mw12 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D012_V,D,AMD tf1m L12 w1.0 exc0.25 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D013,D,AMD tf1m L12 w1.0 exc0.25 mw12 midpoint rbw12,TOO_FEW,1,,,,,,,,,,,,
D013_V,D,AMD tf1m L12 w1.0 exc0.25 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D014,D,AMD tf1m L12 w1.0 exc0.25 mw12 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D014_V,D,AMD tf1m L12 w1.0 exc0.25 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D015,D,AMD tf1m L12 w1.0 exc0.25 mw12 opposite rbw12,TOO_FEW,1,,,,,,,,,,,,
D015_V,D,AMD tf1m L12 w1.0 exc0.25 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D016,D,AMD tf1m L12 w1.5 exc0.0 mw6 midpoint rbw6,TOO_FEW,19,,,,,,,,,,,,
D016_V,D,AMD tf1m L12 w1.5 exc0.0 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D017,D,AMD tf1m L12 w1.5 exc0.0 mw6 midpoint rbw12,TOO_FEW,32,,,,,,,,,,,,
D017_V,D,AMD tf1m L12 w1.5 exc0.0 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,7,,,,,,,,,,,,
D018,D,AMD tf1m L12 w1.5 exc0.0 mw6 opposite rbw6,TOO_FEW,17,,,,,,,,,,,,
D018_V,D,AMD tf1m L12 w1.5 exc0.0 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,2,,,,,,,,,,,,
D019,D,AMD tf1m L12 w1.5 exc0.0 mw6 opposite rbw12,TOO_FEW,27,,,,,,,,,,,,
D019_V,D,AMD tf1m L12 w1.5 exc0.0 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,8,,,,,,,,,,,,
D020,D,AMD tf1m L12 w1.5 exc0.0 mw12 midpoint rbw6,TOO_FEW,20,,,,,,,,,,,,
D020_V,D,AMD tf1m L12 w1.5 exc0.0 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D021,D,AMD tf1m L12 w1.5 exc0.0 mw12 midpoint rbw12,TOO_FEW,36,,,,,,,,,,,,
D021_V,D,AMD tf1m L12 w1.5 exc0.0 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,8,,,,,,,,,,,,
D022,D,AMD tf1m L12 w1.5 exc0.0 mw12 opposite rbw6,TOO_FEW,23,,,,,,,,,,,,
D022_V,D,AMD tf1m L12 w1.5 exc0.0 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,3,,,,,,,,,,,,
D023,D,AMD tf1m L12 w1.5 exc0.0 mw12 opposite rbw12,TOO_FEW,36,,,,,,,,,,,,
D023_V,D,AMD tf1m L12 w1.5 exc0.0 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,10,,,,,,,,,,,,
D024,D,AMD tf1m L12 w1.5 exc0.25 mw6 midpoint rbw6,TOO_FEW,12,,,,,,,,,,,,
D024_V,D,AMD tf1m L12 w1.5 exc0.25 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,2,,,,,,,,,,,,
D025,D,AMD tf1m L12 w1.5 exc0.25 mw6 midpoint rbw12,TOO_FEW,23,,,,,,,,,,,,
D025_V,D,AMD tf1m L12 w1.5 exc0.25 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,8,,,,,,,,,,,,
D026,D,AMD tf1m L12 w1.5 exc0.25 mw6 opposite rbw6,TOO_FEW,12,,,,,,,,,,,,
D026_V,D,AMD tf1m L12 w1.5 exc0.25 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,2,,,,,,,,,,,,
D027,D,AMD tf1m L12 w1.5 exc0.25 mw6 opposite rbw12,TOO_FEW,21,,,,,,,,,,,,
D027_V,D,AMD tf1m L12 w1.5 exc0.25 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,8,,,,,,,,,,,,
D028,D,AMD tf1m L12 w1.5 exc0.25 mw12 midpoint rbw6,TOO_FEW,13,,,,,,,,,,,,
D028_V,D,AMD tf1m L12 w1.5 exc0.25 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,2,,,,,,,,,,,,
D029,D,AMD tf1m L12 w1.5 exc0.25 mw12 midpoint rbw12,TOO_FEW,25,,,,,,,,,,,,
D029_V,D,AMD tf1m L12 w1.5 exc0.25 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,8,,,,,,,,,,,,
D030,D,AMD tf1m L12 w1.5 exc0.25 mw12 opposite rbw6,TOO_FEW,16,,,,,,,,,,,,
D030_V,D,AMD tf1m L12 w1.5 exc0.25 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,4,,,,,,,,,,,,
D031,D,AMD tf1m L12 w1.5 exc0.25 mw12 opposite rbw12,TOO_FEW,26,,,,,,,,,,,,
D031_V,D,AMD tf1m L12 w1.5 exc0.25 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,11,,,,,,,,,,,,
D032,D,AMD tf1m L18 w1.0 exc0.0 mw6 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D032_V,D,AMD tf1m L18 w1.0 exc0.0 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D033,D,AMD tf1m L18 w1.0 exc0.0 mw6 midpoint rbw12,TOO_FEW,3,,,,,,,,,,,,
D033_V,D,AMD tf1m L18 w1.0 exc0.0 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D034,D,AMD tf1m L18 w1.0 exc0.0 mw6 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D034_V,D,AMD tf1m L18 w1.0 exc0.0 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D035,D,AMD tf1m L18 w1.0 exc0.0 mw6 opposite rbw12,TOO_FEW,3,,,,,,,,,,,,
D035_V,D,AMD tf1m L18 w1.0 exc0.0 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D036,D,AMD tf1m L18 w1.0 exc0.0 mw12 midpoint rbw6,TOO_FEW,1,,,,,,,,,,,,
D036_V,D,AMD tf1m L18 w1.0 exc0.0 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D037,D,AMD tf1m L18 w1.0 exc0.0 mw12 midpoint rbw12,TOO_FEW,3,,,,,,,,,,,,
D037_V,D,AMD tf1m L18 w1.0 exc0.0 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D038,D,AMD tf1m L18 w1.0 exc0.0 mw12 opposite rbw6,TOO_FEW,1,,,,,,,,,,,,
D038_V,D,AMD tf1m L18 w1.0 exc0.0 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D039,D,AMD tf1m L18 w1.0 exc0.0 mw12 opposite rbw12,TOO_FEW,3,,,,,,,,,,,,
D039_V,D,AMD tf1m L18 w1.0 exc0.0 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D040,D,AMD tf1m L18 w1.0 exc0.25 mw6 midpoint rbw6,TOO_FEW,0,,,,,,,,,,,,
D040_V,D,AMD tf1m L18 w1.0 exc0.25 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D041,D,AMD tf1m L18 w1.0 exc0.25 mw6 midpoint rbw12,TOO_FEW,0,,,,,,,,,,,,
D041_V,D,AMD tf1m L18 w1.0 exc0.25 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D042,D,AMD tf1m L18 w1.0 exc0.25 mw6 opposite rbw6,TOO_FEW,0,,,,,,,,,,,,
D042_V,D,AMD tf1m L18 w1.0 exc0.25 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D043,D,AMD tf1m L18 w1.0 exc0.25 mw6 opposite rbw12,TOO_FEW,0,,,,,,,,,,,,
D043_V,D,AMD tf1m L18 w1.0 exc0.25 mw6 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D044,D,AMD tf1m L18 w1.0 exc0.25 mw12 midpoint rbw6,TOO_FEW,0,,,,,,,,,,,,
D044_V,D,AMD tf1m L18 w1.0 exc0.25 mw12 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D045,D,AMD tf1m L18 w1.0 exc0.25 mw12 midpoint rbw12,TOO_FEW,0,,,,,,,,,,,,
D045_V,D,AMD tf1m L18 w1.0 exc0.25 mw12 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D046,D,AMD tf1m L18 w1.0 exc0.25 mw12 opposite rbw6,TOO_FEW,0,,,,,,,,,,,,
D046_V,D,AMD tf1m L18 w1.0 exc0.25 mw12 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D047,D,AMD tf1m L18 w1.0 exc0.25 mw12 opposite rbw12,TOO_FEW,0,,,,,,,,,,,,
D047_V,D,AMD tf1m L18 w1.0 exc0.25 mw12 opposite rbw12 + 09:30VWAP<1sd,TOO_FEW,0,,,,,,,,,,,,
D048,D,AMD tf1m L18 w1.5 exc0.0 mw6 midpoint rbw6,TOO_FEW,2,,,,,,,,,,,,
D048_V,D,AMD tf1m L18 w1.5 exc0.0 mw6 midpoint rbw6 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D049,D,AMD tf1m L18 w1.5 exc0.0 mw6 midpoint rbw12,TOO_FEW,4,,,,,,,,,,,,
D049_V,D,AMD tf1m L18 w1.5 exc0.0 mw6 midpoint rbw12 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
D050,D,AMD tf1m L18 w1.5 exc0.0 mw6 opposite rbw6,TOO_FEW,2,,,,,,,,,,,,
D050_V,D,AMD tf1m L18 w1.5 exc0.0 mw6 opposite rbw6 + 09:30VWAP<1sd,TOO_FEW,1,,,,,,,,,,,,
