config_id,desc,status,trades,per_week,pf0,pf1,pf2,net0,net1,net2,mdd1,mdd2,posyr0,posyr1,posyr2
BENCH,RB-K1 benchmark,EVALUATED,2150,5.164722031571722,1.48615804879205,1.3514820637900458,1.2295607889638893,459.4424,349.5419324833029,239.64146496660578,-21.441724631451265,-26.107251297285522,8,8,8
V00,AMD tf1m w3.00 gate=True wait30m,EVALUATED,1670,4.011667810569664,1.4688421989686866,1.3616253896195285,1.262902149340476,361.82169999999996,291.0861945085043,220.35068901700865,-24.237067569136684,-29.74544362576634,8,8,7
V00_K1,AMD tf1m w3.00 gate=True wait30m +K1 VWAP state,EVALUATED,383,0.920041180507893,1.73465,1.5778625947035165,1.4353842201867992,110.19749999999999,91.03197271976359,71.86644543952717,-10.716358605193705,-11.891317210387328,7,7,7
V01,AMD tf1m w3.00 gate=True wait60m,EVALUATED,2333,5.604323953328758,1.359665862480188,1.2577925571622097,1.1641403232383754,403.2929,301.7509242193567,200.20894843871338,-39.986041722558866,-43.92028344511701,8,8,6
V01_K1,AMD tf1m w3.00 gate=True wait60m +K1 VWAP state,EVALUATED,601,1.4437199725463281,1.73685368852459,1.5828937224824489,1.4432993628639665,179.7923,149.54428560395706,119.29627120791412,-13.580756773035063,-15.537113546070046,8,8,8
V02,AMD tf1m w3.00 gate=False wait30m,EVALUATED,1980,4.756348661633494,1.475221475534005,1.3652687788109494,1.2642229483363947,436.5547,350.33938534178054,264.124070683561,-28.601908348331904,-33.012116696664066,8,8,7
V02_K1,AMD tf1m w3.00 gate=False wait30m +K1 VWAP state,EVALUATED,508,1.2203157172271792,1.76752333027346,1.606973596196092,1.4611475640641503,152.006,126.27817605631151,100.55035211262302,-14.94379615468317,-16.346192309366245,8,8,8
V03,AMD tf1m w3.00 gate=False wait60m,EVALUATED,2747,6.598833218943033,1.418763095310652,1.3111489488318115,1.2124145791766696,547.6049,425.179051798386,302.75320359677215,-20.919777063647132,-22.485254127294326,8,8,7
V03_K1,AMD tf1m w3.00 gate=False wait60m +K1 VWAP state,EVALUATED,769,1.8472889498970488,1.835477071052598,1.6722048203650397,1.5241346288384785,251.51819999999998,212.75373700895153,173.98927401790306,-12.366783974696233,-13.799167949392398,8,8,8
V04,AMD tf1m w4.50 gate=True wait30m,EVALUATED,3115,7.482841455044612,1.3515280607243636,1.2503045652954323,1.1575033512208739,542.0414000000001,403.47313153708944,264.9048630741788,-19.773249304082725,-30.743248472465584,8,7,7
V04_K1,AMD tf1m w4.50 gate=True wait30m +K1 VWAP state,EVALUATED,826,1.9842141386410432,1.452490633608815,1.3206878601304348,1.201126361879404,164.2541,122.36898244157034,80.48386488314065,-21.34338936893525,-25.923678737870475,7,7,6
V05,AMD tf1m w4.50 gate=True wait60m,EVALUATED,3448,8.28277282086479,1.3300527896628362,1.228560476654815,1.1355952326003222,567.6269000000001,411.10703622048646,254.5871724409729,-30.29244564123826,-35.36539128247625,8,7,7
V05_K1,AMD tf1m w4.50 gate=True wait60m +K1 VWAP state,EVALUATED,998,2.397391901166781,1.4653376391982182,1.3358737508200769,1.2185250345090608,208.9366,158.59204588588415,108.24749177176834,-34.082561739786335,-40.3368234795726,7,7,7
