amd,tpo,vwap,n,wk,pf1,pf2,net1,net2,mdd1,mdd2,py1,py2
none,none,none,6141,14.751887439945094,1.2208237505311574,1.126583306438327,711.1963469930961,426.1569939861919,-35.052621456325426,-53.18012766992283,7,6
none,none,K1_930,2150,5.164722031571722,1.3514820637900458,1.2295607889638893,349.5419324833029,239.64146496660578,-21.441724631451265,-26.107251297285522,8,8
none,none,K3_LON_EMA,928,2.229238160603981,1.6539817735129223,1.5080037860147324,227.97779172277131,185.0145834455426,-11.6753482154501,-13.339396430900024,8,7
none,none,930_and_EMA,1010,2.4262182566918327,1.4427991119420949,1.3217089112195328,199.48291666689113,151.51243333378227,-17.608685217955603,-21.51985744877954,7,7
none,in_value,none,2373,5.70041180507893,1.2527957765068065,1.1519583411416876,306.1389571113358,192.60441422267164,-32.59438222415053,-38.145046748058874,7,6
none,in_value,K1_930,991,2.380576527110501,1.280599265109264,1.163642807814799,130.60338389517332,80.00316779034667,-21.594005184399975,-31.940537412198893,7,5
none,in_value,K3_LON_EMA,466,1.119423472889499,1.5118749179796307,1.3753399335265237,91.1080309292953,69.8048618585906,-8.219335838729315,-8.438671677458629,7,6
none,in_value,930_and_EMA,439,1.0545641729581332,1.4905594876162762,1.360648768711053,90.46642643106075,69.54375286212151,-17.421752643820973,-21.588360567145063,6,6
none,below_POC,none,3261,7.8335621139327385,1.256261340214002,1.1611455048707422,429.1187740315719,281.88584806314356,-55.50344528581061,-74.21759057162168,7,5
none,below_POC,K1_930,1096,2.6328071379547016,1.3673125745123194,1.2498264450176417,187.83834822006168,133.84979644012333,-16.750251890026583,-20.964403780053196,8,7
none,below_POC,K3_LON_EMA,468,1.1242278654770075,1.758946553699559,1.6130192188020087,130.67721672701947,109.95403345403889,-10.854015960045873,-11.890131920091743,7,7
none,below_POC,930_and_EMA,526,1.2635552505147565,1.6203973904452205,1.4903351504170845,139.48455539941722,115.06301079883445,-13.21294282340304,-15.174965232042364,6,6
none,above_POC,none,2949,7.0840768702814,1.1712164278534896,1.078870123574536,272.24628394436036,131.18156788872068,-64.83684545454676,-96.2594176492148,6,5
none,above_POC,K1_930,1069,2.567947838023336,1.3426947169446675,1.2156430249548182,167.32781737848873,110.73143475697745,-18.909189999880084,-23.176279999760055,8,7
none,above_POC,K3_LON_EMA,469,1.1266300617707619,1.5573642833177475,1.412415286339354,100.66324464525754,78.03378929051507,-11.083175960980405,-12.73665192196082,7,7
none,above_POC,930_and_EMA,489,1.1746739876458476,1.2679528344734812,1.1559871056325726,61.02962619868251,37.19945239736502,-17.870024361309998,-20.256648722620017,6,6
none,gt1ATR_POC,none,5487,13.180851063829788,1.18550008059037,1.0941197953060546,564.4986241942718,299.8518483885432,-40.72688020326933,-73.78542733668795,7,6
none,gt1ATR_POC,K1_930,1744,4.189430336307481,1.338444355755179,1.218000916419501,281.5574537594484,190.49640751889675,-20.905512027851387,-24.537024055702773,8,8
none,gt1ATR_POC,K3_LON_EMA,695,1.6695264241592314,1.655274476521211,1.5097773456003905,179.95596076751116,146.43542153502233,-12.882206073818082,-14.487812147636163,8,7
none,gt1ATR_POC,930_and_EMA,809,1.9433768016472204,1.4027238951424346,1.2861616298182388,153.74844506084585,114.33379012169172,-16.65900053166932,-18.943701063338608,7,7
AMD0,none,none,1670,4.011667810569664,1.3616253896195285,1.262902149340476,291.0861945085043,220.35068901700865,-24.237067569136684,-29.74544362576634,8,7
AMD0,in_value,none,584,1.4028826355525053,1.442477655911816,1.3319405340609518,119.48209886964811,93.5320977392962,-14.291112400725652,-15.96672480145125,8,8
AMD0,below_POC,none,929,2.231640356897735,1.5852671301152244,1.4714534651512252,236.25859839701542,198.04709679403084,-11.939816175634121,-12.5290277382297,8,7
