candidate_id,episode_id,branch_id,branch_state,direction,entry_mode,continuation_or_fade,exact_graph,reduced_graph,entry_seq,entry_price,structural_stop,structural_target,natural_rr,executed_rr,effective_sample,unique_sessions,shrunk_expected_R,uncertainty,qualification,outcome
SETUP-041466,EP-000011,BR-000001,FADE,short,formation_close,fade,VWAP_VWAP_BOUNCE_UP -> FORMATION_CLOSE_SHORT_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,5,23008.5,23011.5,22993.340270460132,5.0532,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,WIN
SETUP-041467,EP-000014,BR-000002,FADE,short,formation_close,fade,VWAP_BAND_REJECT_P1_618 -> FORMATION_CLOSE_SHORT_TRIGGER,BAND_REJECTION -> ENTRY_TRIGGER,6,23000.0,23011.5,22993.7548146904,0.5431,0.5431,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,AMBIGUOUS
SETUP-041468,EP-000016,BR-000003,FADE,short,formation_close,fade,VWAP_BAND_REJECT_P1_618 -> FORMATION_CLOSE_SHORT_TRIGGER,BAND_REJECTION -> ENTRY_TRIGGER,8,23006.0,23022.5,22995.574190021864,0.6319,0.6319,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,WIN
SETUP-041469,EP-000019,BR-000004,CONTINUATION,short,first_touch,continuation,VWAP_VWAP_BOUNCE_DOWN -> FIRST_TOUCH_SHORT_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,11,22992.25,23003.75,22977.0,1.3261,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,LOSS
SETUP-041470,EP-000022,BR-000005,CONTINUATION,short,first_touch,continuation,VWAP_VWAP_BOUNCE_DOWN -> FIRST_TOUCH_SHORT_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,12,22991.0,22996.5,22977.0,2.5455,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,LOSS
SETUP-041471,EP-000022,BR-000006,CONTINUATION,short,formation_close,continuation,VWAP_VWAP_BOUNCE_DOWN -> FORMATION_CLOSE_SHORT_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,12,22991.0,22996.270686043466,22977.0,2.6562,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,LOSS
SETUP-041472,EP-000023,BR-000007,CONTINUATION,short,first_touch,continuation,VWAP_VWAP_BOUNCE_DOWN -> FIRST_TOUCH_SHORT_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,13,22988.5,22998.0,22977.0,1.2105,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,LOSS
SETUP-041473,EP-000025,BR-000008,CONTINUATION,long,first_touch,continuation,VWAP_VWAP_BOUNCE_UP -> FIRST_TOUCH_LONG_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,15,23004.0,22992.0,23022.0,1.5,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,LOSS
SETUP-041474,EP-000025,BR-000009,CONTINUATION,long,formation_close,continuation,VWAP_VWAP_BOUNCE_UP -> FORMATION_CLOSE_LONG_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,16,23006.0,22995.65121645936,23022.0,1.5461,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,LOSS
SETUP-042592,EP-000024,BR-000010,FADE,short,formation_close,fade,COMPRESSION -> FORMATION_CLOSE_SHORT_TRIGGER,COMPRESSION -> ENTRY_TRIGGER,17,23002.0,23007.5,22988.25,2.5,1.0,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,WIN
SETUP-041475,EP-000031,BR-000011,CONTINUATION,short,first_touch,continuation,VWAP_VWAP_BOUNCE_DOWN -> FIRST_TOUCH_SHORT_TRIGGER,VWAP_INTERACTION -> ENTRY_TRIGGER,21,22992.75,23001.25,22988.25,0.5294,0.5294,0,0,0.0,1.0,RECORDED_NOT_ACTIVATED,LOSS
