branch_id,episode_id,parent_branch_id,hypothesis_id,continuation_or_fade,terminal_status,terminal_reason,n_events
GBR-006725,GEP-001524,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006726,GEP-001524,GBR-006725,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006727,GEP-001525,,H_vwap_bounce_continuation,continuation,EMITTED,vwap_bounce,1
GBR-006728,GEP-001525,GBR-006727,H_vwap_band_fade,fade,EMITTED,vwap_band_fade,1
GBR-006729,GEP-001526,,H_fvg_no_fill_continuation,continuation,EMITTED,fvg_no_fill,2
GBR-006730,GEP-001526,GBR-006729,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006731,GEP-001526,GBR-006729,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006732,GEP-001526,GBR-006729,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006733,GEP-001526,GBR-006729,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006734,GEP-001527,,H_time_anchor_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006735,GEP-001527,GBR-006734,H_time_anchor_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006739,GEP-001529,,H_fvg_formation_close,continuation,EMITTED,fvg_formation,1
GBR-006740,GEP-001529,GBR-006739,H_fvg_next_bar,continuation,EMITTED,fvg_formation,1
GBR-006741,GEP-001529,GBR-006739,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006742,GEP-001529,GBR-006739,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006743,GEP-001529,GBR-006739,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006744,GEP-001529,GBR-006739,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006745,GEP-001529,GBR-006739,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006752,GEP-001532,,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006753,GEP-001532,GBR-006752,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006754,GEP-001532,GBR-006752,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006755,GEP-001532,GBR-006752,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
