chart_id,file,candidate_or_branch_id,timestamp,graph_path,coherent,questionable,incorrect_primitive,incorrect_causal_relationship,stop_too_tight,stop_too_wide,target_not_genuine,missed_setup,false_setup,wrong_grade,wrong_similarity,other_notes
primitive_rejection_blocks,charts/001_primitive_rejection_blocks.png,RB-000204,2025-07-14 04:05:00+00:00,,,,,,,,,,,,,
primitive_rejection_blocks,charts/002_primitive_rejection_blocks.png,RB-000206,2025-07-14 04:16:00+00:00,,,,,,,,,,,,,
primitive_rejection_blocks,charts/003_primitive_rejection_blocks.png,RB-000205,2025-07-14 04:12:00+00:00,,,,,,,,,,,,,
primitive_fvgs_distinct_lifecycle,charts/004_primitive_fvgs_distinct_lifecycle.png,FVG-000354,2025-07-14 04:01:00+00:00,,,,,,,,,,,,,
primitive_fvgs_distinct_lifecycle,charts/005_primitive_fvgs_distinct_lifecycle.png,FVG-000355,2025-07-14 04:02:00+00:00,,,,,,,,,,,,,
primitive_fvgs_distinct_lifecycle,charts/006_primitive_fvgs_distinct_lifecycle.png,FVG-000357,2025-07-14 04:07:00+00:00,,,,,,,,,,,,,
primitive_fvg_continuation_no_fill,charts/007_primitive_fvg_continuation_no_fill.png,FVG-000405,2025-07-14 07:31:00+00:00,,,,,,,,,,,,,
primitive_fvg_continuation_no_fill,charts/008_primitive_fvg_continuation_no_fill.png,FVG-000406,2025-07-14 07:33:00+00:00,,,,,,,,,,,,,
primitive_fvg_failure_to_ifvg,charts/009_primitive_fvg_failure_to_ifvg.png,FVG-000354,2025-07-14 04:01:00+00:00,,,,,,,,,,,,,
primitive_fvg_failure_to_ifvg,charts/010_primitive_fvg_failure_to_ifvg.png,FVG-000355,2025-07-14 04:02:00+00:00,,,,,,,,,,,,,
primitive_ifvg_retest,charts/011_primitive_ifvg_retest.png,IFVG-000326,2025-07-14 04:01:00+00:00,,,,,,,,,,,,,
primitive_ifvg_retest,charts/012_primitive_ifvg_retest.png,IFVG-000329,2025-07-14 04:06:00+00:00,,,,,,,,,,,,,
primitive_prominent_upper_wick,charts/013_primitive_prominent_upper_wick.png,WICK5-000581,2025-07-13 23:55:00-04:00,,,,,,,,,,,,,
primitive_prominent_upper_wick,charts/014_primitive_prominent_upper_wick.png,WICK15-000187,2025-07-14 00:15:00-04:00,,,,,,,,,,,,,
