branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-006852,GEP-001553,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-006857,GEP-001556,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-006866,GEP-001558,H_ifvg_retest,EXPIRED,inactive,3
GBR-006870,GEP-001559,H_fvg_first_touch,EXPIRED,inactive,1
GBR-006871,GEP-001559,H_fvg_first_fill,EXPIRED,inactive,1
GBR-006872,GEP-001559,H_fvg_midpoint,EXPIRED,inactive,1
GBR-006873,GEP-001559,H_fvg_full_fill,EXPIRED,inactive,1
GBR-006874,GEP-001525,H_vwap_break_accept_continuation,EXPIRED,inactive,1
GBR-006907,GEP-001566,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-006909,GEP-001567,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-006924,GEP-001571,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-006926,GEP-001572,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-006932,GEP-001571,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-006933,GEP-001571,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-006937,GEP-001567,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-006938,GEP-001567,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-006940,GEP-001572,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-006941,GEP-001572,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-006943,GEP-001573,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-006946,GEP-001575,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-006949,GEP-001574,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-006965,GEP-001579,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-007084,GEP-001606,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-007086,GEP-001607,H_liquidity_break_failed_fade,EXPIRED,inactive,1
