branch_id,episode_id,hypothesis_id,terminal_status,terminal_reason,n_events
GBR-355570,GEP-079185,H_fvg_no_fill_continuation,INVALIDATED,opposing_move,1
GBR-355571,GEP-079185,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-355572,GEP-079185,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-355573,GEP-079185,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-355574,GEP-079185,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-355575,GEP-079133,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-355576,GEP-079133,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-355577,GEP-079133,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-355578,GEP-079137,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-355579,GEP-079137,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-355580,GEP-079137,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-355581,GEP-079186,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-355582,GEP-079186,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-355583,GEP-079134,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-355584,GEP-079134,H_liquidity_sweep_reclaim_fade,EXPIRED,inactive,1
GBR-355585,GEP-079134,H_liquidity_sweep_accept_continuation,EXPIRED,inactive,1
GBR-355586,GEP-079187,H_vwap_bounce_continuation,EMITTED,vwap_bounce,1
GBR-355587,GEP-079187,H_vwap_band_fade,EMITTED,vwap_band_fade,1
GBR-355591,GEP-079189,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-355592,GEP-079189,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-355593,GEP-079189,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-355594,GEP-079189,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-355595,GEP-079189,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-355596,GEP-079140,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-355597,GEP-079140,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-355598,GEP-079140,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-355599,GEP-079144,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-355600,GEP-079144,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-355601,GEP-079144,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-355602,GEP-079190,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-355603,GEP-079190,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-355604,GEP-079145,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-355605,GEP-079145,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-355606,GEP-079145,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-355607,GEP-079191,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-355608,GEP-079191,H_liquidity_break_failed_fade,EMITTED,break_failed_fade,2
GBR-355609,GEP-079187,H_vwap_break_accept_continuation,EXPIRED,inactive,1
GBR-355610,GEP-079192,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-355611,GEP-079192,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-355612,GEP-079193,H_liquidity_break_accept_continuation,EMITTED,break_accept_cont,2
GBR-355613,GEP-079193,H_liquidity_break_failed_fade,EXPIRED,inactive,1
GBR-355614,GEP-079194,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-355615,GEP-079194,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-355616,GEP-079194,H_fvg_first_fill,EMITTED,fvg_fill,2
GBR-355617,GEP-079194,H_fvg_midpoint,EMITTED,fvg_fill,2
GBR-355618,GEP-079194,H_fvg_full_fill,EMITTED,fvg_fill,2
GBR-355619,GEP-079186,H_liquidity_sweep_reject_fade,EMITTED,sweep_fade,1
GBR-355620,GEP-079186,H_liquidity_sweep_reclaim_fade,EMITTED,sweep_reclaim_fade,2
GBR-355621,GEP-079186,H_liquidity_sweep_accept_continuation,EMITTED,sweep_accept_cont,2
GBR-355622,GEP-079195,H_ifvg_immediate,EMITTED,ifvg_activation,3
GBR-355623,GEP-079195,H_ifvg_next_bar,EMITTED,ifvg_activation,3
GBR-355624,GEP-079195,H_ifvg_retest,EMITTED,ifvg_retest,4
GBR-355625,GEP-079196,H_fvg_formation_close,EMITTED,fvg_formation,1
GBR-355626,GEP-079196,H_fvg_next_bar,EMITTED,fvg_formation,1
GBR-355627,GEP-079196,H_fvg_no_fill_continuation,INVALIDATED,context_invalidated,1
GBR-355628,GEP-079196,H_fvg_first_touch,EMITTED,fvg_fill,2
GBR-355629,GEP-079196,H_fvg_first_fill,EMITTED,fvg_fill,2
