episode_id,variant_id,entry_variant,reaction_state,match_mode,playbook_items,direction,lane,session,context_tf,trigger_tf,is_multi_timeframe,entry_ts,entry_price,stop_price,target_surface,target_family,target_tf,natural_rr
EP-00001,EP-00001-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,REDUCED_FAMILY,PB-0553,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:17:00-04:00,29878.25,29887.75,29872.75,rb,1,0.5789
EP-00003,EP-00003-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,EXACT,PB-0554,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:24:00-04:00,29888.75,29897.5,29872.75,rb,1,1.8286
EP-00008,EP-00008-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,EXACT,PB-0554,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:35:00-04:00,29890.25,29895.75,29882.25,rb,1,1.4545
EP-00013,EP-00013-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,REDUCED_FAMILY,PB-0551,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:40:00-04:00,29891.75,29904.25,29883.25,rb,1,0.68
EP-00028,EP-00028-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,EXACT,PB-0554,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 18:54:00-04:00,29888.5,29892.5,29883.25,rb,1,1.3125
EP-00029,EP-00029-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,EXACT,PB-0668,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 18:55:00-04:00,29888.5,29892.5,29883.25,rb,1,1.3125
EP-00038,EP-00038-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,REDUCED_FAMILY,PB-0699,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:03:00-04:00,29898.0,29915.0,29883.25,rb,1,0.8676
EP-00042,EP-00042-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,REDUCED_FAMILY,PB-0553,-1,A,GLOBEX_EVENING,1,1,False,2026-07-12 19:07:00-04:00,29898.75,29905.25,29894.25,rb,1,0.6923
EP-00043,EP-00043-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,REDUCED_FAMILY,PB-0699,-1,A,GLOBEX_EVENING,3,3,False,2026-07-12 19:12:00-04:00,29892.75,29904.5,29883.25,rb,1,0.8085
EP-00044,EP-00044-ENTRY_ON_TAP,ENTRY_ON_TAP,TAP_ONLY,EXACT,PB-0668,-1,A,GLOBEX_EVENING,3,1,True,2026-07-12 19:11:00-04:00,29894.0,29904.5,29883.25,rb,1,1.0238
