episode_id,direction,lane,trigger_tf,context_tf,is_multi_timeframe,context_family,context_id,component_ids,confluence,interaction_seq,context_zone_lo,context_zone_hi,dominant_state,n_variants,n_executable,variant_ids
EP-00001,-1,A,1,1,False,rb,RB2-000001,RB2-000001,False,16,29872.75,29887.75,FAILED_REACTION,3,0,EP-00001-ENTRY_ON_TAP|EP-00001-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00001-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00002,1,A,1,1,False,rb,RB2-000002,RB2-000002,False,17,29862.25,29872.75,DELAYED_DISPLACEMENT,4,0,EP-00002-ENTRY_ON_TAP|EP-00002-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00002-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00002-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00003,-1,A,1,1,False,rb,RB2-000003,RB2-000003,False,23,29892.0,29897.5,CLOSE_BACK_OUTSIDE,2,0,EP-00003-ENTRY_ON_TAP|EP-00003-ENTRY_ON_FIRST_CLOSE_OUTSIDE
EP-00004,1,A,1,1,False,rb,RB2-000004,RB2-000004,False,24,29886.0,29888.25,FAILED_REACTION,1,0,EP-00004-ENTRY_ON_TAP
EP-00005,1,A,1,1,False,rb,RB2-000005,RB2-000005,False,25,29875.0,29882.25,DELAYED_DISPLACEMENT,3,0,EP-00005-ENTRY_ON_TAP|EP-00005-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00005-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00006,-1,A,1,1,False,rb,RB2-000006,RB2-000006,False,27,29884.75,29890.5,FAILED_REACTION,3,0,EP-00006-ENTRY_ON_TAP|EP-00006-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00006-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00007,1,A,1,1,False,rb,RB2-000007,RB2-000007,False,32,29893.0,29896.25,FAILED_REACTION,1,0,EP-00007-ENTRY_ON_TAP
EP-00008,-1,A,1,1,False,rb,RB2-000008,RB2-000008,False,34,29892.5,29895.75,FAILED_REACTION,1,0,EP-00008-ENTRY_ON_TAP
EP-00009,1,A,1,1,False,rb,RB2-000009,RB2-000009,False,35,29890.0,29893.25,FAILED_REACTION,2,0,EP-00009-ENTRY_ON_TAP|EP-00009-ENTRY_ON_FIRST_CLOSE_OUTSIDE
EP-00010,1,B,3,3,False,fvg,FVG2-000800,FVG2-000800,False,36,29888.0,29889.25,FAILED_REACTION,1,0,EP-00010-ENTRY_ON_TAP
EP-00011,1,B,1,3,True,fvg,FVG2-000800,FVG2-000800,False,37,29888.0,29889.25,FAILED_REACTION,1,0,EP-00011-ENTRY_ON_TAP
EP-00012,-1,C,1,3,True,ifvg,IFVG2-000417,IFVG2-000417,False,39,29888.0,29889.25,FAILED_REACTION,3,0,EP-00012-ENTRY_ON_IFVG_RETEST|EP-00012-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00012-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00013,-1,A,1,1,False,rb,RB2-000010,RB2-000010,False,39,29896.75,29904.25,CLOSE_BACK_OUTSIDE,2,0,EP-00013-ENTRY_ON_TAP|EP-00013-ENTRY_ON_FIRST_CLOSE_OUTSIDE
EP-00014,-1,A,1,1,False,rb,RB2-000011,RB2-000011,False,39,29881.0,29884.0,FAILED_REACTION,1,0,EP-00014-ENTRY_ON_TAP
EP-00015,-1,C,3,3,False,ifvg,IFVG2-000417,IFVG2-000417,False,39,29888.0,29889.25,FAILED_REACTION,1,0,EP-00015-ENTRY_ON_IFVG_RETEST
EP-00016,1,A,1,1,False,rb,RB2-000012,RB2-000012,False,40,29873.25,29883.25,MINIMAL_WICK_REJECTION,4,0,EP-00016-ENTRY_ON_TAP|EP-00016-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00016-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00016-ENTRY_ON_NEW_FVG
EP-00017,-1,A,1,1,False,rb,RB2-000013,RB2-000013,False,43,29886.0,29888.0,FAILED_REACTION,1,0,EP-00017-ENTRY_ON_TAP
EP-00018,-1,A,1,3,True,rb,RB2-003109,RB2-003109,False,45,29893.5,29900.0,DELAYED_DISPLACEMENT,3,0,EP-00018-ENTRY_ON_TAP|EP-00018-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00018-ENTRY_ON_DELAYED_DISPLACEMENT
