episode_id,role,structure_id
EP-00001,context/component,RB2-000002
EP-00001,target:NEAREST_VALID_STRUCTURE,FVG2-000001
EP-00001,target:BRANCH_SEMANTIC_TARGET,FVG2-000001
EP-00001,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000001
EP-00002,context/component,RB2-000001
EP-00002,target:NEAREST_VALID_STRUCTURE,RB2-000002
EP-00002,target:BRANCH_SEMANTIC_TARGET,RB2-000002
EP-00002,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000002
EP-00003,context/component,RB2-000003
EP-00003,target:NEAREST_VALID_STRUCTURE,RB2-000005
EP-00003,target:BRANCH_SEMANTIC_TARGET,RB2-000005
EP-00003,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000005
EP-00004,context/component,RB2-000005
EP-00004,target:NEAREST_VALID_STRUCTURE,FVG2-000001
EP-00004,target:BRANCH_SEMANTIC_TARGET,FVG2-000001
EP-00004,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000001
EP-00005,context/component,RB2-000010
EP-00005,target:NEAREST_VALID_STRUCTURE,RB2-000005
EP-00005,target:BRANCH_SEMANTIC_TARGET,RB2-000005
EP-00005,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000005
EP-00006,context/component,RB2-000012
EP-00006,target:NEAREST_VALID_STRUCTURE,RB2-000006
EP-00006,target:BRANCH_SEMANTIC_TARGET,RB2-000006
EP-00006,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000006
EP-00007,context/component,RB2-000015
EP-00007,target:NEAREST_VALID_STRUCTURE,RB2-000002
EP-00007,target:BRANCH_SEMANTIC_TARGET,RB2-000002
EP-00007,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000002
EP-00008,context/component,FVG2-000002
EP-00009,context/component,RB2-000018
EP-00009,target:NEAREST_VALID_STRUCTURE,RB2-000019
EP-00009,target:BRANCH_SEMANTIC_TARGET,RB2-000019
EP-00009,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000019
EP-00010,context/component,RB2-003111
EP-00010,target:NEAREST_VALID_STRUCTURE,RB2-000020
EP-00010,target:BRANCH_SEMANTIC_TARGET,RB2-000020
EP-00011,context/component,RB2-000021
EP-00011,target:NEAREST_VALID_STRUCTURE,RB2-000001
EP-00011,target:BRANCH_SEMANTIC_TARGET,RB2-000014
EP-00011,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000014
EP-00012,context/component,IFVG2-000001
EP-00012,target:NEAREST_VALID_STRUCTURE,RB2-000011
EP-00012,target:BRANCH_SEMANTIC_TARGET,RB2-000012
EP-00012,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000012
EP-00013,context/component,FVG2-000003
EP-00013,target:NEAREST_VALID_STRUCTURE,FVG2-000006
EP-00013,target:BRANCH_SEMANTIC_TARGET,FVG2-000006
EP-00013,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000006
EP-00014,context/component,RB2-003113
EP-00014,target:NEAREST_VALID_STRUCTURE,RB2-000009
EP-00014,target:BRANCH_SEMANTIC_TARGET,RB2-000009
EP-00014,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003110
EP-00015,context/component,RB2-000024
EP-00015,target:NEAREST_VALID_STRUCTURE,FVG2-000800
EP-00015,target:BRANCH_SEMANTIC_TARGET,FVG2-000800
EP-00015,target:NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000800
EP-00016,context/component,RB2-003114
EP-00016,target:NEAREST_VALID_STRUCTURE,FVG2-000800
EP-00016,target:BRANCH_SEMANTIC_TARGET,FVG2-000800
