episode_id,lane,entry_seq,session,exact_matches,reduced_family_matches,similarity_nearest,similarity_l1
EP-00001,A,21,GLOBEX_EVENING,,,PB-0001,1.0
EP-00002,A,22,GLOBEX_EVENING,,,PB-0001,3.0
EP-00003,A,27,GLOBEX_EVENING,,,PB-0001,1.0
EP-00004,A,31,GLOBEX_EVENING,,,PB-0001,3.0
EP-00005,A,41,GLOBEX_EVENING,,,PB-0002,0.0
EP-00006,A,42,GLOBEX_EVENING,,,PB-0002,0.0
EP-00007,A,49,GLOBEX_EVENING,,,PB-0002,0.0
EP-00008,B,51,GLOBEX_EVENING,,,PB-0001,2.0
EP-00009,A,56,GLOBEX_EVENING,,,PB-0002,0.0
EP-00010,A,57,GLOBEX_EVENING,,,PB-0002,4.0
EP-00011,A,61,GLOBEX_EVENING,,,PB-0002,0.0
EP-00012,C,62,GLOBEX_EVENING,,,PB-0002,0.0
EP-00013,B,63,GLOBEX_EVENING,,,PB-0001,0.0
EP-00014,A,66,GLOBEX_EVENING,,,PB-0002,4.0
EP-00015,A,69,GLOBEX_EVENING,,,PB-0001,0.0
EP-00016,A,75,GLOBEX_EVENING,,,PB-0002,4.0
EP-00017,A,100,GLOBEX_EVENING,,,PB-0001,8.0
EP-00018,A,111,GLOBEX_EVENING,,,PB-0002,0.0
EP-00019,B,115,GLOBEX_EVENING,,,PB-0001,0.0
EP-00020,C,115,GLOBEX_EVENING,,,PB-0001,1.0
EP-00021,A,117,GLOBEX_EVENING,,,PB-0001,4.0
EP-00022,C,124,ASIA,,,PB-0002,0.0
EP-00023,D,126,ASIA,,,PB-0001,2.0
EP-00024,A,130,ASIA,,,PB-0002,8.0
EP-00025,A,131,ASIA,,,PB-0001,2.0
EP-00026,A,133,ASIA,,,PB-0002,0.0
EP-00027,A,138,ASIA,,,PB-0002,4.0
EP-00028,A,143,ASIA,,,PB-0001,0.0
EP-00029,A,144,ASIA,,,PB-0002,0.0
EP-00030,A,145,ASIA,,,PB-0002,8.0
EP-00031,A,148,ASIA,,,PB-0001,2.0
EP-00032,C,150,ASIA,,,PB-0001,8.0
EP-00033,A,150,ASIA,,,PB-0001,8.0
EP-00034,A,150,ASIA,,,PB-0001,0.0
EP-00035,A,155,ASIA,,,PB-0002,8.0
EP-00036,C,158,ASIA,,,PB-0001,1.0
EP-00037,A,163,ASIA,,,PB-0002,0.0
EP-00038,C,165,ASIA,,,PB-0002,8.0
EP-00039,A,168,ASIA,,,PB-0001,0.0
EP-00040,B,169,ASIA,,,PB-0002,0.0
EP-00041,A,169,ASIA,,,PB-0002,0.0
EP-00042,D,170,ASIA,,,PB-0002,8.0
EP-00043,C,171,ASIA,,,PB-0001,5.0
EP-00044,A,179,ASIA,,,PB-0001,0.0
EP-00045,A,181,ASIA,,,PB-0002,0.0
EP-00046,A,183,ASIA,,,PB-0001,4.0
EP-00047,A,193,ASIA,,,PB-0002,0.0
EP-00048,A,194,ASIA,,,PB-0001,0.0
EP-00049,A,196,ASIA,,,PB-0002,0.0
EP-00050,A,200,ASIA,,,PB-0002,0.0
EP-00051,A,201,ASIA,,,PB-0001,4.0
EP-00052,A,205,ASIA,,,PB-0001,0.0
EP-00053,A,207,ASIA,,,PB-0001,4.0
EP-00054,C,213,ASIA,,,PB-0001,1.0
EP-00055,A,215,ASIA,,,PB-0001,8.0
EP-00056,C,218,ASIA,,,PB-0002,0.0
EP-00057,A,220,ASIA,,,PB-0001,8.0
EP-00058,B,222,ASIA,,PB-0003,PB-0002,0.0
EP-00059,A,223,ASIA,,,PB-0001,2.0
EP-00060,A,232,ASIA,,,PB-0002,0.0
EP-00061,A,251,ASIA,,,PB-0002,0.0
EP-00062,A,255,ASIA,,,PB-0002,8.0
EP-00063,B,265,ASIA,,PB-0003,PB-0002,0.0
EP-00064,A,269,ASIA,,,PB-0001,2.0
EP-00065,A,269,ASIA,,,PB-0002,0.0
EP-00066,A,276,ASIA,,,PB-0002,4.0
EP-00067,C,276,ASIA,,,PB-0001,2.0
EP-00068,A,276,ASIA,,,PB-0002,0.0
EP-00069,A,285,ASIA,,,PB-0001,29.0
EP-00070,B,285,ASIA,,,PB-0001,8.0
EP-00071,B,285,ASIA,,,PB-0001,8.0
EP-00072,A,285,ASIA,,,PB-0001,1.0
EP-00073,A,288,ASIA,,,PB-0001,4.0
EP-00074,A,291,ASIA,,,PB-0002,4.0
EP-00075,C,293,ASIA,,,PB-0002,0.0
EP-00076,A,300,ASIA,,,PB-0002,28.0
EP-00077,A,330,ASIA,,,PB-0002,0.0
EP-00078,C,341,ASIA,,,PB-0001,0.0
EP-00079,A,350,ASIA,,,PB-0002,0.0
EP-00080,A,351,ASIA,,,PB-0002,4.0
EP-00081,C,355,ASIA,,,PB-0001,3.0
EP-00082,A,355,ASIA,,,PB-0002,0.0
EP-00083,E,360,ASIA,,,PB-0001,4.0
EP-00084,A,369,ASIA,,,PB-0001,1.0
EP-00085,A,375,ASIA,,,PB-0001,1.0
EP-00086,A,378,ASIA,,,PB-0002,4.0
EP-00087,A,387,ASIA,,,PB-0002,4.0
EP-00088,A,387,ASIA,,,PB-0002,0.0
EP-00089,E,390,ASIA,,,PB-0001,28.0
EP-00090,D,405,ASIA,,,PB-0001,3.0
EP-00091,A,405,ASIA,,,PB-0002,0.0
EP-00092,A,416,ASIA,,,PB-0002,0.0
EP-00093,A,429,ASIA,,,PB-0002,0.0
EP-00094,C,430,ASIA,,,PB-0002,8.0
EP-00095,A,434,ASIA,,,PB-0002,0.0
EP-00096,D,435,ASIA,,,PB-0002,8.0
EP-00097,C,435,ASIA,,,PB-0002,4.0
EP-00098,B,435,ASIA,,,PB-0001,0.0
EP-00099,C,437,ASIA,,,PB-0002,0.0
EP-00100,A,438,ASIA,,,PB-0002,4.0
EP-00101,B,438,ASIA,,PB-0003,PB-0002,0.0
EP-00102,C,439,ASIA,,,PB-0001,0.0
EP-00103,C,439,ASIA,,,PB-0001,0.0
EP-00104,C,441,ASIA,,,PB-0002,4.0
EP-00105,C,441,ASIA,,,PB-0002,0.0
EP-00106,D,442,ASIA,,,PB-0002,0.0
EP-00107,C,444,ASIA,,,PB-0002,4.0
EP-00108,C,450,ASIA,,,PB-0002,8.0
EP-00109,A,450,ASIA,,,PB-0001,0.0
EP-00110,A,451,ASIA,,,PB-0002,0.0
EP-00111,A,453,ASIA,,,PB-0002,0.0
EP-00112,C,455,ASIA,,,PB-0001,10.0
EP-00113,C,456,ASIA,,,PB-0002,0.0
EP-00114,C,457,ASIA,,,PB-0002,0.0
EP-00115,C,459,ASIA,,,PB-0002,4.0
EP-00116,C,459,ASIA,,,PB-0002,4.0
EP-00117,C,459,ASIA,,,PB-0002,4.0
EP-00118,A,460,ASIA,,,PB-0001,0.0
EP-00119,D,462,ASIA,,,PB-0002,4.0
EP-00120,D,463,ASIA,,,PB-0001,0.0
EP-00121,D,465,ASIA,,,PB-0002,8.0
EP-00122,B,470,ASIA,,PB-0003,PB-0002,0.0
EP-00123,B,470,ASIA,,,PB-0001,2.0
EP-00124,C,471,ASIA,,,PB-0001,5.0
EP-00125,C,471,ASIA,,,PB-0002,0.0
EP-00126,A,474,ASIA,,,PB-0002,0.0
EP-00127,D,477,ASIA,,,PB-0002,0.0
EP-00128,C,480,ASIA,,,PB-0001,29.0
EP-00129,C,480,ASIA,,,PB-0001,10.0
EP-00130,A,486,ASIA,,,PB-0002,4.0
EP-00131,A,490,ASIA,,,PB-0001,9.0
EP-00132,A,490,ASIA,,,PB-0002,0.0
EP-00133,C,494,ASIA,,,PB-0002,0.0
EP-00134,B,495,ASIA,,,PB-0001,0.0
EP-00135,D,497,ASIA,,,PB-0001,1.0
EP-00136,A,498,ASIA,,,PB-0002,0.0
EP-00137,D,501,ASIA,,,PB-0001,4.0
EP-00138,D,501,ASIA,,,PB-0001,4.0
EP-00139,A,502,ASIA,,,PB-0002,0.0
EP-00140,C,504,ASIA,,,PB-0001,1.0
EP-00141,E,510,ASIA,,,PB-0001,8.0
EP-00142,C,510,ASIA,,,PB-0002,4.0
EP-00143,C,512,ASIA,,,PB-0001,2.0
EP-00144,C,516,ASIA,,,PB-0001,1.0
EP-00145,D,522,ASIA,,,PB-0001,6.0
EP-00146,B,523,ASIA,,PB-0003,PB-0002,0.0
EP-00147,A,524,ASIA,,,PB-0002,0.0
EP-00148,B,525,ASIA,,,PB-0002,8.0
EP-00149,C,525,ASIA,,,PB-0002,4.0
EP-00150,A,535,ASIA,,,PB-0001,8.0
EP-00151,C,537,ASIA,,,PB-0002,4.0
EP-00152,A,540,LONDON,,,PB-0002,28.0
EP-00153,D,540,LONDON,,,PB-0001,4.0
EP-00154,A,540,LONDON,,,PB-0001,0.0
EP-00155,D,543,LONDON,,,PB-0001,4.0
EP-00156,A,548,LONDON,,,PB-0002,0.0
EP-00157,A,553,LONDON,,,PB-0002,0.0
EP-00158,A,555,LONDON,,,PB-0002,28.0
EP-00159,D,557,LONDON,,,PB-0001,0.0
EP-00160,B,559,LONDON,,,PB-0002,0.0
EP-00161,A,561,LONDON,,,PB-0002,4.0
EP-00162,C,564,LONDON,,,PB-0002,0.0
EP-00163,C,567,LONDON,,,PB-0001,5.0
EP-00164,A,570,LONDON,,,PB-0002,58.0
EP-00165,B,572,LONDON,,,PB-0001,3.0
EP-00166,D,572,LONDON,,,PB-0002,0.0
EP-00167,C,573,LONDON,,,PB-0001,0.0
EP-00168,C,573,LONDON,,,PB-0001,0.0
EP-00169,A,574,LONDON,,,PB-0002,0.0
EP-00170,C,575,LONDON,,,PB-0001,9.0
EP-00171,A,575,LONDON,,,PB-0001,8.0
EP-00172,C,576,LONDON,,PB-0004,PB-0001,0.0
EP-00173,D,582,LONDON,,,PB-0001,2.0
EP-00174,A,583,LONDON,,,PB-0002,0.0
EP-00175,A,584,LONDON,,,PB-0002,0.0
EP-00176,A,591,LONDON,,,PB-0002,4.0
EP-00177,A,595,LONDON,,,PB-0001,10.0
EP-00178,A,597,LONDON,,,PB-0002,0.0
EP-00179,B,607,LONDON,,,PB-0002,0.0
EP-00180,A,609,LONDON,,,PB-0002,4.0
EP-00181,A,614,LONDON,,,PB-0002,0.0
EP-00182,A,615,LONDON,,,PB-0001,1.0
EP-00183,C,618,LONDON,,,PB-0002,4.0
EP-00184,C,618,LONDON,,,PB-0002,4.0
EP-00185,A,618,LONDON,,,PB-0002,4.0
EP-00186,C,618,LONDON,,,PB-0002,0.0
EP-00187,C,620,LONDON,,,PB-0002,8.0
EP-00188,B,621,LONDON,,,PB-0002,0.0
EP-00189,B,622,LONDON,,,PB-0002,0.0
EP-00190,A,626,LONDON,,,PB-0002,0.0
EP-00191,A,630,LONDON,,,PB-0002,0.0
EP-00192,A,633,LONDON,,,PB-0002,4.0
EP-00193,A,639,LONDON,,,PB-0002,4.0
EP-00194,C,639,LONDON,,,PB-0001,0.0
EP-00195,B,642,LONDON,,,PB-0002,4.0
EP-00196,C,642,LONDON,,,PB-0001,0.0
EP-00197,A,643,LONDON,,,PB-0002,0.0
EP-00198,A,648,LONDON,,,PB-0001,2.0
EP-00199,B,650,LONDON,,,PB-0001,8.0
EP-00200,B,650,LONDON,,,PB-0001,8.0
EP-00201,B,653,LONDON,,,PB-0002,0.0
EP-00202,A,653,LONDON,,,PB-0002,0.0
EP-00203,C,656,LONDON,,,PB-0002,0.0
EP-00204,A,656,LONDON,,,PB-0002,0.0
EP-00205,D,658,LONDON,,,PB-0001,0.0
EP-00206,A,660,LONDON,,,PB-0002,58.0
EP-00207,A,661,LONDON,,,PB-0002,0.0
EP-00208,C,663,LONDON,,,PB-0001,2.0
