episode_id,policy,structure_id,family,timeframe,surface,distance,freshness_bars,availability_seq,natural_rr
EP-00001,NEAREST_VALID_STRUCTURE,FVG2-000001,fvg,1,29932.0,45.0,16,5,1.8182
EP-00001,BRANCH_SEMANTIC_TARGET,FVG2-000001,fvg,1,29932.0,45.0,16,5,1.8182
EP-00001,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000001,fvg,1,29932.0,45.0,16,5,1.8182
EP-00002,NEAREST_VALID_STRUCTURE,RB2-000002,rb,1,29872.75,12.25,5,17,4.4545
EP-00002,BRANCH_SEMANTIC_TARGET,RB2-000002,rb,1,29872.75,12.25,5,17,4.4545
EP-00002,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000002,rb,1,29872.75,12.25,5,17,4.4545
EP-00003,NEAREST_VALID_STRUCTURE,RB2-000005,rb,1,29882.25,2.5,2,25,0.1961
EP-00003,BRANCH_SEMANTIC_TARGET,RB2-000005,rb,1,29882.25,2.5,2,25,0.1961
EP-00003,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000005,rb,1,29882.25,2.5,2,25,0.1961
EP-00004,NEAREST_VALID_STRUCTURE,FVG2-000001,fvg,1,29932.0,35.0,26,5,1.5909
EP-00004,BRANCH_SEMANTIC_TARGET,FVG2-000001,fvg,1,29932.0,35.0,26,5,1.5909
EP-00004,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000001,fvg,1,29932.0,35.0,26,5,1.5909
EP-00005,NEAREST_VALID_STRUCTURE,RB2-000005,rb,1,29882.25,1.0,16,25,0.0476
EP-00005,BRANCH_SEMANTIC_TARGET,RB2-000005,rb,1,29882.25,1.0,16,25,0.0476
EP-00005,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000005,rb,1,29882.25,1.0,16,25,0.0476
EP-00006,NEAREST_VALID_STRUCTURE,RB2-000006,rb,1,29884.75,3.0,15,27,0.3529
EP-00006,BRANCH_SEMANTIC_TARGET,RB2-000006,rb,1,29884.75,3.0,15,27,0.3529
EP-00006,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000006,rb,1,29884.75,3.0,15,27,0.3529
EP-00007,NEAREST_VALID_STRUCTURE,RB2-000002,rb,1,29872.75,3.5,32,17,0.1728
EP-00007,BRANCH_SEMANTIC_TARGET,RB2-000002,rb,1,29872.75,3.5,32,17,0.1728
EP-00007,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000002,rb,1,29872.75,3.5,32,17,0.1728
EP-00009,NEAREST_VALID_STRUCTURE,RB2-000019,rb,1,29904.5,1.0,0,56,0.0615
EP-00009,BRANCH_SEMANTIC_TARGET,RB2-000019,rb,1,29904.5,1.0,0,56,0.0615
EP-00009,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000019,rb,1,29904.5,1.0,0,56,0.0615
EP-00010,NEAREST_VALID_STRUCTURE,RB2-000020,rb,1,29911.0,2.0,0,57,0.0537
EP-00010,BRANCH_SEMANTIC_TARGET,RB2-000020,rb,1,29911.0,2.0,0,57,0.0537
EP-00011,NEAREST_VALID_STRUCTURE,RB2-000001,rb,1,29887.75,0.25,45,16,0.0093
EP-00011,BRANCH_SEMANTIC_TARGET,RB2-000014,rb,1,29887.75,0.25,17,44,0.0093
EP-00011,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000014,rb,1,29887.75,0.25,17,44,0.0093
EP-00012,NEAREST_VALID_STRUCTURE,RB2-000011,rb,1,29884.0,2.0,23,39,0.0879
EP-00012,BRANCH_SEMANTIC_TARGET,RB2-000012,rb,1,29883.25,2.75,22,40,0.1209
EP-00012,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000012,rb,1,29883.25,2.75,22,40,0.1209
EP-00013,NEAREST_VALID_STRUCTURE,FVG2-000006,fvg,1,29898.75,0.75,1,62,0.0492
EP-00013,BRANCH_SEMANTIC_TARGET,FVG2-000006,fvg,1,29898.75,0.75,1,62,0.0492
EP-00013,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000006,fvg,1,29898.75,0.75,1,62,0.0492
EP-00014,NEAREST_VALID_STRUCTURE,RB2-000009,rb,1,29893.25,0.25,31,35,0.0116
EP-00014,BRANCH_SEMANTIC_TARGET,RB2-000009,rb,1,29893.25,0.25,31,35,0.0116
EP-00014,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003110,rb,3,29890.25,3.25,18,48,0.1512
EP-00015,NEAREST_VALID_STRUCTURE,FVG2-000800,fvg,3,29889.25,0.5,33,36,0.0323
EP-00015,BRANCH_SEMANTIC_TARGET,FVG2-000800,fvg,3,29889.25,0.5,33,36,0.0323
EP-00015,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000800,fvg,3,29889.25,0.5,33,36,0.0323
EP-00016,NEAREST_VALID_STRUCTURE,FVG2-000800,fvg,3,29889.25,1.0,39,36,0.0702
EP-00016,BRANCH_SEMANTIC_TARGET,FVG2-000800,fvg,3,29889.25,1.0,39,36,0.0702
EP-00016,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,FVG2-000800,fvg,3,29889.25,1.0,39,36,0.0702
EP-00017,NEAREST_VALID_STRUCTURE,RB2-000007,rb,1,29893.0,0.5,68,32,0.0303
EP-00017,BRANCH_SEMANTIC_TARGET,RB2-003109,rb,3,29893.5,1.0,55,45,0.0606
EP-00018,NEAREST_VALID_STRUCTURE,RB2-000011,rb,1,29881.0,0.5,72,39,0.0217
EP-00018,BRANCH_SEMANTIC_TARGET,RB2-000011,rb,1,29881.0,0.5,72,39,0.0217
EP-00018,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000011,rb,1,29881.0,0.5,72,39,0.0217
EP-00019,NEAREST_VALID_STRUCTURE,RB2-000040,rb,1,29877.75,1.25,3,112,0.1316
EP-00019,BRANCH_SEMANTIC_TARGET,RB2-000016,rb,1,29878.25,1.75,65,50,0.1842
EP-00019,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000016,rb,1,29878.25,1.75,65,50,0.1842
EP-00021,NEAREST_VALID_STRUCTURE,RB2-000014,rb,1,29884.25,1.25,73,44,0.0329
EP-00021,BRANCH_SEMANTIC_TARGET,RB2-003118,rb,3,29884.25,1.25,21,96,0.0329
EP-00021,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003118,rb,3,29884.25,1.25,21,96,0.0329
EP-00026,NEAREST_VALID_STRUCTURE,RB2-000047,rb,1,30007.75,6.5,5,128,0.243
EP-00026,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,47.25,3,130,1.7664
EP-00026,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,47.25,3,130,1.7664
EP-00027,NEAREST_VALID_STRUCTURE,RB2-004174,rb,5,29967.0,14.25,8,130,0.2385
EP-00027,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,14.25,8,130,0.2385
EP-00027,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,14.25,8,130,0.2385
EP-00028,NEAREST_VALID_STRUCTURE,RB2-000047,rb,1,29996.0,3.0,15,128,0.0857
EP-00028,BRANCH_SEMANTIC_TARGET,RB2-000047,rb,1,29996.0,3.0,15,128,0.0857
EP-00028,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000047,rb,1,29996.0,3.0,15,128,0.0857
EP-00029,NEAREST_VALID_STRUCTURE,RB2-000051,rb,1,30010.75,6.75,7,137,0.2784
EP-00029,BRANCH_SEMANTIC_TARGET,RB2-000051,rb,1,30010.75,6.75,7,137,0.2784
EP-00029,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-000051,rb,1,30010.75,6.75,7,137,0.2784
EP-00030,NEAREST_VALID_STRUCTURE,RB2-004176,rb,5,29994.75,5.25,0,145,0.1458
EP-00030,BRANCH_SEMANTIC_TARGET,RB2-004176,rb,5,29994.75,5.25,0,145,0.1458
EP-00030,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004176,rb,5,29994.75,5.25,0,145,0.1458
EP-00031,NEAREST_VALID_STRUCTURE,RB2-003125,rb,3,29981.25,2.0,7,141,0.0615
EP-00031,BRANCH_SEMANTIC_TARGET,RB2-003125,rb,3,29981.25,2.0,7,141,0.0615
EP-00031,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-003125,rb,3,29981.25,2.0,7,141,0.0615
EP-00032,NEAREST_VALID_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0351
EP-00032,BRANCH_SEMANTIC_TARGET,RB2-004174,rb,5,29967.0,1.0,20,130,0.0351
EP-00032,NEAREST_OPPOSING_HIGHER_TF_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0351
EP-00033,NEAREST_VALID_STRUCTURE,RB2-004174,rb,5,29967.0,1.0,20,130,0.0137
