episode_id,direction,lane,trigger_tf,context_tf,is_multi_timeframe,context_family,context_id,component_ids,confluence,interaction_seq,context_zone_lo,context_zone_hi,dominant_state,n_variants,n_executable,variant_ids
EP-00001,1,A,1,1,False,rb,RB2-000001,RB2-000001,False,15,29892.25,29895.25,IMMEDIATE_DISPLACEMENT,5,0,EP-00001-ENTRY_ON_TAP|EP-00001-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00001-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00001-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00001-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00002,1,A,1,1,False,rb,RB2-000002,RB2-000002,False,18,29907.25,29911.5,FAILED_REACTION,1,0,EP-00002-ENTRY_ON_TAP
EP-00003,-1,A,1,1,False,rb,RB2-000003,RB2-000003,False,19,29909.25,29913.0,FAILED_REACTION,1,0,EP-00003-ENTRY_ON_TAP
EP-00004,-1,A,1,1,False,rb,RB2-000004,RB2-000004,False,21,29929.5,29939.0,FAILED_REACTION,1,0,EP-00004-ENTRY_ON_TAP
EP-00005,-1,A,1,1,False,rb,RB2-000006,RB2-000006,False,23,29942.0,29948.75,MINIMAL_WICK_REJECTION,3,0,EP-00005-ENTRY_ON_TAP|EP-00005-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00005-ENTRY_ON_MINIMAL_WICK_REJECTION
EP-00006,1,A,1,1,False,rb,RB2-000005,RB2-000005,False,23,29922.5,29927.25,COMPRESSION_THEN_BREAK,5,0,EP-00006-ENTRY_ON_TAP|EP-00006-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00006-ENTRY_ON_MINIMAL_WICK_REJECTION|EP-00006-ENTRY_ON_DELAYED_DISPLACEMENT|EP-00006-ENTRY_ON_COMPRESSION_BREAK
EP-00007,-1,A,1,1,False,rb,RB2-000007,RB2-000007,False,27,29930.25,29932.25,FAILED_REACTION,1,0,EP-00007-ENTRY_ON_TAP
EP-00008,1,B,1,3,True,fvg,FVG2-000746,FVG2-000746,False,27,29921.0,29922.5,IMMEDIATE_DISPLACEMENT,4,0,EP-00008-ENTRY_ON_TAP|EP-00008-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00008-ENTRY_ON_IMMEDIATE_DISPLACEMENT|EP-00008-ENTRY_ON_DELAYED_DISPLACEMENT
EP-00009,1,B,3,3,False,fvg,FVG2-000746,FVG2-000746,False,27,29921.0,29922.5,CLOSE_BACK_OUTSIDE,3,0,EP-00009-ENTRY_ON_TAP|EP-00009-ENTRY_ON_FIRST_CLOSE_OUTSIDE|EP-00009-ENTRY_ON_NEW_FVG
EP-00010,-1,A,1,1,False,rb,RB2-000009,RB2-000009,False,35,29952.25,29957.0,FAILED_REACTION,1,0,EP-00010-ENTRY_ON_TAP
EP-00011,-1,A,1,1,False,rb,RB2-000008,RB2-000008,False,36,29957.25,29959.25,FAILED_REACTION,1,0,EP-00011-ENTRY_ON_TAP
EP-00012,-1,A,1,1,False,rb,RB2-000010,RB2-000010,False,38,29962.5,29966.5,FAILED_REACTION,1,0,EP-00012-ENTRY_ON_TAP
