episode_id,exit_type,exit_seq,exit_price,mfe_points,mae_points,points,r_multiple,success
EP-00014,TARGET,84,29981.0,18.0,-6.5,16.25,1.4773,True
EP-00116,STOP,406,29826.0,1.5,-6.25,-3.5,-1.0,False
EP-00160,STOP,526,29833.25,7.5,-18.25,-17.5,-1.0,False
EP-00171,STOP,562,29840.75,6.0,-22.0,-17.0,-1.0,False
EP-00172,STOP,553,29843.25,2.0,-19.5,-17.5,-1.0,False
EP-00175,STOP,561,29848.0,0.0,-16.5,-12.25,-1.0,False
EP-00270,STOP,818,29885.5,1.25,-15.0,-8.75,-1.0,False
EP-00358,STOP,1066,30069.0,8.75,-3.0,-1.25,-1.0,False
EP-00566,TARGET,1743,29662.0,11.25,-4.0,4.0,0.6957,True
EP-00810,STOP,2361,29323.75,14.0,-42.5,-40.5,-1.0,False
EP-01006,STOP,2963,29511.75,14.5,-1.25,-0.5,-1.0,False
EP-01111,STOP,3257,29340.0,11.5,-1.5,-0.5,-1.0,False
EP-01173,STOP,3417,29055.0,0.5,-55.75,-33.5,-1.0,False
EP-01174,TARGET,3417,29050.25,27.5,-3.0,10.0,0.7547,True
EP-01175,TARGET,3424,28982.0,29.25,-23.75,28.25,0.5433,True
EP-01214,STOP,3557,28993.25,0.75,-6.5,-1.75,-1.0,False
EP-01247,TARGET,3654,29210.0,31.5,-13.25,20.0,0.8247,True
EP-01248,STOP,3650,29181.25,1.5,-13.25,-2.0,-1.0,False
EP-01256,STOP,3674,29212.5,0.5,-15.75,-6.5,-1.0,False
EP-01278,STOP,3702,29368.0,37.5,-6.75,-0.75,-1.0,False
EP-01568,STOP,4478,29496.25,1.0,-8.5,-2.75,-1.0,False
EP-01584,STOP,4530,29476.0,0.0,-17.5,-1.0,-1.0,False
EP-01718,STOP,4917,29571.25,0.5,-12.75,-0.75,-1.0,False
EP-01897,STOP,5425,29941.5,9.25,-2.75,-0.5,-1.0,False
EP-01991,STOP,5710,29828.25,10.25,-1.25,-0.5,-1.0,False
EP-02314,STOP,6673,30012.0,0.0,-11.25,-0.75,-1.0,False
