week,episode_id,variant_id,structure_id,family,tf,surface,distance,natural_rr,availability_seq,exclusion_reason,selected_as
observation,EP-00126,EP-00126-ENTRY_ON_TAP,RB2-000055,rb,1,29927.25,33.25,0.6786,148,,NEAREST_OPPOSING_VALID_STRUCTURE|BRANCH_SEMANTIC_TARGET|NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
observation,EP-00126,EP-00126-ENTRY_ON_TAP,FVG2-000013,fvg,1,29927.5,33.5,0.6837,149,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,FVG2-000012,fvg,1,29935.5,41.5,0.8469,148,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,FVG2-000751,fvg,3,29935.5,41.5,0.8469,150,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,FVG2-000011,fvg,1,29944.0,50.0,1.0204,147,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,IFVG2-000005,ifvg,1,29964.5,70.5,1.4388,143,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,FVG2-000750,fvg,3,29964.5,70.5,1.4388,147,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,FVG2-001010,fvg,5,29964.5,70.5,1.4388,150,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,IFVG2-000387,ifvg,3,29968.5,74.5,1.5204,51,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,RB2-003080,rb,3,29990.25,96.25,1.9643,75,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,RB2-004093,rb,5,29991.75,97.75,1.9949,115,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,RB2-000031,rb,1,29992.0,98.0,2.0,74,,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,RB2-000001,rb,1,29892.25,1.75,0.0357,15,same_direction,ANY_SURFACE_DIAGNOSTIC
observation,EP-00126,EP-00126-ENTRY_ON_TAP,RB2-000003,rb,1,29909.25,15.25,0.3112,19,inactive_or_traversed,
observation,EP-00126,EP-00126-ENTRY_ON_TAP,RB2-000056,rb,1,29845.0,49.0,1.0,151,component,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-003100,rb,3,29880.0,29.25,1.6714,195,,NEAREST_OPPOSING_VALID_STRUCTURE|BRANCH_SEMANTIC_TARGET|NEAREST_OPPOSING_HIGHER_TF_STRUCTURE
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,IFVG2-000008,ifvg,1,29889.0,38.25,2.1857,191,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-000075,rb,1,29891.75,41.0,2.3429,195,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,FVG2-001168,fvg,15,29893.5,42.75,2.4429,210,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,IFVG2-000391,ifvg,3,29901.0,50.25,2.8714,186,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-003099,rb,3,29901.5,50.75,2.9,192,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-000071,rb,1,29928.25,77.5,4.4286,180,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-003097,rb,3,29936.25,85.5,4.8857,177,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-004098,rb,5,29937.5,86.75,4.9571,180,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-003095,rb,3,29957.75,107.0,6.1143,168,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-000065,rb,1,29959.5,108.75,6.2143,169,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,IFVG2-000005,ifvg,1,29964.5,113.75,6.5,143,,
observation,EP-00565,EP-00565-ENTRY_ON_FIRST_CLOSE_OUTSIDE,RB2-000056,rb,1,29845.0,5.75,0.3286,151,same_direction,
