event_id,event_type,series,release_date_et,release_ts_et,release_ts_utc,ts_source,unit,actual,consensus,previous,surprise_abs,surprise_dir,surprise_pct,source_actual,source_consensus,collected_at,notes
ab30558856f6,earnings,MSFT_EPS,2020-07-22,2020-07-22T16:03:04-04:00,2020-07-22T20:03:04+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001193125-20-197109 [corrected: JSON Z was Eastern, verified vs index page]",eps_usd,1.46,1.37,,0.09,1,6.5693,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:18+00:00,post_market
808fd63a7105,earnings,TSLA_EPS,2020-07-22,2020-07-22T16:54:41-04:00,2020-07-22T20:54:41+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001564590-20-033069",eps_usd,0.15,-0.01,,0.16,1,1600.0,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:24+00:00,post_market
522359cee318,earnings,AAPL_EPS,2020-07-30,2020-07-30T18:55:04-04:00,2020-07-30T22:55:04+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0000320193-20-000060",eps_usd,0.65,0.51,,0.14,1,27.451,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:17+00:00,post_market
314807dc8bba,earnings,AMZN_EPS,2020-07-30,2020-07-30T19:05:15-04:00,2020-07-30T23:05:15+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001018724-20-000019",eps_usd,0.52,0.08,,0.44,1,550.0,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:20+00:00,post_market
bedd37d6a27f,earnings,GOOGL_EPS,2020-07-30,2020-07-30T18:40:20-04:00,2020-07-30T22:40:20+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001652044-20-000031",eps_usd,0.51,0.41,,0.1,1,24.3902,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:19+00:00,post_market
443658493792,earnings,META_EPS,2020-07-30,2020-07-30T19:18:23-04:00,2020-07-30T23:18:23+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001326801-20-000073",eps_usd,1.8,1.4,,0.4,1,28.5714,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:23+00:00,post_market
c1f83663e4e9,earnings,NVDA_EPS,2020-08-19,2020-08-19T16:21:46-04:00,2020-08-19T20:21:46+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001045810-20-000145",eps_usd,0.055,0.049,,0.006,1,12.2449,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:22+00:00,post_market
25e5a7187a52,earnings,TSLA_EPS,2020-10-21,2020-10-21T16:38:49-04:00,2020-10-21T20:38:49+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001564590-20-047108",eps_usd,0.25,0.2,,0.05,1,25.0,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:24+00:00,post_market
3bcb5195e339,earnings,MSFT_EPS,2020-10-27,2020-10-27T16:12:57-04:00,2020-10-27T20:12:57+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0001193125-20-278410 [corrected: JSON Z was Eastern, verified vs index page]",eps_usd,1.82,1.55,,0.27,1,17.4194,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:18+00:00,post_market
ad9bbf8c205a,earnings,AAPL_EPS,2020-10-29,2020-10-29T16:30:32-04:00,2020-10-29T20:30:32+00:00,"SEC EDGAR 8-K item 2.02 acceptanceDateTime, accession 0000320193-20-000094",eps_usd,0.73,0.7,,0.03,1,4.2857,alphavantage_EARNINGS,alphavantage_EARNINGS,2026-08-01T19:31:17+00:00,post_market
