# SOURCE: Forex Factory historical calendar. Supplied by Dylan 2026-08-01, verbatim.
# COLUMNS: date | actual | forecast | previous
 Jul 2, 2026	4.2%	4.3%	4.3%
 Jun 5, 2026	4.3%	4.3%	4.3%
 May 8, 2026	4.3%	4.3%	4.3%
 Apr 3, 2026	4.3%	4.4%	4.4%
 Mar 6, 2026	4.4%	4.3%	4.3%
 Feb 11, 2026	4.3%	4.4%	4.4%
 Jan 9, 2026	4.4%	4.5%	4.6%
 Dec 16, 2025	4.6%	4.5%	4.4%
 Nov 20, 2025	4.4%	4.3%	4.3%
 Sep 5, 2025	4.3%	4.3%	4.2%
 Aug 1, 2025	4.2%	4.2%	4.1%
 Jul 3, 2025	4.1%	4.3%	4.2%
 Jun 6, 2025	4.2%	4.2%	4.2%
 May 2, 2025	4.2%	4.2%	4.2%
 Apr 4, 2025	4.2%	4.1%	4.1%
 Mar 7, 2025	4.1%	4.0%	4.0%
 Feb 7, 2025	4.0%	4.1%	4.1%
 Jan 10, 2025	4.1%	4.2%	4.2%
 Dec 6, 2024	4.2%	4.1%	4.1%
 Nov 1, 2024	4.1%	4.1%	4.1%
 Oct 4, 2024	4.1%	4.2%	4.2%
 Sep 6, 2024	4.2%	4.2%	4.3%
 Aug 2, 2024	4.3%	4.1%	4.1%
 Jul 5, 2024	4.1%	4.0%	4.0%
 Jun 7, 2024	4.0%	3.9%	3.9%
 May 3, 2024	3.9%	3.8%	3.8%
 Apr 5, 2024	3.8%	3.9%	3.9%
 Mar 8, 2024	3.9%	3.7%	3.7%
 Feb 2, 2024	3.7%	3.8%	3.7%
 Jan 5, 2024	3.7%	3.8%	3.7%
 Dec 8, 2023	3.7%	3.9%	3.9%
 Nov 3, 2023	3.9%	3.8%	3.8%
 Oct 6, 2023	3.8%	3.7%	3.8%
 Sep 1, 2023	3.8%	3.5%	3.5%
 Aug 4, 2023	3.5%	3.6%	3.6%
 Jul 7, 2023	3.6%	3.6%	3.7%
 Jun 2, 2023	3.7%	3.5%	3.4%
 May 5, 2023	3.4%	3.6%	3.5%
 Apr 7, 2023	3.5%	3.6%	3.6%
 Mar 10, 2023	3.6%	3.4%	3.4%
 Feb 3, 2023	3.4%	3.6%	3.5%
 Jan 6, 2023	3.5%	3.7%	3.7%
 Dec 2, 2022	3.7%	3.7%	3.7%
 Nov 4, 2022	3.7%	3.6%	3.5%
 Oct 7, 2022	3.5%	3.7%	3.7%
 Sep 2, 2022	3.7%	3.5%	3.5%
 Aug 5, 2022	3.5%	3.6%	3.6%
 Jul 8, 2022	3.6%	3.6%	3.6%
 Jun 3, 2022	3.6%	3.5%	3.6%
 May 6, 2022	3.6%	3.5%	3.6%
 Apr 1, 2022	3.6%	3.7%	3.8%
 Mar 4, 2022	3.8%	3.9%	4.0%
 Feb 4, 2022	4.0%	3.9%	3.9%
 Jan 7, 2022	3.9%	4.1%	4.2%
 Dec 3, 2021	4.2%	4.5%	4.6%
 Nov 5, 2021	4.6%	4.7%	4.8%
 Oct 8, 2021	4.8%	5.1%	5.2%
 Sep 3, 2021	5.2%	5.2%	5.4%
 Aug 6, 2021	5.4%	5.7%	5.9%
 Jul 2, 2021	5.9%	5.6%	5.8%
 Jun 4, 2021	5.8%	5.9%	6.1%
 May 7, 2021	6.1%	5.8%	6.0%
 Apr 2, 2021	6.0%	6.0%	6.2%
 Mar 5, 2021	6.2%	6.3%	6.3%
 Feb 5, 2021	6.3%	6.7%	6.7%
 Jan 8, 2021	6.7%	6.8%	6.7%
 Dec 4, 2020	6.7%	6.8%	6.9%
 Nov 6, 2020	6.9%	7.7%	7.9%
 Oct 2, 2020	7.9%	8.2%	8.4%
 Sep 4, 2020	8.4%	9.8%	10.2%
 Aug 7, 2020	10.2%	10.5%	11.1%
 Jul 2, 2020	11.1%	12.4%	13.3%
 Jun 5, 2020	13.3%	19.4%	14.7%
