event_id,series,family,release_ts_utc,release_date_et,surprise_abs,deadband_pass,prior_sign,notes,sigma,surprise_z,z_signed
2fb7298350bb,US_NFP,labour,2020-06-05 12:30:00+00:00,2020-06-05,10259.0,True,-1.0,,,,
08ec65ebea36,US_UNEMP_RATE,labour,2020-06-05 12:30:00+00:00,2020-06-05,-6.1,True,1.0,,,,
b67a10bd09bd,US_CORE_CPI_MOM,inflation,2020-06-10 12:30:00+00:00,2020-06-10,-0.1,True,-1.0,,,,
1fe5a43761d6,US_CPI_MOM,inflation,2020-06-10 12:30:00+00:00,2020-06-10,-0.1,True,-1.0,,,,
c56a1e931385,ADBE_EPS,eps,2020-06-11 20:07:40+00:00,2020-06-11,0.13,True,1.0,post_market,,,
ae4b394f75c1,MU_EPS,eps,2020-06-29 20:02:05+00:00,2020-06-29,0.06,True,1.0,post_market,,,
1ecc1c50bc50,US_UNEMP_RATE,labour,2020-07-02 12:30:00+00:00,2020-07-02,-1.3,True,1.0,,,,
8ef4319a3f5b,US_NFP,labour,2020-07-02 12:30:00+00:00,2020-07-02,1763.0,True,-1.0,,,,
a65748d8ce32,US_PPI_MOM,inflation,2020-07-10 12:30:00+00:00,2020-07-10,-0.6,True,-1.0,,,,
bf875b9be365,US_CORE_PPI_MOM,inflation,2020-07-10 12:30:00+00:00,2020-07-10,-0.4,True,-1.0,,,,
9b0031f24de9,US_CPI_MOM,inflation,2020-07-14 12:30:00+00:00,2020-07-14,0.1,True,-1.0,,,,
af4f3380152d,US_CORE_CPI_MOM,inflation,2020-07-14 12:30:00+00:00,2020-07-14,0.1,True,-1.0,,,,
03be32f56bcb,NFLX_EPS,eps,2020-07-16 20:57:23+00:00,2020-07-16,-0.02,True,1.0,post_market,,,
0fa5eea1976c,TXN_EPS,eps,2020-07-21 20:08:29+00:00,2020-07-21,0.65,True,1.0,post_market,,,
808fd63a7105,TSLA_EPS,eps,2020-07-22 20:54:41+00:00,2020-07-22,0.16,True,1.0,post_market,,,
33c03a039130,INTC_EPS,eps,2020-07-23 20:07:41+00:00,2020-07-23,0.12,True,1.0,post_market,,,
be148c0c2c4a,QCOM_EPS,eps,2020-07-29 20:05:29+00:00,2020-07-29,0.15,True,1.0,post_market,,,
bedd37d6a27f,GOOGL_EPS,eps,2020-07-30 22:40:20+00:00,2020-07-30,0.1,True,1.0,post_market,,,
522359cee318,AAPL_EPS,eps,2020-07-30 22:55:04+00:00,2020-07-30,0.14,True,1.0,post_market,,,
314807dc8bba,AMZN_EPS,eps,2020-07-30 23:05:15+00:00,2020-07-30,0.44,True,1.0,post_market,,,
443658493792,META_EPS,eps,2020-07-30 23:18:23+00:00,2020-07-30,0.4,True,1.0,post_market,,,
a81cf255c1ff,US_CORE_PCE_MOM,inflation,2020-07-31 12:30:00+00:00,2020-07-31,0.0,False,-1.0,,,,
89b11ab2857a,US_UNEMP_RATE,labour,2020-08-07 12:30:00+00:00,2020-08-07,-0.3,True,1.0,,,,
18863933bab9,US_NFP,labour,2020-08-07 12:30:00+00:00,2020-08-07,233.0,True,-1.0,,,,
de7624c36d15,US_PPI_MOM,inflation,2020-08-11 12:30:00+00:00,2020-08-11,0.3,True,-1.0,,,,
33f9206360d0,US_CORE_PPI_MOM,inflation,2020-08-11 12:30:00+00:00,2020-08-11,0.4,True,-1.0,,,,
9a714bf5ed99,US_CORE_CPI_MOM,inflation,2020-08-12 12:30:00+00:00,2020-08-12,0.4,True,-1.0,,,,
349776a715ac,US_CPI_MOM,inflation,2020-08-12 12:30:00+00:00,2020-08-12,0.3,True,-1.0,,,,
45c74ec55938,CSCO_EPS,eps,2020-08-12 20:10:03+00:00,2020-08-12,0.06,True,1.0,post_market,,,
cf508a131a95,AMAT_EPS,eps,2020-08-13 20:06:36+00:00,2020-08-13,0.11,True,1.0,post_market,,,
c1f83663e4e9,NVDA_EPS,eps,2020-08-19 20:21:46+00:00,2020-08-19,0.006,True,1.0,post_market,,,
847ec953f0f9,US_CORE_PCE_MOM,inflation,2020-08-28 12:30:00+00:00,2020-08-28,-0.2,True,-1.0,,,,
11b1ce774bd4,AVGO_EPS,eps,2020-09-03 20:17:44+00:00,2020-09-03,0.016,True,1.0,post_market,,,
ac25ae71f494,US_UNEMP_RATE,labour,2020-09-04 12:30:00+00:00,2020-09-04,-1.4,True,1.0,,,,
c5e6234e13a9,US_NFP,labour,2020-09-04 12:30:00+00:00,2020-09-04,-4.0,False,-1.0,,,,
056653e35401,US_PPI_MOM,inflation,2020-09-10 12:30:00+00:00,2020-09-10,0.1,True,-1.0,,,,
888c798154d9,US_CORE_PPI_MOM,inflation,2020-09-10 12:30:00+00:00,2020-09-10,0.2,True,-1.0,,,,
c85cc741b9a7,US_CPI_MOM,inflation,2020-09-11 12:30:00+00:00,2020-09-11,0.1,True,-1.0,,,,
2669eba4af17,US_CORE_CPI_MOM,inflation,2020-09-11 12:30:00+00:00,2020-09-11,0.2,True,-1.0,,,,
1746a8d4bc4a,ADBE_EPS,eps,2020-09-15 20:07:22+00:00,2020-09-15,0.16,True,1.0,post_market,,,
dc679890cd2d,MU_EPS,eps,2020-09-29 20:00:38+00:00,2020-09-29,0.11,True,1.0,post_market,,,
964bd1d398fa,US_CORE_PCE_MOM,inflation,2020-10-01 12:30:00+00:00,2020-10-01,0.0,False,-1.0,,,,
a317b3700587,US_NFP,labour,2020-10-02 12:30:00+00:00,2020-10-02,-239.0,True,-1.0,,,,
b6467bb1ff78,US_UNEMP_RATE,labour,2020-10-02 12:30:00+00:00,2020-10-02,-0.3,True,1.0,,,,
ef6fcb4c1a3f,US_CORE_CPI_MOM,inflation,2020-10-13 12:30:00+00:00,2020-10-13,0.0,False,-1.0,,,,
18dc176f116a,US_CPI_MOM,inflation,2020-10-13 12:30:00+00:00,2020-10-13,0.0,False,-1.0,,,,
7dc113ce92b0,US_PPI_MOM,inflation,2020-10-14 12:30:00+00:00,2020-10-14,0.2,True,-1.0,,,,
