bucket_open_et,segment_id,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,spans_segment_boundary,complete
2026-07-05 20:00:00-04:00,25,29987.75,29988.75,29900.0,29982.75,3493,15,2026-07-05 20:00:00-04:00,2026-07-05 20:14:00-04:00,2026-07-05 20:15:00-04:00,2026-07-05 20:15:00-04:00,15m,False,True
2026-07-05 20:15:00-04:00,25,29982.5,30004.75,29879.75,29882.75,2766,15,2026-07-05 20:15:00-04:00,2026-07-05 20:29:00-04:00,2026-07-05 20:30:00-04:00,2026-07-05 20:30:00-04:00,15m,False,True
2026-07-05 20:30:00-04:00,25,29882.25,29944.5,29845.0,29933.75,3177,15,2026-07-05 20:30:00-04:00,2026-07-05 20:44:00-04:00,2026-07-05 20:45:00-04:00,2026-07-05 20:45:00-04:00,15m,False,True
2026-07-05 20:45:00-04:00,25,29937.5,29969.75,29914.5,29928.25,2216,15,2026-07-05 20:45:00-04:00,2026-07-05 20:59:00-04:00,2026-07-05 21:00:00-04:00,2026-07-05 21:00:00-04:00,15m,False,True
2026-07-05 21:00:00-04:00,25,29926.5,29932.0,29867.25,29880.0,2437,15,2026-07-05 21:00:00-04:00,2026-07-05 21:14:00-04:00,2026-07-05 21:15:00-04:00,2026-07-05 21:15:00-04:00,15m,False,True
2026-07-05 21:15:00-04:00,25,29879.75,29893.5,29773.75,29814.25,3735,15,2026-07-05 21:15:00-04:00,2026-07-05 21:29:00-04:00,2026-07-05 21:30:00-04:00,2026-07-05 21:30:00-04:00,15m,False,True
2026-07-05 21:30:00-04:00,25,29813.25,29855.25,29807.0,29817.25,2115,15,2026-07-05 21:30:00-04:00,2026-07-05 21:44:00-04:00,2026-07-05 21:45:00-04:00,2026-07-05 21:45:00-04:00,15m,False,True
2026-07-05 21:45:00-04:00,25,29816.25,29816.25,29750.0,29792.75,3072,15,2026-07-05 21:45:00-04:00,2026-07-05 21:59:00-04:00,2026-07-05 22:00:00-04:00,2026-07-05 22:00:00-04:00,15m,False,True
2026-07-05 22:00:00-04:00,25,29793.25,29818.75,29754.5,29759.5,2811,15,2026-07-05 22:00:00-04:00,2026-07-05 22:14:00-04:00,2026-07-05 22:15:00-04:00,2026-07-05 22:15:00-04:00,15m,False,True
2026-07-05 22:15:00-04:00,25,29761.25,29791.75,29735.0,29736.25,2673,15,2026-07-05 22:15:00-04:00,2026-07-05 22:29:00-04:00,2026-07-05 22:30:00-04:00,2026-07-05 22:30:00-04:00,15m,False,True
2026-07-05 22:30:00-04:00,25,29737.0,29747.5,29693.5,29699.25,2497,15,2026-07-05 22:30:00-04:00,2026-07-05 22:44:00-04:00,2026-07-05 22:45:00-04:00,2026-07-05 22:45:00-04:00,15m,False,True
2026-07-05 22:45:00-04:00,25,29700.5,29732.0,29683.0,29725.25,2072,15,2026-07-05 22:45:00-04:00,2026-07-05 22:59:00-04:00,2026-07-05 23:00:00-04:00,2026-07-05 23:00:00-04:00,15m,False,True
2026-07-05 23:00:00-04:00,25,29726.5,29785.5,29716.75,29771.0,2506,15,2026-07-05 23:00:00-04:00,2026-07-05 23:14:00-04:00,2026-07-05 23:15:00-04:00,2026-07-05 23:15:00-04:00,15m,False,True
2026-07-05 23:15:00-04:00,25,29772.0,29790.5,29748.0,29788.0,1370,15,2026-07-05 23:15:00-04:00,2026-07-05 23:29:00-04:00,2026-07-05 23:30:00-04:00,2026-07-05 23:30:00-04:00,15m,False,True
2026-07-05 23:30:00-04:00,25,29789.5,29806.5,29738.0,29740.5,2177,15,2026-07-05 23:30:00-04:00,2026-07-05 23:44:00-04:00,2026-07-05 23:45:00-04:00,2026-07-05 23:45:00-04:00,15m,False,True
2026-07-05 23:45:00-04:00,25,29740.25,29748.5,29693.25,29730.25,2555,15,2026-07-05 23:45:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,15m,False,True
2026-07-06 00:00:00-04:00,25,29730.25,29778.0,29703.0,29774.75,1992,15,2026-07-06 00:00:00-04:00,2026-07-06 00:14:00-04:00,2026-07-06 00:15:00-04:00,2026-07-06 00:15:00-04:00,15m,False,True
2026-07-06 00:15:00-04:00,25,29771.5,29801.0,29769.0,29794.75,1474,15,2026-07-06 00:15:00-04:00,2026-07-06 00:29:00-04:00,2026-07-06 00:30:00-04:00,2026-07-06 00:30:00-04:00,15m,False,True
2026-07-06 00:30:00-04:00,25,29795.5,29836.0,29788.5,29828.5,1453,15,2026-07-06 00:30:00-04:00,2026-07-06 00:44:00-04:00,2026-07-06 00:45:00-04:00,2026-07-06 00:45:00-04:00,15m,False,True
2026-07-06 00:45:00-04:00,25,29826.75,29840.5,29813.0,29828.25,977,15,2026-07-06 00:45:00-04:00,2026-07-06 00:59:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,15m,False,True
2026-07-06 01:00:00-04:00,25,29829.5,29830.5,29792.75,29807.25,984,15,2026-07-06 01:00:00-04:00,2026-07-06 01:14:00-04:00,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,15m,False,True
2026-07-06 01:15:00-04:00,25,29809.25,29818.5,29767.75,29769.5,1044,15,2026-07-06 01:15:00-04:00,2026-07-06 01:29:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,15m,False,True
2026-07-06 01:30:00-04:00,25,29770.0,29799.0,29752.5,29788.25,1189,15,2026-07-06 01:30:00-04:00,2026-07-06 01:44:00-04:00,2026-07-06 01:45:00-04:00,2026-07-06 01:45:00-04:00,15m,False,True
2026-07-06 01:45:00-04:00,25,29789.5,29801.5,29766.25,29790.5,805,15,2026-07-06 01:45:00-04:00,2026-07-06 01:59:00-04:00,2026-07-06 02:00:00-04:00,2026-07-06 02:00:00-04:00,15m,False,True
2026-07-06 02:00:00-04:00,25,29791.5,29807.5,29754.75,29759.75,1089,15,2026-07-06 02:00:00-04:00,2026-07-06 02:14:00-04:00,2026-07-06 02:15:00-04:00,2026-07-06 02:15:00-04:00,15m,False,True
2026-07-06 02:15:00-04:00,25,29760.75,29797.0,29755.25,29790.5,871,15,2026-07-06 02:15:00-04:00,2026-07-06 02:29:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 02:30:00-04:00,15m,False,True
2026-07-06 02:30:00-04:00,25,29789.0,29858.25,29784.5,29854.5,2167,15,2026-07-06 02:30:00-04:00,2026-07-06 02:44:00-04:00,2026-07-06 02:45:00-04:00,2026-07-06 02:45:00-04:00,15m,False,True
2026-07-06 02:45:00-04:00,25,29855.0,29855.5,29832.5,29847.25,1030,15,2026-07-06 02:45:00-04:00,2026-07-06 02:59:00-04:00,2026-07-06 03:00:00-04:00,2026-07-06 03:00:00-04:00,15m,False,True
2026-07-06 03:00:00-04:00,25,29846.25,29862.75,29829.75,29848.0,1206,15,2026-07-06 03:00:00-04:00,2026-07-06 03:14:00-04:00,2026-07-06 03:15:00-04:00,2026-07-06 03:15:00-04:00,15m,False,True
2026-07-06 03:15:00-04:00,25,29850.5,29863.75,29817.75,29820.25,924,15,2026-07-06 03:15:00-04:00,2026-07-06 03:29:00-04:00,2026-07-06 03:30:00-04:00,2026-07-06 03:30:00-04:00,15m,False,True
2026-07-06 03:30:00-04:00,25,29822.0,29876.25,29816.25,29872.75,846,15,2026-07-06 03:30:00-04:00,2026-07-06 03:44:00-04:00,2026-07-06 03:45:00-04:00,2026-07-06 03:45:00-04:00,15m,False,True
2026-07-06 03:45:00-04:00,25,29870.5,29875.25,29851.25,29852.5,606,15,2026-07-06 03:45:00-04:00,2026-07-06 03:59:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 04:00:00-04:00,15m,False,True
2026-07-06 04:00:00-04:00,25,29852.75,29884.0,29803.5,29821.75,1863,15,2026-07-06 04:00:00-04:00,2026-07-06 04:14:00-04:00,2026-07-06 04:15:00-04:00,2026-07-06 04:15:00-04:00,15m,False,True
2026-07-06 04:15:00-04:00,25,29824.25,29833.25,29780.0,29833.25,1140,15,2026-07-06 04:15:00-04:00,2026-07-06 04:29:00-04:00,2026-07-06 04:30:00-04:00,2026-07-06 04:30:00-04:00,15m,False,True
2026-07-06 04:30:00-04:00,25,29831.0,29853.0,29807.75,29843.25,939,15,2026-07-06 04:30:00-04:00,2026-07-06 04:44:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 04:45:00-04:00,15m,False,True
2026-07-06 04:45:00-04:00,25,29845.75,29870.75,29838.5,29867.0,725,15,2026-07-06 04:45:00-04:00,2026-07-06 04:59:00-04:00,2026-07-06 05:00:00-04:00,2026-07-06 05:00:00-04:00,15m,False,True
2026-07-06 05:00:00-04:00,25,29869.75,29875.0,29844.0,29853.75,952,15,2026-07-06 05:00:00-04:00,2026-07-06 05:14:00-04:00,2026-07-06 05:15:00-04:00,2026-07-06 05:15:00-04:00,15m,False,True
2026-07-06 05:15:00-04:00,25,29853.75,29869.75,29850.0,29863.5,606,15,2026-07-06 05:15:00-04:00,2026-07-06 05:29:00-04:00,2026-07-06 05:30:00-04:00,2026-07-06 05:30:00-04:00,15m,False,True
2026-07-06 05:30:00-04:00,25,29864.75,29867.0,29839.0,29849.75,591,15,2026-07-06 05:30:00-04:00,2026-07-06 05:44:00-04:00,2026-07-06 05:45:00-04:00,2026-07-06 05:45:00-04:00,15m,False,True
2026-07-06 05:45:00-04:00,25,29849.75,29888.5,29827.5,29877.0,1293,15,2026-07-06 05:45:00-04:00,2026-07-06 05:59:00-04:00,2026-07-06 06:00:00-04:00,2026-07-06 06:00:00-04:00,15m,False,True
2026-07-06 06:00:00-04:00,25,29878.0,29891.5,29852.25,29878.5,998,15,2026-07-06 06:00:00-04:00,2026-07-06 06:14:00-04:00,2026-07-06 06:15:00-04:00,2026-07-06 06:15:00-04:00,15m,False,True
2026-07-06 06:15:00-04:00,25,29878.5,29884.75,29860.75,29864.75,628,15,2026-07-06 06:15:00-04:00,2026-07-06 06:29:00-04:00,2026-07-06 06:30:00-04:00,2026-07-06 06:30:00-04:00,15m,False,True
2026-07-06 06:30:00-04:00,25,29864.0,29885.0,29854.25,29857.0,721,15,2026-07-06 06:30:00-04:00,2026-07-06 06:44:00-04:00,2026-07-06 06:45:00-04:00,2026-07-06 06:45:00-04:00,15m,False,True
2026-07-06 06:45:00-04:00,25,29856.0,29884.5,29847.25,29884.5,744,15,2026-07-06 06:45:00-04:00,2026-07-06 06:59:00-04:00,2026-07-06 07:00:00-04:00,2026-07-06 07:00:00-04:00,15m,False,True
2026-07-06 07:00:00-04:00,25,29884.25,29896.0,29841.75,29857.75,1437,15,2026-07-06 07:00:00-04:00,2026-07-06 07:14:00-04:00,2026-07-06 07:15:00-04:00,2026-07-06 07:15:00-04:00,15m,False,True
2026-07-06 07:15:00-04:00,25,29858.25,29891.75,29854.75,29880.75,1223,15,2026-07-06 07:15:00-04:00,2026-07-06 07:29:00-04:00,2026-07-06 07:30:00-04:00,2026-07-06 07:30:00-04:00,15m,False,True
2026-07-06 07:30:00-04:00,25,29879.5,29897.5,29871.0,29882.75,1246,15,2026-07-06 07:30:00-04:00,2026-07-06 07:44:00-04:00,2026-07-06 07:45:00-04:00,2026-07-06 07:45:00-04:00,15m,False,True
2026-07-06 07:45:00-04:00,25,29883.25,29915.0,29876.25,29877.75,1937,15,2026-07-06 07:45:00-04:00,2026-07-06 07:59:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 08:00:00-04:00,15m,False,True
2026-07-06 08:00:00-04:00,25,29879.0,29936.0,29865.5,29931.5,2931,15,2026-07-06 08:00:00-04:00,2026-07-06 08:14:00-04:00,2026-07-06 08:15:00-04:00,2026-07-06 08:15:00-04:00,15m,False,True
2026-07-06 08:15:00-04:00,25,29932.25,29936.0,29876.25,29893.25,2494,15,2026-07-06 08:15:00-04:00,2026-07-06 08:29:00-04:00,2026-07-06 08:30:00-04:00,2026-07-06 08:30:00-04:00,15m,False,True
