tf,bucket_open_et,bucket_close_et,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,availability_et,complete
4h,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,29987.75,30004.75,29683.0,29730.25,41672,240,2026-07-05 20:00:00-04:00,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,True
4h,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,29730.25,29876.25,29703.0,29852.5,18657,240,2026-07-06 00:00:00-04:00,2026-07-06 03:59:00-04:00,2026-07-06 04:00:00-04:00,True
4h,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,29852.75,29915.0,29780.0,29877.75,17043,240,2026-07-06 04:00:00-04:00,2026-07-06 07:59:00-04:00,2026-07-06 08:00:00-04:00,True
4h,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,29879.0,30083.75,29776.25,30074.25,185746,240,2026-07-06 08:00:00-04:00,2026-07-06 11:59:00-04:00,2026-07-06 12:00:00-04:00,True
4h,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,30074.0,30094.0,29882.25,29951.75,154179,240,2026-07-06 12:00:00-04:00,2026-07-06 15:59:00-04:00,2026-07-06 16:00:00-04:00,True
4h,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,29951.25,29973.75,29839.25,29852.25,25948,180,2026-07-06 16:00:00-04:00,2026-07-06 19:59:00-04:00,2026-07-06 20:00:00-04:00,False
4h,2026-07-06 20:00:00-04:00,2026-07-07 00:00:00-04:00,29851.0,29914.25,29628.25,29668.25,37451,240,2026-07-06 20:00:00-04:00,2026-07-06 23:59:00-04:00,2026-07-07 00:00:00-04:00,True
4h,2026-07-07 00:00:00-04:00,2026-07-07 04:00:00-04:00,29670.0,29744.0,29558.5,29645.5,29065,240,2026-07-07 00:00:00-04:00,2026-07-07 03:59:00-04:00,2026-07-07 04:00:00-04:00,True
4h,2026-07-07 04:00:00-04:00,2026-07-07 08:00:00-04:00,29646.75,29709.25,29591.25,29642.5,26969,240,2026-07-07 04:00:00-04:00,2026-07-07 07:59:00-04:00,2026-07-07 08:00:00-04:00,True
4h,2026-07-07 08:00:00-04:00,2026-07-07 12:00:00-04:00,29640.75,29716.0,29210.0,29386.75,253259,240,2026-07-07 08:00:00-04:00,2026-07-07 11:59:00-04:00,2026-07-07 12:00:00-04:00,True
4h,2026-07-07 12:00:00-04:00,2026-07-07 16:00:00-04:00,29388.0,29580.75,29271.0,29394.5,196805,240,2026-07-07 12:00:00-04:00,2026-07-07 15:59:00-04:00,2026-07-07 16:00:00-04:00,True
4h,2026-07-07 16:00:00-04:00,2026-07-07 20:00:00-04:00,29395.0,29437.25,29292.5,29300.5,29142,180,2026-07-07 16:00:00-04:00,2026-07-07 19:59:00-04:00,2026-07-07 20:00:00-04:00,False
4h,2026-07-07 20:00:00-04:00,2026-07-08 00:00:00-04:00,29300.0,29558.75,29266.0,29467.0,39897,240,2026-07-07 20:00:00-04:00,2026-07-07 23:59:00-04:00,2026-07-08 00:00:00-04:00,True
4h,2026-07-08 00:00:00-04:00,2026-07-08 04:00:00-04:00,29470.0,29473.5,29281.0,29381.0,29687,240,2026-07-08 00:00:00-04:00,2026-07-08 03:59:00-04:00,2026-07-08 04:00:00-04:00,True
4h,2026-07-08 04:00:00-04:00,2026-07-08 08:00:00-04:00,29383.0,29414.75,28909.75,29089.25,63342,240,2026-07-08 04:00:00-04:00,2026-07-08 07:59:00-04:00,2026-07-08 08:00:00-04:00,True
4h,2026-07-08 08:00:00-04:00,2026-07-08 12:00:00-04:00,29088.0,29399.0,29034.0,29096.25,221904,240,2026-07-08 08:00:00-04:00,2026-07-08 11:59:00-04:00,2026-07-08 12:00:00-04:00,True
4h,2026-07-08 12:00:00-04:00,2026-07-08 16:00:00-04:00,29097.25,29500.0,29092.75,29457.5,164386,240,2026-07-08 12:00:00-04:00,2026-07-08 15:59:00-04:00,2026-07-08 16:00:00-04:00,True
4h,2026-07-08 16:00:00-04:00,2026-07-08 20:00:00-04:00,29457.0,29503.25,29353.25,29491.25,26055,180,2026-07-08 16:00:00-04:00,2026-07-08 19:59:00-04:00,2026-07-08 20:00:00-04:00,False
4h,2026-07-08 20:00:00-04:00,2026-07-09 00:00:00-04:00,29491.0,29583.0,29396.5,29506.75,35676,240,2026-07-08 20:00:00-04:00,2026-07-08 23:59:00-04:00,2026-07-09 00:00:00-04:00,True
4h,2026-07-09 00:00:00-04:00,2026-07-09 04:00:00-04:00,29507.5,29706.75,29462.5,29686.25,28453,240,2026-07-09 00:00:00-04:00,2026-07-09 03:59:00-04:00,2026-07-09 04:00:00-04:00,True
4h,2026-07-09 04:00:00-04:00,2026-07-09 08:00:00-04:00,29684.75,29735.75,29564.5,29696.0,26765,240,2026-07-09 04:00:00-04:00,2026-07-09 07:59:00-04:00,2026-07-09 08:00:00-04:00,True
4h,2026-07-09 08:00:00-04:00,2026-07-09 12:00:00-04:00,29696.75,29931.25,29614.5,29886.25,205682,240,2026-07-09 08:00:00-04:00,2026-07-09 11:59:00-04:00,2026-07-09 12:00:00-04:00,True
4h,2026-07-09 12:00:00-04:00,2026-07-09 16:00:00-04:00,29886.5,29993.5,29864.0,29948.75,135597,240,2026-07-09 12:00:00-04:00,2026-07-09 15:59:00-04:00,2026-07-09 16:00:00-04:00,True
4h,2026-07-09 16:00:00-04:00,2026-07-09 20:00:00-04:00,29948.75,29973.75,29904.0,29932.5,23367,180,2026-07-09 16:00:00-04:00,2026-07-09 19:59:00-04:00,2026-07-09 20:00:00-04:00,False
4h,2026-07-09 20:00:00-04:00,2026-07-10 00:00:00-04:00,29933.25,29963.5,29804.25,29932.25,31079,240,2026-07-09 20:00:00-04:00,2026-07-09 23:59:00-04:00,2026-07-10 00:00:00-04:00,True
4h,2026-07-10 00:00:00-04:00,2026-07-10 04:00:00-04:00,29933.0,29948.75,29761.75,29774.0,23356,240,2026-07-10 00:00:00-04:00,2026-07-10 03:59:00-04:00,2026-07-10 04:00:00-04:00,True
4h,2026-07-10 04:00:00-04:00,2026-07-10 08:00:00-04:00,29773.75,29887.75,29717.25,29816.0,23813,240,2026-07-10 04:00:00-04:00,2026-07-10 07:59:00-04:00,2026-07-10 08:00:00-04:00,True
4h,2026-07-10 08:00:00-04:00,2026-07-10 12:00:00-04:00,29816.75,29991.5,29675.0,29944.25,202914,240,2026-07-10 08:00:00-04:00,2026-07-10 11:59:00-04:00,2026-07-10 12:00:00-04:00,True
4h,2026-07-10 12:00:00-04:00,2026-07-10 16:00:00-04:00,29944.25,30077.75,29943.75,30037.5,118599,240,2026-07-10 12:00:00-04:00,2026-07-10 15:59:00-04:00,2026-07-10 16:00:00-04:00,True
4h,2026-07-10 16:00:00-04:00,2026-07-10 20:00:00-04:00,30037.75,30073.75,30031.75,30068.5,10510,60,2026-07-10 16:00:00-04:00,2026-07-10 16:59:00-04:00,2026-07-10 20:00:00-04:00,False
4h,2026-07-12 16:00:00-04:00,2026-07-12 20:00:00-04:00,29952.0,29979.5,29845.0,29893.25,18451,120,2026-07-12 18:00:00-04:00,2026-07-12 19:59:00-04:00,2026-07-12 20:00:00-04:00,False
