bucket_open_et,open,high,low,close,volume,n_source_minutes,source_first_ts,source_last_ts,bucket_close_et,availability_et,tf,complete
2026-07-05 20:00:00-04:00,29987.75,29988.75,29900.0,29948.5,1937,5,2026-07-05 20:00:00-04:00,2026-07-05 20:04:00-04:00,2026-07-05 20:05:00-04:00,2026-07-05 20:05:00-04:00,5m,True
2026-07-05 20:05:00-04:00,29950.25,29971.5,29928.5,29967.0,876,5,2026-07-05 20:05:00-04:00,2026-07-05 20:09:00-04:00,2026-07-05 20:10:00-04:00,2026-07-05 20:10:00-04:00,5m,True
2026-07-05 20:10:00-04:00,29964.25,29982.75,29946.0,29982.75,680,5,2026-07-05 20:10:00-04:00,2026-07-05 20:14:00-04:00,2026-07-05 20:15:00-04:00,2026-07-05 20:15:00-04:00,5m,True
2026-07-05 20:15:00-04:00,29982.5,30004.75,29976.5,29979.5,884,5,2026-07-05 20:15:00-04:00,2026-07-05 20:19:00-04:00,2026-07-05 20:20:00-04:00,2026-07-05 20:20:00-04:00,5m,True
2026-07-05 20:20:00-04:00,29980.5,29985.75,29950.0,29957.25,653,5,2026-07-05 20:20:00-04:00,2026-07-05 20:24:00-04:00,2026-07-05 20:25:00-04:00,2026-07-05 20:25:00-04:00,5m,True
2026-07-05 20:25:00-04:00,29961.5,29964.5,29879.75,29882.75,1229,5,2026-07-05 20:25:00-04:00,2026-07-05 20:29:00-04:00,2026-07-05 20:30:00-04:00,2026-07-05 20:30:00-04:00,5m,True
2026-07-05 20:30:00-04:00,29882.25,29909.0,29845.0,29898.0,1754,5,2026-07-05 20:30:00-04:00,2026-07-05 20:34:00-04:00,2026-07-05 20:35:00-04:00,2026-07-05 20:35:00-04:00,5m,True
2026-07-05 20:35:00-04:00,29898.0,29928.5,29882.25,29917.0,673,5,2026-07-05 20:35:00-04:00,2026-07-05 20:39:00-04:00,2026-07-05 20:40:00-04:00,2026-07-05 20:40:00-04:00,5m,True
2026-07-05 20:40:00-04:00,29918.5,29944.5,29908.0,29933.75,750,5,2026-07-05 20:40:00-04:00,2026-07-05 20:44:00-04:00,2026-07-05 20:45:00-04:00,2026-07-05 20:45:00-04:00,5m,True
2026-07-05 20:45:00-04:00,29937.5,29969.75,29937.5,29944.25,752,5,2026-07-05 20:45:00-04:00,2026-07-05 20:49:00-04:00,2026-07-05 20:50:00-04:00,2026-07-05 20:50:00-04:00,5m,True
2026-07-05 20:50:00-04:00,29942.75,29944.0,29916.5,29936.25,707,5,2026-07-05 20:50:00-04:00,2026-07-05 20:54:00-04:00,2026-07-05 20:55:00-04:00,2026-07-05 20:55:00-04:00,5m,True
2026-07-05 20:55:00-04:00,29937.5,29951.5,29914.5,29928.25,757,5,2026-07-05 20:55:00-04:00,2026-07-05 20:59:00-04:00,2026-07-05 21:00:00-04:00,2026-07-05 21:00:00-04:00,5m,True
2026-07-05 21:00:00-04:00,29926.5,29932.0,29892.5,29894.5,815,5,2026-07-05 21:00:00-04:00,2026-07-05 21:04:00-04:00,2026-07-05 21:05:00-04:00,2026-07-05 21:05:00-04:00,5m,True
