instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,atr_value,atr_availability_et,net_move_atr,total_distance_atr,created_fvg,segment_id,end_index
NQ,5m,bull,1,phase1-v1.0.0,2026-07-05 23:55:00-04:00,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,27.25,1,1.0,27.25,90.0,85.0,80.0,,0.85625,0.68125,40.0,32.0,2026-07-05 23:55:00-04:00,0.8515625,1.25,False,6,106412
NQ,5m,bear,1,phase1-v1.0.0,2026-07-05 23:55:00-04:00,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,-27.25,0,0.0,0.0,90.0,85.0,80.0,,0.14375,0.68125,40.0,32.0,2026-07-05 23:55:00-04:00,0.8515625,1.25,False,6,106412
NQ,5m,bull,2,phase1-v1.0.0,2026-07-05 23:50:00-04:00,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,11.0,1,0.5,27.25,80.0,75.0,68.75,40.0,0.85625,0.12359550561797752,89.0,32.0,2026-07-05 23:55:00-04:00,0.34375,2.78125,False,6,106412
NQ,5m,bear,2,phase1-v1.0.0,2026-07-05 23:50:00-04:00,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,-11.0,1,0.5,17.5,80.0,75.0,68.75,40.0,0.14375,0.12359550561797752,89.0,32.0,2026-07-05 23:55:00-04:00,0.34375,2.78125,False,6,106412
NQ,5m,bull,3,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,-10.0,1,0.3333333333333333,27.25,80.0,70.0,65.0,33.625,0.85625,0.08163265306122448,122.5,32.0,2026-07-05 23:55:00-04:00,0.3125,3.828125,False,6,106412
NQ,5m,bear,3,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,10.0,2,0.6666666666666666,20.125,80.0,70.0,65.0,33.625,0.14375,0.08163265306122448,122.5,32.0,2026-07-05 23:55:00-04:00,0.3125,3.828125,False,6,106412
NQ,5m,bull,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:05:00-04:00,2.25,1,1.0,2.25,0.0,5.0,2.5,,0.8309859154929577,0.06338028169014084,35.5,33.267857142857146,2026-07-06 00:00:00-04:00,0.06763285024154589,1.067096081588835,False,6,106413
NQ,5m,bear,1,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:05:00-04:00,-2.25,0,0.0,0.0,0.0,5.0,2.5,,0.16901408450704225,0.06338028169014084,35.5,33.267857142857146,2026-07-06 00:00:00-04:00,0.06763285024154589,1.067096081588835,False,6,106413
NQ,5m,bull,2,phase1-v1.0.0,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:05:00-04:00,29.5,2,1.0,14.75,45.0,45.0,41.25,33.0,0.8309859154929577,0.39072847682119205,75.5,33.267857142857146,2026-07-06 00:00:00-04:00,0.8867418142780461,2.269457863660762,False,6,106413
NQ,5m,bear,2,phase1-v1.0.0,2026-07-05 23:55:00-04:00,2026-07-06 00:00:00-04:00,2026-07-06 00:05:00-04:00,-29.5,0,0.0,0.0,45.0,45.0,41.25,33.0,0.16901408450704225,0.39072847682119205,75.5,33.267857142857146,2026-07-06 00:00:00-04:00,0.8867418142780461,2.269457863660762,False,6,106413
