instrument,tf,direction,leg_len,param_version,start_open_et,end_open_et,availability_et,net_directional_move,n_bodies_aligned,prop_bodies_aligned,median_aligned_body,median_body_pctile_prev10,median_body_pctile_prev20,median_body_pctile_prev40,adjacent_overlap,terminal_close_location,path_efficiency,total_distance,atr_value,atr_availability_et,net_move_atr,total_distance_atr,created_fvg,segment_id,end_index
NQ,daily,bull,1,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,17.5,1,1.0,17.5,0.0,0.0,0.0,,0.6441605839416058,0.04257907542579075,411.0,775.8571428571429,2026-07-05 18:00:00-04:00,0.02255569876634137,0.5297366967409317,False,6,390
NQ,daily,bear,1,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,-17.5,0,0.0,0.0,0.0,0.0,0.0,,0.35583941605839414,0.04257907542579075,411.0,775.8571428571429,2026-07-05 18:00:00-04:00,0.02255569876634137,0.5297366967409317,False,6,390
NQ,daily,bull,2,phase1-v1.0.0,2026-07-02 18:00:00-04:00,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,381.75,2,1.0,176.625,15.0,17.5,27.5,272.25,0.6441605839416058,0.4521764880071069,844.25,775.8571428571429,2026-07-05 18:00:00-04:00,0.4920364573743325,1.088151353341926,False,6,390
NQ,daily,bear,2,phase1-v1.0.0,2026-07-02 18:00:00-04:00,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,-381.75,0,0.0,0.0,15.0,17.5,27.5,272.25,0.35583941605839414,0.4521764880071069,844.25,775.8571428571429,2026-07-05 18:00:00-04:00,0.4920364573743325,1.088151353341926,False,6,390
NQ,daily,bull,3,phase1-v1.0.0,2026-07-01 18:00:00-04:00,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,-142.0,2,0.6666666666666666,176.625,30.0,35.0,55.0,352.75,0.6441605839416058,0.07735258068909165,1835.75,775.8571428571429,2026-07-05 18:00:00-04:00,0.1830233842754557,2.36609280058921,False,6,390
NQ,daily,bear,3,phase1-v1.0.0,2026-07-01 18:00:00-04:00,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,142.0,1,0.3333333333333333,538.0,30.0,35.0,55.0,352.75,0.35583941605839414,0.07735258068909165,1835.75,775.8571428571429,2026-07-05 18:00:00-04:00,0.1830233842754557,2.36609280058921,False,6,390
NQ,daily,bull,1,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,-540.5,0,0.0,0.0,80.0,60.0,77.5,,0.27430441898527,0.7076923076923077,763.75,767.3571428571429,2026-07-06 18:00:00-04:00,0.7043656334357256,0.9952992646374383,False,6,391
NQ,daily,bear,1,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,540.5,1,1.0,540.5,80.0,60.0,77.5,,0.72569558101473,0.7076923076923077,763.75,767.3571428571429,2026-07-06 18:00:00-04:00,0.7043656334357256,0.9952992646374383,False,6,391
NQ,daily,bull,2,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,-510.75,1,0.5,17.5,40.0,30.0,38.75,290.75,0.27430441898527,0.43477335603319855,1174.75,767.3571428571429,2026-07-06 18:00:00-04:00,0.6655962021781625,1.5309038443637717,False,6,391
NQ,daily,bear,2,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,510.75,1,0.5,540.5,40.0,30.0,38.75,290.75,0.72569558101473,0.43477335603319855,1174.75,767.3571428571429,2026-07-06 18:00:00-04:00,0.6655962021781625,1.5309038443637717,False,6,391
NQ,daily,bull,3,phase1-v1.0.0,2026-07-02 18:00:00-04:00,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,-146.5,2,0.6666666666666666,176.625,30.0,35.0,55.0,281.5,0.27430441898527,0.09110696517412935,1608.0,767.3571428571429,2026-07-06 18:00:00-04:00,0.19091501442799963,2.0955040491482824,False,6,391
NQ,daily,bear,3,phase1-v1.0.0,2026-07-02 18:00:00-04:00,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,146.5,1,0.3333333333333333,540.5,30.0,35.0,55.0,281.5,0.72569558101473,0.09110696517412935,1608.0,767.3571428571429,2026-07-06 18:00:00-04:00,0.19091501442799963,2.0955040491482824,False,6,391
NQ,daily,bull,1,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,17.5,1,1.0,17.5,5.0,2.5,1.25,,0.7419106317411402,0.026964560862865947,649.0,755.1428571428571,2026-07-07 18:00:00-04:00,0.023174423004161938,0.8594400302686341,False,6,392
NQ,daily,bear,1,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,-17.5,0,0.0,0.0,5.0,2.5,1.25,,0.2580893682588598,0.026964560862865947,649.0,755.1428571428571,2026-07-07 18:00:00-04:00,0.023174423004161938,0.8594400302686341,False,6,392
NQ,daily,bull,2,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,-568.75,1,0.5,17.5,42.5,31.25,39.375,348.75,0.7419106317411402,0.40258361351973104,1412.75,755.1428571428571,2026-07-07 18:00:00-04:00,0.753168747635263,1.870838062807416,False,6,392
NQ,daily,bear,2,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,568.75,1,0.5,540.5,42.5,31.25,39.375,348.75,0.2580893682588598,0.40258361351973104,1412.75,755.1428571428571,2026-07-07 18:00:00-04:00,0.753168747635263,1.870838062807416,False,6,392
NQ,daily,bull,3,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,-539.0,2,0.6666666666666666,17.5,5.0,2.5,1.25,319.75,0.7419106317411402,0.29554489376285126,1823.75,755.1428571428571,2026-07-07 18:00:00-04:00,0.7137722285281877,2.4151059402194477,False,6,392
