id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,fvg_width,atr_at_C,atr_availability_et,fvg_width_atr,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,segment_id,C_index
FVG-1h-bear-20260706T1900,NQ,bear,1h,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 18:00:00-04:00,2026-07-06 19:00:00-04:00,29972.75,29931.25,29928.75,29839.25,29960.0,29894.75,29928.75,29931.25,29930.0,2.5,108.23214285714286,2026-07-06 19:00:00-04:00,0.023098498597591156,2026-07-06 20:00:00-04:00,2026-07-09 10:00:00-04:00,,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,6,8890
FVG-1h-bear-20260706T2100,NQ,bear,1h,phase1-v1.0.0,2026-07-06 19:00:00-04:00,2026-07-06 20:00:00-04:00,2026-07-06 21:00:00-04:00,29928.75,29839.25,29835.75,29716.5,29851.0,29816.75,29835.75,29839.25,29837.5,3.5,110.41071428571429,2026-07-06 21:00:00-04:00,0.03169982209283519,2026-07-06 22:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 10:00:00-04:00,6,8892
FVG-1h-bear-20260707T0000,NQ,bear,1h,phase1-v1.0.0,2026-07-06 22:00:00-04:00,2026-07-06 23:00:00-04:00,2026-07-07 00:00:00-04:00,29819.25,29738.75,29680.0,29607.5,29748.0,29668.25,29680.0,29738.75,29709.375,58.75,122.42857142857143,2026-07-07 00:00:00-04:00,0.4798716452742124,2026-07-07 01:00:00-04:00,2026-07-07 02:00:00-04:00,2026-07-07 02:00:00-04:00,2026-07-07 04:00:00-04:00,2026-07-07 04:00:00-04:00,2026-07-07 04:00:00-04:00,6,8895
FVG-1h-bear-20260707T1000,NQ,bear,1h,phase1-v1.0.0,2026-07-07 08:00:00-04:00,2026-07-07 09:00:00-04:00,2026-07-07 10:00:00-04:00,29716.0,29622.0,29505.75,29210.0,29642.25,29469.0,29505.75,29622.0,29563.875,116.25,106.0,2026-07-07 10:00:00-04:00,1.096698113207547,2026-07-07 11:00:00-04:00,2026-07-07 13:00:00-04:00,2026-07-07 13:00:00-04:00,2026-07-07 14:00:00-04:00,2026-07-09 03:00:00-04:00,2026-07-09 03:00:00-04:00,6,8905
FVG-1h-bear-20260707T1100,NQ,bear,1h,phase1-v1.0.0,2026-07-07 09:00:00-04:00,2026-07-07 10:00:00-04:00,2026-07-07 11:00:00-04:00,29685.75,29420.25,29389.25,29248.25,29468.75,29302.5,29389.25,29420.25,29404.75,31.0,119.55357142857143,2026-07-07 11:00:00-04:00,0.25929798356982825,2026-07-07 12:00:00-04:00,2026-07-07 13:00:00-04:00,2026-07-07 13:00:00-04:00,2026-07-07 13:00:00-04:00,2026-07-07 13:00:00-04:00,2026-07-07 13:00:00-04:00,6,8906
FVG-1h-bull-20260707T1300,NQ,bull,1h,phase1-v1.0.0,2026-07-07 11:00:00-04:00,2026-07-07 12:00:00-04:00,2026-07-07 13:00:00-04:00,29389.25,29248.25,29580.75,29510.0,29388.0,29540.0,29389.25,29510.0,29449.625,120.75,128.30357142857142,2026-07-07 13:00:00-04:00,0.9411273486430064,2026-07-07 14:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,6,8908
FVG-1h-bear-20260707T1500,NQ,bear,1h,phase1-v1.0.0,2026-07-07 13:00:00-04:00,2026-07-07 14:00:00-04:00,2026-07-07 15:00:00-04:00,29580.75,29510.0,29410.0,29271.0,29567.5,29391.0,29410.0,29510.0,29460.0,100.0,130.5,2026-07-07 15:00:00-04:00,0.7662835249042146,2026-07-07 16:00:00-04:00,2026-07-07 17:00:00-04:00,2026-07-07 17:00:00-04:00,2026-07-07 21:00:00-04:00,2026-07-07 21:00:00-04:00,2026-07-07 21:00:00-04:00,6,8910
FVG-1h-bull-20260707T2100,NQ,bull,1h,phase1-v1.0.0,2026-07-07 19:00:00-04:00,2026-07-07 20:00:00-04:00,2026-07-07 21:00:00-04:00,29407.0,29292.5,29558.75,29427.0,29300.0,29543.5,29407.0,29427.0,29417.0,20.0,146.85714285714286,2026-07-07 21:00:00-04:00,0.13618677042801555,2026-07-07 22:00:00-04:00,2026-07-07 23:00:00-04:00,,2026-07-07 23:00:00-04:00,2026-07-07 23:00:00-04:00,2026-07-07 23:00:00-04:00,6,8915
FVG-1h-bear-20260708T0100,NQ,bear,1h,phase1-v1.0.0,2026-07-07 23:00:00-04:00,2026-07-08 00:00:00-04:00,2026-07-08 01:00:00-04:00,29532.25,29461.25,29447.25,29311.75,29470.0,29415.0,29447.25,29461.25,29454.25,14.0,139.16071428571428,2026-07-08 01:00:00-04:00,0.100603105350956,2026-07-08 02:00:00-04:00,2026-07-08 14:00:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 14:00:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,6,8919
FVG-1h-bear-20260708T0200,NQ,bear,1h,phase1-v1.0.0,2026-07-08 00:00:00-04:00,2026-07-08 01:00:00-04:00,2026-07-08 02:00:00-04:00,29473.5,29376.75,29363.5,29282.25,29417.0,29347.5,29363.5,29376.75,29370.125,13.25,127.71428571428571,2026-07-08 02:00:00-04:00,0.10374720357941834,2026-07-08 03:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,6,8920
FVG-1h-bear-20260708T0500,NQ,bear,1h,phase1-v1.0.0,2026-07-08 03:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 05:00:00-04:00,29409.5,29281.0,29034.0,28909.75,29383.0,29009.5,29034.0,29281.0,29157.5,247.0,147.30357142857142,2026-07-08 05:00:00-04:00,1.6768093102194206,2026-07-08 06:00:00-04:00,2026-07-08 07:00:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 09:00:00-04:00,2026-07-08 10:00:00-04:00,2026-07-08 10:00:00-04:00,6,8923
FVG-1h-bull-20260708T0900,NQ,bull,1h,phase1-v1.0.0,2026-07-08 07:00:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 09:00:00-04:00,29124.75,28973.0,29399.0,29148.0,29088.0,29155.0,29124.75,29148.0,29136.375,23.25,156.16071428571428,2026-07-08 09:00:00-04:00,0.14888507718696398,2026-07-08 10:00:00-04:00,2026-07-08 12:00:00-04:00,2026-07-08 12:00:00-04:00,2026-07-08 12:00:00-04:00,2026-07-08 12:00:00-04:00,2026-07-08 12:00:00-04:00,6,8927
