id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,C_index
FVG-30m-bull-20260706T0300,NQ,bull,30m,phase1-v1.0.0,2026-07-06 02:00:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 03:00:00-04:00,29807.5,29754.75,29863.75,29817.75,29789.0,29847.25,29807.5,29817.75,29812.625,2026-07-06 03:30:00-04:00,2026-07-06 04:00:00-04:00,,2026-07-06 04:30:00-04:00,2026-07-06 04:30:00-04:00,2026-07-06 04:30:00-04:00,16840
FVG-30m-bear-20260706T1330,NQ,bear,30m,phase1-v1.0.0,2026-07-06 12:30:00-04:00,2026-07-06 13:00:00-04:00,2026-07-06 13:30:00-04:00,30044.25,29981.0,29960.5,29882.25,29989.0,29954.75,29960.5,29981.0,29970.75,2026-07-06 14:00:00-04:00,2026-07-06 14:30:00-04:00,2026-07-06 14:30:00-04:00,2026-07-06 14:30:00-04:00,2026-07-06 14:30:00-04:00,2026-07-06 14:30:00-04:00,16861
FVG-30m-bear-20260706T1600,NQ,bear,30m,phase1-v1.0.0,2026-07-06 15:00:00-04:00,2026-07-06 15:30:00-04:00,2026-07-06 16:00:00-04:00,30052.0,29980.75,29972.75,29933.0,30035.75,29951.75,29972.75,29980.75,29976.75,2026-07-06 16:30:00-04:00,2026-07-06 18:30:00-04:00,2026-07-09 13:30:00-04:00,2026-07-09 13:30:00-04:00,2026-07-09 13:30:00-04:00,2026-07-09 13:30:00-04:00,16866
FVG-30m-bear-20260706T1900,NQ,bear,30m,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-06 18:30:00-04:00,2026-07-06 19:00:00-04:00,29973.75,29940.25,29928.75,29872.75,29951.25,29894.75,29928.75,29940.25,29934.5,2026-07-06 19:30:00-04:00,2026-07-09 10:00:00-04:00,2026-07-09 13:30:00-04:00,2026-07-09 13:30:00-04:00,2026-07-09 13:30:00-04:00,2026-07-09 13:30:00-04:00,16870
FVG-30m-bear-20260706T2330,NQ,bear,30m,phase1-v1.0.0,2026-07-06 22:30:00-04:00,2026-07-06 23:00:00-04:00,2026-07-06 23:30:00-04:00,29780.25,29738.75,29709.0,29628.25,29748.0,29684.25,29709.0,29738.75,29723.875,2026-07-07 00:00:00-04:00,2026-07-07 03:30:00-04:00,2026-07-07 03:30:00-04:00,2026-07-07 03:30:00-04:00,2026-07-07 03:30:00-04:00,2026-07-07 03:30:00-04:00,16879
FVG-30m-bull-20260707T0200,NQ,bull,30m,phase1-v1.0.0,2026-07-07 01:00:00-04:00,2026-07-07 01:30:00-04:00,2026-07-07 02:00:00-04:00,29627.0,29558.5,29701.25,29631.25,29591.75,29689.75,29627.0,29631.25,29629.125,2026-07-07 02:30:00-04:00,2026-07-07 06:00:00-04:00,,2026-07-07 06:00:00-04:00,2026-07-07 06:00:00-04:00,2026-07-07 06:00:00-04:00,16884
FVG-30m-bear-20260707T1000,NQ,bear,30m,phase1-v1.0.0,2026-07-07 09:00:00-04:00,2026-07-07 09:30:00-04:00,2026-07-07 10:00:00-04:00,29655.75,29580.0,29505.75,29259.75,29593.0,29469.0,29505.75,29580.0,29542.875,2026-07-07 10:30:00-04:00,2026-07-07 12:30:00-04:00,2026-07-07 12:30:00-04:00,2026-07-07 12:30:00-04:00,2026-07-07 13:30:00-04:00,2026-07-07 13:30:00-04:00,16900
FVG-30m-bear-20260707T1030,NQ,bear,30m,phase1-v1.0.0,2026-07-07 09:30:00-04:00,2026-07-07 10:00:00-04:00,2026-07-07 10:30:00-04:00,29685.75,29420.25,29327.75,29210.0,29468.75,29303.25,29327.75,29420.25,29374.0,2026-07-07 11:00:00-04:00,2026-07-07 11:30:00-04:00,2026-07-07 12:00:00-04:00,2026-07-07 12:00:00-04:00,2026-07-07 12:30:00-04:00,2026-07-07 12:30:00-04:00,16901
FVG-30m-bull-20260707T1200,NQ,bull,30m,phase1-v1.0.0,2026-07-07 11:00:00-04:00,2026-07-07 11:30:00-04:00,2026-07-07 12:00:00-04:00,29358.0,29271.25,29548.0,29377.0,29315.0,29386.75,29358.0,29377.0,29367.5,2026-07-07 12:30:00-04:00,2026-07-07 15:30:00-04:00,2026-07-07 15:30:00-04:00,2026-07-07 15:30:00-04:00,2026-07-07 15:30:00-04:00,2026-07-07 15:30:00-04:00,16904
FVG-30m-bull-20260707T1230,NQ,bull,30m,phase1-v1.0.0,2026-07-07 11:30:00-04:00,2026-07-07 12:00:00-04:00,2026-07-07 12:30:00-04:00,29389.25,29248.25,29558.25,29486.25,29388.0,29532.0,29389.25,29486.25,29437.75,2026-07-07 13:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,2026-07-07 15:00:00-04:00,16905
FVG-30m-bear-20260707T1500,NQ,bear,30m,phase1-v1.0.0,2026-07-07 14:00:00-04:00,2026-07-07 14:30:00-04:00,2026-07-07 15:00:00-04:00,29574.25,29509.75,29410.0,29271.0,29517.5,29391.0,29410.0,29509.75,29459.875,2026-07-07 15:30:00-04:00,2026-07-07 16:30:00-04:00,2026-07-07 16:30:00-04:00,2026-07-07 20:30:00-04:00,2026-07-07 21:00:00-04:00,2026-07-07 21:00:00-04:00,16910
FVG-30m-bull-20260707T1630,NQ,bull,30m,phase1-v1.0.0,2026-07-07 15:30:00-04:00,2026-07-07 16:00:00-04:00,2026-07-07 16:30:00-04:00,29400.0,29303.75,29424.75,29412.5,29395.0,29415.75,29400.0,29412.5,29406.25,2026-07-07 17:00:00-04:00,,,,2026-07-07 18:30:00-04:00,2026-07-07 18:30:00-04:00,16913
FVG-30m-bull-20260707T2030,NQ,bull,30m,phase1-v1.0.0,2026-07-07 19:30:00-04:00,2026-07-07 20:00:00-04:00,2026-07-07 20:30:00-04:00,29407.0,29292.5,29547.0,29407.25,29300.0,29454.5,29407.0,29407.25,29407.125,2026-07-07 21:00:00-04:00,2026-07-07 22:30:00-04:00,,2026-07-07 22:30:00-04:00,2026-07-07 22:30:00-04:00,2026-07-07 22:30:00-04:00,16919
FVG-30m-bull-20260707T2100,NQ,bull,30m,phase1-v1.0.0,2026-07-07 20:00:00-04:00,2026-07-07 20:30:00-04:00,2026-07-07 21:00:00-04:00,29477.5,29266.0,29558.75,29481.5,29452.75,29543.5,29477.5,29481.5,29479.5,2026-07-07 21:30:00-04:00,2026-07-07 22:00:00-04:00,2026-07-07 22:00:00-04:00,2026-07-07 22:00:00-04:00,2026-07-07 22:00:00-04:00,2026-07-07 22:00:00-04:00,16920
FVG-30m-bear-20260707T2200,NQ,bear,30m,phase1-v1.0.0,2026-07-07 21:00:00-04:00,2026-07-07 21:30:00-04:00,2026-07-07 22:00:00-04:00,29558.75,29481.5,29458.75,29388.0,29489.0,29438.0,29458.75,29481.5,29470.125,2026-07-07 22:30:00-04:00,2026-07-07 23:00:00-04:00,2026-07-07 23:00:00-04:00,2026-07-07 23:00:00-04:00,2026-07-07 23:30:00-04:00,2026-07-07 23:30:00-04:00,16922
FVG-30m-bull-20260707T2300,NQ,bull,30m,phase1-v1.0.0,2026-07-07 22:00:00-04:00,2026-07-07 22:30:00-04:00,2026-07-07 23:00:00-04:00,29458.75,29388.0,29519.75,29461.25,29422.25,29461.25,29458.75,29461.25,29460.0,2026-07-07 23:30:00-04:00,2026-07-08 00:30:00-04:00,2026-07-08 00:30:00-04:00,2026-07-08 00:30:00-04:00,2026-07-08 00:30:00-04:00,2026-07-08 00:30:00-04:00,16924
FVG-30m-bear-20260708T0030,NQ,bear,30m,phase1-v1.0.0,2026-07-07 23:30:00-04:00,2026-07-08 00:00:00-04:00,2026-07-08 00:30:00-04:00,29532.25,29465.0,29446.0,29376.75,29470.0,29442.5,29446.0,29465.0,29455.5,2026-07-08 01:00:00-04:00,2026-07-08 01:30:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 14:00:00-04:00,2026-07-08 16:00:00-04:00,2026-07-08 16:00:00-04:00,16927
FVG-30m-bear-20260708T0200,NQ,bear,30m,phase1-v1.0.0,2026-07-08 01:00:00-04:00,2026-07-08 01:30:00-04:00,2026-07-08 02:00:00-04:00,29447.25,29378.75,29363.5,29320.25,29384.0,29347.5,29363.5,29378.75,29371.125,2026-07-08 02:30:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:00:00-04:00,16930
FVG-30m-bear-20260708T0430,NQ,bear,30m,phase1-v1.0.0,2026-07-08 03:30:00-04:00,2026-07-08 04:00:00-04:00,2026-07-08 04:30:00-04:00,29409.5,29346.25,29103.5,28957.25,29383.0,29079.75,29103.5,29346.25,29224.875,2026-07-08 05:00:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 08:30:00-04:00,2026-07-08 09:00:00-04:00,2026-07-08 10:00:00-04:00,2026-07-08 10:00:00-04:00,16935
FVG-30m-bear-20260708T0500,NQ,bear,30m,phase1-v1.0.0,2026-07-08 04:00:00-04:00,2026-07-08 04:30:00-04:00,2026-07-08 05:00:00-04:00,29414.75,29063.5,29034.0,28909.75,29080.0,29009.5,29034.0,29063.5,29048.75,2026-07-08 05:30:00-04:00,2026-07-08 07:00:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 07:00:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 08:00:00-04:00,16936
FVG-30m-bull-20260708T0800,NQ,bull,30m,phase1-v1.0.0,2026-07-08 07:00:00-04:00,2026-07-08 07:30:00-04:00,2026-07-08 08:00:00-04:00,29028.5,28975.5,29184.25,29054.25,28984.75,29089.25,29028.5,29054.25,29041.375,2026-07-08 08:30:00-04:00,2026-07-08 11:30:00-04:00,,2026-07-08 11:30:00-04:00,,,16942
FVG-30m-bull-20260708T0830,NQ,bull,30m,phase1-v1.0.0,2026-07-08 07:30:00-04:00,2026-07-08 08:00:00-04:00,2026-07-08 08:30:00-04:00,29124.75,28973.0,29239.5,29145.75,29088.0,29177.25,29124.75,29145.75,29135.25,2026-07-08 09:00:00-04:00,2026-07-08 11:30:00-04:00,2026-07-08 11:30:00-04:00,2026-07-08 11:30:00-04:00,2026-07-08 11:30:00-04:00,2026-07-08 11:30:00-04:00,16943
FVG-30m-bull-20260708T1000,NQ,bull,30m,phase1-v1.0.0,2026-07-08 09:00:00-04:00,2026-07-08 09:30:00-04:00,2026-07-08 10:00:00-04:00,29230.0,29148.0,29389.25,29235.25,29202.75,29367.5,29230.0,29235.25,29232.625,2026-07-08 10:30:00-04:00,2026-07-08 11:00:00-04:00,2026-07-08 11:00:00-04:00,2026-07-08 11:00:00-04:00,2026-07-08 11:00:00-04:00,2026-07-08 11:00:00-04:00,16946
FVG-30m-bear-20260708T1100,NQ,bear,30m,phase1-v1.0.0,2026-07-08 10:00:00-04:00,2026-07-08 10:30:00-04:00,2026-07-08 11:00:00-04:00,29389.25,29235.25,29224.25,29034.5,29292.75,29212.0,29224.25,29235.25,29229.75,2026-07-08 11:30:00-04:00,2026-07-08 12:30:00-04:00,2026-07-08 12:30:00-04:00,2026-07-08 12:30:00-04:00,2026-07-08 12:30:00-04:00,2026-07-08 12:30:00-04:00,16948
FVG-30m-bull-20260708T1230,NQ,bull,30m,phase1-v1.0.0,2026-07-08 11:30:00-04:00,2026-07-08 12:00:00-04:00,2026-07-08 12:30:00-04:00,29153.0,29034.0,29377.0,29245.5,29097.25,29277.0,29153.0,29245.5,29199.25,2026-07-08 13:00:00-04:00,,,,,,16951
FVG-30m-bull-20260708T1300,NQ,bull,30m,phase1-v1.0.0,2026-07-08 12:00:00-04:00,2026-07-08 12:30:00-04:00,2026-07-08 13:00:00-04:00,29303.25,29092.75,29445.25,29334.75,29275.5,29373.25,29303.25,29334.75,29319.0,2026-07-08 13:30:00-04:00,2026-07-08 14:00:00-04:00,,,,,16952
FVG-30m-bull-20260708T2000,NQ,bull,30m,phase1-v1.0.0,2026-07-08 19:00:00-04:00,2026-07-08 19:30:00-04:00,2026-07-08 20:00:00-04:00,29457.5,29395.0,29567.75,29491.0,29421.0,29491.25,29457.5,29491.0,29474.25,2026-07-08 20:30:00-04:00,2026-07-08 21:00:00-04:00,2026-07-08 22:00:00-04:00,2026-07-08 21:30:00-04:00,2026-07-08 22:00:00-04:00,2026-07-08 22:00:00-04:00,16964
FVG-30m-bull-20260709T0330,NQ,bull,30m,phase1-v1.0.0,2026-07-09 02:30:00-04:00,2026-07-09 03:00:00-04:00,2026-07-09 03:30:00-04:00,29637.0,29597.75,29706.75,29640.5,29613.25,29651.75,29637.0,29640.5,29638.75,2026-07-09 04:00:00-04:00,2026-07-09 05:30:00-04:00,,2026-07-09 05:30:00-04:00,2026-07-09 05:30:00-04:00,2026-07-09 05:30:00-04:00,16979
FVG-30m-bull-20260709T0800,NQ,bull,30m,phase1-v1.0.0,2026-07-09 07:00:00-04:00,2026-07-09 07:30:00-04:00,2026-07-09 08:00:00-04:00,29643.75,29579.0,29755.0,29681.0,29641.0,29696.0,29643.75,29681.0,29662.375,2026-07-09 08:30:00-04:00,2026-07-09 10:00:00-04:00,,2026-07-09 10:30:00-04:00,2026-07-09 10:30:00-04:00,2026-07-09 10:30:00-04:00,16988
FVG-30m-bull-20260709T1130,NQ,bull,30m,phase1-v1.0.0,2026-07-09 10:30:00-04:00,2026-07-09 11:00:00-04:00,2026-07-09 11:30:00-04:00,29821.25,29694.25,29905.25,29856.25,29788.25,29873.5,29821.25,29856.25,29838.75,2026-07-09 12:00:00-04:00,2026-07-09 20:30:00-04:00,2026-07-09 20:30:00-04:00,2026-07-09 20:30:00-04:00,2026-07-09 20:30:00-04:00,2026-07-09 20:30:00-04:00,16995
FVG-30m-bull-20260709T1330,NQ,bull,30m,phase1-v1.0.0,2026-07-09 12:30:00-04:00,2026-07-09 13:00:00-04:00,2026-07-09 13:30:00-04:00,29916.5,29864.0,29993.5,29950.75,29897.0,29988.0,29916.5,29950.75,29933.625,2026-07-09 14:00:00-04:00,2026-07-09 14:30:00-04:00,2026-07-09 15:00:00-04:00,2026-07-09 15:00:00-04:00,2026-07-09 15:30:00-04:00,2026-07-09 15:30:00-04:00,16999
FVG-30m-bear-20260709T2030,NQ,bear,30m,phase1-v1.0.0,2026-07-09 19:30:00-04:00,2026-07-09 20:00:00-04:00,2026-07-09 20:30:00-04:00,29959.0,29926.0,29870.0,29804.25,29933.25,29837.0,29870.0,29926.0,29898.0,2026-07-09 21:00:00-04:00,2026-07-09 21:30:00-04:00,2026-07-09 22:00:00-04:00,2026-07-09 22:00:00-04:00,2026-07-09 23:00:00-04:00,2026-07-09 23:00:00-04:00,17011
FVG-30m-bull-20260709T2300,NQ,bull,30m,phase1-v1.0.0,2026-07-09 22:00:00-04:00,2026-07-09 22:30:00-04:00,2026-07-09 23:00:00-04:00,29901.25,29854.25,29963.5,29922.0,29883.25,29952.0,29901.25,29922.0,29911.625,2026-07-09 23:30:00-04:00,2026-07-10 00:00:00-04:00,2026-07-10 01:00:00-04:00,2026-07-10 01:00:00-04:00,2026-07-10 01:00:00-04:00,2026-07-10 01:00:00-04:00,17016
FVG-30m-bear-20260710T0100,NQ,bear,30m,phase1-v1.0.0,2026-07-10 00:00:00-04:00,2026-07-10 00:30:00-04:00,2026-07-10 01:00:00-04:00,29948.75,29917.25,29897.0,29865.75,29928.0,29881.75,29897.0,29917.25,29907.125,2026-07-10 01:30:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,2026-07-10 10:00:00-04:00,17020
FVG-30m-bear-20260710T0200,NQ,bear,30m,phase1-v1.0.0,2026-07-10 01:00:00-04:00,2026-07-10 01:30:00-04:00,2026-07-10 02:00:00-04:00,29897.0,29865.75,29856.75,29775.25,29877.25,29845.5,29856.75,29865.75,29861.25,2026-07-10 02:30:00-04:00,2026-07-10 07:00:00-04:00,,2026-07-10 07:00:00-04:00,2026-07-10 07:30:00-04:00,2026-07-10 07:30:00-04:00,17022
FVG-30m-bear-20260710T0230,NQ,bear,30m,phase1-v1.0.0,2026-07-10 01:30:00-04:00,2026-07-10 02:00:00-04:00,2026-07-10 02:30:00-04:00,29881.25,29840.0,29832.5,29785.5,29847.25,29789.5,29832.5,29840.0,29836.25,2026-07-10 03:00:00-04:00,2026-07-10 06:30:00-04:00,2026-07-10 06:30:00-04:00,2026-07-10 06:30:00-04:00,2026-07-10 06:30:00-04:00,2026-07-10 06:30:00-04:00,17023
FVG-30m-bull-20260710T0530,NQ,bull,30m,phase1-v1.0.0,2026-07-10 04:30:00-04:00,2026-07-10 05:00:00-04:00,2026-07-10 05:30:00-04:00,29799.0,29754.0,29827.75,29800.75,29776.75,29813.5,29799.0,29800.75,29799.875,2026-07-10 06:00:00-04:00,2026-07-10 08:30:00-04:00,,2026-07-10 08:30:00-04:00,2026-07-10 08:30:00-04:00,2026-07-10 08:30:00-04:00,17029
FVG-30m-bull-20260710T0630,NQ,bull,30m,phase1-v1.0.0,2026-07-10 05:30:00-04:00,2026-07-10 06:00:00-04:00,2026-07-10 06:30:00-04:00,29827.75,29800.75,29862.25,29834.75,29820.75,29839.5,29827.75,29834.75,29831.25,2026-07-10 07:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,17031
FVG-30m-bull-20260710T0700,NQ,bull,30m,phase1-v1.0.0,2026-07-10 06:00:00-04:00,2026-07-10 06:30:00-04:00,2026-07-10 07:00:00-04:00,29841.75,29805.5,29887.75,29849.0,29838.0,29850.75,29841.75,29849.0,29845.375,2026-07-10 07:30:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,2026-07-10 08:00:00-04:00,17032
FVG-30m-bull-20260710T1230,NQ,bull,30m,phase1-v1.0.0,2026-07-10 11:30:00-04:00,2026-07-10 12:00:00-04:00,2026-07-10 12:30:00-04:00,29991.5,29834.0,30043.25,30004.0,29944.25,30013.5,29991.5,30004.0,29997.75,2026-07-10 13:00:00-04:00,2026-07-10 13:30:00-04:00,,2026-07-10 13:30:00-04:00,2026-07-12 18:30:00-04:00,2026-07-12 18:30:00-04:00,17043
