id,instrument,direction,tf,param_version,A_open_et,B_open_et,C_open_et,A_high,A_low,C_high,C_low,B_open,B_close,lower_boundary,upper_boundary,midpoint,availability_et,first_wick_entry_et,first_body_overlap_et,midpoint_touch_et,full_fill_et,invalidation_et,segment_id,C_index
FVG-5m-bull-20260706T0015,NQ,bull,5m,phase1-v1.0.0,2026-07-06 00:05:00-04:00,2026-07-06 00:10:00-04:00,2026-07-06 00:15:00-04:00,29745.25,29716.75,29794.0,29769.0,29720.25,29774.75,29745.25,29769.0,29757.125,2026-07-06 00:20:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:35:00-04:00,2026-07-06 01:35:00-04:00,2026-07-06 21:30:00-04:00,2026-07-06 21:30:00-04:00,25,100992
FVG-5m-bear-20260706T0125,NQ,bear,5m,phase1-v1.0.0,2026-07-06 01:15:00-04:00,2026-07-06 01:20:00-04:00,2026-07-06 01:25:00-04:00,29818.5,29802.5,29794.75,29767.75,29812.5,29784.75,29794.75,29802.5,29798.625,2026-07-06 01:30:00-04:00,2026-07-06 01:45:00-04:00,2026-07-06 01:55:00-04:00,2026-07-06 01:45:00-04:00,2026-07-06 02:05:00-04:00,2026-07-06 02:05:00-04:00,25,101006
FVG-5m-bear-20260706T0130,NQ,bear,5m,phase1-v1.0.0,2026-07-06 01:20:00-04:00,2026-07-06 01:25:00-04:00,2026-07-06 01:30:00-04:00,29812.5,29781.75,29770.0,29752.5,29782.75,29769.5,29770.0,29781.75,29775.875,2026-07-06 01:35:00-04:00,2026-07-06 01:40:00-04:00,2026-07-06 01:40:00-04:00,2026-07-06 01:40:00-04:00,2026-07-06 01:40:00-04:00,2026-07-06 01:40:00-04:00,25,101007
FVG-5m-bull-20260706T0140,NQ,bull,5m,phase1-v1.0.0,2026-07-06 01:30:00-04:00,2026-07-06 01:35:00-04:00,2026-07-06 01:40:00-04:00,29770.0,29752.5,29799.0,29773.0,29755.25,29774.25,29770.0,29773.0,29771.5,2026-07-06 01:45:00-04:00,2026-07-06 01:50:00-04:00,2026-07-06 01:50:00-04:00,2026-07-06 01:50:00-04:00,2026-07-06 01:50:00-04:00,2026-07-06 01:50:00-04:00,25,101009
FVG-5m-bear-20260706T0210,NQ,bear,5m,phase1-v1.0.0,2026-07-06 02:00:00-04:00,2026-07-06 02:05:00-04:00,2026-07-06 02:10:00-04:00,29807.5,29786.5,29771.0,29754.75,29793.25,29769.0,29771.0,29786.5,29778.75,2026-07-06 02:15:00-04:00,2026-07-06 02:25:00-04:00,2026-07-06 02:25:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 02:30:00-04:00,25,101015
FVG-5m-bull-20260706T0225,NQ,bull,5m,phase1-v1.0.0,2026-07-06 02:15:00-04:00,2026-07-06 02:20:00-04:00,2026-07-06 02:25:00-04:00,29770.0,29756.75,29797.0,29772.25,29759.25,29773.5,29770.0,29772.25,29771.125,2026-07-06 02:30:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,2026-07-06 21:25:00-04:00,25,101018
FVG-5m-bull-20260706T0230,NQ,bull,5m,phase1-v1.0.0,2026-07-06 02:20:00-04:00,2026-07-06 02:25:00-04:00,2026-07-06 02:30:00-04:00,29778.5,29755.25,29818.0,29784.5,29775.75,29790.5,29778.5,29784.5,29781.5,2026-07-06 02:35:00-04:00,2026-07-06 04:20:00-04:00,,2026-07-06 04:20:00-04:00,2026-07-06 09:35:00-04:00,2026-07-06 09:35:00-04:00,25,101019
FVG-5m-bull-20260706T0235,NQ,bull,5m,phase1-v1.0.0,2026-07-06 02:25:00-04:00,2026-07-06 02:30:00-04:00,2026-07-06 02:35:00-04:00,29797.0,29772.25,29845.0,29817.0,29789.0,29818.0,29797.0,29817.0,29807.0,2026-07-06 02:40:00-04:00,2026-07-06 03:35:00-04:00,2026-07-06 04:20:00-04:00,2026-07-06 04:15:00-04:00,2026-07-06 04:20:00-04:00,2026-07-06 04:20:00-04:00,25,101020
FVG-5m-bull-20260706T0240,NQ,bull,5m,phase1-v1.0.0,2026-07-06 02:30:00-04:00,2026-07-06 02:35:00-04:00,2026-07-06 02:40:00-04:00,29818.0,29784.5,29858.25,29840.25,29817.25,29840.75,29818.0,29840.25,29829.125,2026-07-06 02:45:00-04:00,2026-07-06 02:50:00-04:00,2026-07-06 03:25:00-04:00,2026-07-06 03:30:00-04:00,2026-07-06 03:30:00-04:00,2026-07-06 03:30:00-04:00,25,101021
FVG-5m-bear-20260706T0325,NQ,bear,5m,phase1-v1.0.0,2026-07-06 03:15:00-04:00,2026-07-06 03:20:00-04:00,2026-07-06 03:25:00-04:00,29863.75,29848.0,29839.75,29817.75,29860.25,29836.0,29839.75,29848.0,29843.875,2026-07-06 03:30:00-04:00,2026-07-06 03:35:00-04:00,2026-07-06 03:35:00-04:00,2026-07-06 03:35:00-04:00,2026-07-06 03:35:00-04:00,2026-07-06 03:35:00-04:00,25,101030
FVG-5m-bull-20260706T0345,NQ,bull,5m,phase1-v1.0.0,2026-07-06 03:35:00-04:00,2026-07-06 03:40:00-04:00,2026-07-06 03:45:00-04:00,29850.75,29833.75,29875.25,29866.25,29837.0,29872.75,29850.75,29866.25,29858.5,2026-07-06 03:50:00-04:00,2026-07-06 03:55:00-04:00,2026-07-06 03:55:00-04:00,2026-07-06 03:55:00-04:00,2026-07-06 04:05:00-04:00,2026-07-06 04:05:00-04:00,25,101034
FVG-5m-bear-20260706T0355,NQ,bear,5m,phase1-v1.0.0,2026-07-06 03:45:00-04:00,2026-07-06 03:50:00-04:00,2026-07-06 03:55:00-04:00,29875.25,29866.25,29863.25,29851.25,29871.0,29858.25,29863.25,29866.25,29864.75,2026-07-06 04:00:00-04:00,2026-07-06 04:05:00-04:00,,2026-07-06 04:05:00-04:00,2026-07-06 04:05:00-04:00,2026-07-06 04:05:00-04:00,25,101036
FVG-5m-bear-20260706T0415,NQ,bear,5m,phase1-v1.0.0,2026-07-06 04:05:00-04:00,2026-07-06 04:10:00-04:00,2026-07-06 04:15:00-04:00,29884.0,29861.75,29825.0,29780.0,29868.25,29821.75,29825.0,29861.75,29843.375,2026-07-06 04:20:00-04:00,2026-07-06 04:25:00-04:00,2026-07-06 04:30:00-04:00,2026-07-06 04:45:00-04:00,2026-07-06 05:00:00-04:00,2026-07-06 05:00:00-04:00,25,101040
FVG-5m-bull-20260706T0445,NQ,bull,5m,phase1-v1.0.0,2026-07-06 04:35:00-04:00,2026-07-06 04:40:00-04:00,2026-07-06 04:45:00-04:00,29827.75,29807.75,29850.5,29838.5,29827.75,29843.25,29827.75,29838.5,29833.125,2026-07-06 04:50:00-04:00,2026-07-06 05:50:00-04:00,2026-07-06 05:50:00-04:00,2026-07-06 05:50:00-04:00,2026-07-06 05:50:00-04:00,2026-07-06 05:50:00-04:00,25,101046
