ifvg_id,source_fvg_id,instrument,tf,param_version,original_direction,ifvg_direction,source_lower,source_upper,conversion_close,conversion_et,source_availability_et
FVG-30m-bull-20260706T0300-iFVG,FVG-30m-bull-20260706T0300,NQ,30m,phase1-v1.0.0,bull,bear,29807.5,29817.75,29740.0,2026-07-06 21:30:00-04:00,2026-07-06 03:30:00-04:00
FVG-30m-bear-20260706T1330-iFVG,FVG-30m-bear-20260706T1330,NQ,30m,phase1-v1.0.0,bear,bull,29960.5,29981.0,29990.0,2026-07-06 15:00:00-04:00,2026-07-06 14:00:00-04:00
FVG-30m-bear-20260706T1600-iFVG,FVG-30m-bear-20260706T1600,NQ,30m,phase1-v1.0.0,bear,bull,29972.75,29980.75,29988.0,2026-07-09 13:30:00-04:00,2026-07-06 16:30:00-04:00
FVG-30m-bear-20260706T1900-iFVG,FVG-30m-bear-20260706T1900,NQ,30m,phase1-v1.0.0,bear,bull,29928.75,29940.25,29988.0,2026-07-09 13:30:00-04:00,2026-07-06 19:30:00-04:00
FVG-30m-bear-20260706T2330-iFVG,FVG-30m-bear-20260706T2330,NQ,30m,phase1-v1.0.0,bear,bull,29709.0,29738.75,29749.25,2026-07-09 08:30:00-04:00,2026-07-07 00:00:00-04:00
FVG-30m-bull-20260707T0200-iFVG,FVG-30m-bull-20260707T0200,NQ,30m,phase1-v1.0.0,bull,bear,29627.0,29631.25,29592.25,2026-07-07 09:30:00-04:00,2026-07-07 02:30:00-04:00
FVG-30m-bear-20260707T1000-iFVG,FVG-30m-bear-20260707T1000,NQ,30m,phase1-v1.0.0,bear,bull,29505.75,29580.0,29607.75,2026-07-09 02:00:00-04:00,2026-07-07 10:30:00-04:00
FVG-30m-bear-20260707T1030-iFVG,FVG-30m-bear-20260707T1030,NQ,30m,phase1-v1.0.0,bear,bull,29327.75,29420.25,29532.0,2026-07-07 12:30:00-04:00,2026-07-07 11:00:00-04:00
FVG-30m-bull-20260707T1200-iFVG,FVG-30m-bull-20260707T1200,NQ,30m,phase1-v1.0.0,bull,bear,29358.0,29377.0,29321.25,2026-07-07 15:30:00-04:00,2026-07-07 12:30:00-04:00
FVG-30m-bull-20260707T1230-iFVG,FVG-30m-bull-20260707T1230,NQ,30m,phase1-v1.0.0,bull,bear,29389.25,29486.25,29321.25,2026-07-07 15:30:00-04:00,2026-07-07 13:00:00-04:00
FVG-30m-bear-20260707T1500-iFVG,FVG-30m-bear-20260707T1500,NQ,30m,phase1-v1.0.0,bear,bull,29410.0,29509.75,29543.5,2026-07-07 21:00:00-04:00,2026-07-07 15:30:00-04:00
FVG-30m-bull-20260707T1630-iFVG,FVG-30m-bull-20260707T1630,NQ,30m,phase1-v1.0.0,bull,bear,29400.0,29412.5,29372.75,2026-07-07 18:30:00-04:00,2026-07-07 17:00:00-04:00
FVG-30m-bull-20260707T2030-iFVG,FVG-30m-bull-20260707T2030,NQ,30m,phase1-v1.0.0,bull,bear,29407.0,29407.25,29384.5,2026-07-08 01:30:00-04:00,2026-07-07 21:00:00-04:00
FVG-30m-bull-20260707T2100-iFVG,FVG-30m-bull-20260707T2100,NQ,30m,phase1-v1.0.0,bull,bear,29477.5,29481.5,29438.0,2026-07-07 22:00:00-04:00,2026-07-07 21:30:00-04:00
FVG-30m-bear-20260707T2200-iFVG,FVG-30m-bear-20260707T2200,NQ,30m,phase1-v1.0.0,bear,bull,29458.75,29481.5,29517.5,2026-07-07 23:30:00-04:00,2026-07-07 22:30:00-04:00
FVG-30m-bull-20260707T2300-iFVG,FVG-30m-bull-20260707T2300,NQ,30m,phase1-v1.0.0,bull,bear,29458.75,29461.25,29442.5,2026-07-08 00:30:00-04:00,2026-07-07 23:30:00-04:00
FVG-30m-bear-20260708T0030-iFVG,FVG-30m-bear-20260708T0030,NQ,30m,phase1-v1.0.0,bear,bull,29446.0,29465.0,29491.25,2026-07-08 20:00:00-04:00,2026-07-08 01:00:00-04:00
FVG-30m-bear-20260708T0200-iFVG,FVG-30m-bear-20260708T0200,NQ,30m,phase1-v1.0.0,bear,bull,29363.5,29378.75,29381.0,2026-07-08 04:00:00-04:00,2026-07-08 02:30:00-04:00
FVG-30m-bear-20260708T0430-iFVG,FVG-30m-bear-20260708T0430,NQ,30m,phase1-v1.0.0,bear,bull,29103.5,29346.25,29367.5,2026-07-08 10:00:00-04:00,2026-07-08 05:00:00-04:00
FVG-30m-bear-20260708T0500-iFVG,FVG-30m-bear-20260708T0500,NQ,30m,phase1-v1.0.0,bear,bull,29034.0,29063.5,29089.25,2026-07-08 08:00:00-04:00,2026-07-08 05:30:00-04:00
FVG-30m-bull-20260708T0830-iFVG,FVG-30m-bull-20260708T0830,NQ,30m,phase1-v1.0.0,bull,bear,29124.75,29145.75,29057.75,2026-07-08 11:30:00-04:00,2026-07-08 09:00:00-04:00
FVG-30m-bull-20260708T1000-iFVG,FVG-30m-bull-20260708T1000,NQ,30m,phase1-v1.0.0,bull,bear,29230.0,29235.25,29212.0,2026-07-08 11:00:00-04:00,2026-07-08 10:30:00-04:00
FVG-30m-bear-20260708T1100-iFVG,FVG-30m-bear-20260708T1100,NQ,30m,phase1-v1.0.0,bear,bull,29224.25,29235.25,29277.0,2026-07-08 12:30:00-04:00,2026-07-08 11:30:00-04:00
FVG-30m-bull-20260708T2000-iFVG,FVG-30m-bull-20260708T2000,NQ,30m,phase1-v1.0.0,bull,bear,29457.5,29491.0,29449.0,2026-07-08 22:00:00-04:00,2026-07-08 20:30:00-04:00
FVG-30m-bull-20260709T0330-iFVG,FVG-30m-bull-20260709T0330,NQ,30m,phase1-v1.0.0,bull,bear,29637.0,29640.5,29600.25,2026-07-09 07:00:00-04:00,2026-07-09 04:00:00-04:00
FVG-30m-bull-20260709T1130-iFVG,FVG-30m-bull-20260709T1130,NQ,30m,phase1-v1.0.0,bull,bear,29821.25,29856.25,29789.5,2026-07-10 02:30:00-04:00,2026-07-09 12:00:00-04:00
FVG-30m-bull-20260709T1330-iFVG,FVG-30m-bull-20260709T1330,NQ,30m,phase1-v1.0.0,bull,bear,29916.5,29950.75,29907.75,2026-07-09 18:30:00-04:00,2026-07-09 14:00:00-04:00
FVG-30m-bear-20260709T2030-iFVG,FVG-30m-bear-20260709T2030,NQ,30m,phase1-v1.0.0,bear,bull,29870.0,29926.0,29952.0,2026-07-09 23:00:00-04:00,2026-07-09 21:00:00-04:00
FVG-30m-bull-20260709T2300-iFVG,FVG-30m-bull-20260709T2300,NQ,30m,phase1-v1.0.0,bull,bear,29901.25,29922.0,29881.75,2026-07-10 01:00:00-04:00,2026-07-09 23:30:00-04:00
FVG-30m-bear-20260710T0100-iFVG,FVG-30m-bear-20260710T0100,NQ,30m,phase1-v1.0.0,bear,bull,29897.0,29917.25,29923.0,2026-07-10 10:00:00-04:00,2026-07-10 01:30:00-04:00
FVG-30m-bear-20260710T0200-iFVG,FVG-30m-bear-20260710T0200,NQ,30m,phase1-v1.0.0,bear,bull,29856.75,29865.75,29923.0,2026-07-10 10:00:00-04:00,2026-07-10 02:30:00-04:00
FVG-30m-bear-20260710T0230-iFVG,FVG-30m-bear-20260710T0230,NQ,30m,phase1-v1.0.0,bear,bull,29832.5,29840.0,29850.75,2026-07-10 07:00:00-04:00,2026-07-10 03:00:00-04:00
FVG-30m-bull-20260710T0630-iFVG,FVG-30m-bull-20260710T0630,NQ,30m,phase1-v1.0.0,bull,bear,29827.75,29834.75,29816.0,2026-07-10 08:00:00-04:00,2026-07-10 07:00:00-04:00
FVG-30m-bull-20260710T0700-iFVG,FVG-30m-bull-20260710T0700,NQ,30m,phase1-v1.0.0,bull,bear,29841.75,29849.0,29816.0,2026-07-10 08:00:00-04:00,2026-07-10 07:30:00-04:00
