instrument,source,side,tf,param_version,extreme,availability_et,first_exact_touch_et,first_wick_passage_et,sweep_et,unswept_through_end,session_globex_day
NQ,prev_rth_high,high,rth_session,phase1-v1.0.0,30094.0,2026-07-06 16:01:00-04:00,,,,True,2026-07-06
NQ,prev_rth_low,low,rth_session,phase1-v1.0.0,29776.25,2026-07-06 16:01:00-04:00,,2026-07-06 21:22:00-04:00,2026-07-06 21:22:00-04:00,False,2026-07-06
NQ,overnight_high,high,overnight_session,phase1-v1.0.0,30004.75,2026-07-06 09:30:00-04:00,,2026-07-06 09:52:00-04:00,2026-07-06 09:52:00-04:00,False,2026-07-06
NQ,overnight_low,low,overnight_session,phase1-v1.0.0,29683.0,2026-07-06 09:30:00-04:00,,2026-07-06 23:30:00-04:00,2026-07-06 23:30:00-04:00,False,2026-07-06
NQ,candle_0900_high,high,1m,phase1-v1.0.0,29938.0,2026-07-06 09:01:00-04:00,,2026-07-06 09:35:00-04:00,2026-07-06 09:35:00-04:00,False,2026-07-06
NQ,candle_0900_low,low,1m,phase1-v1.0.0,29922.0,2026-07-06 09:01:00-04:00,,2026-07-06 09:02:00-04:00,2026-07-06 09:02:00-04:00,False,2026-07-06
NQ,candle_0930_high,high,1m,phase1-v1.0.0,29877.0,2026-07-06 09:31:00-04:00,,2026-07-06 09:32:00-04:00,2026-07-06 09:32:00-04:00,False,2026-07-06
NQ,candle_0930_low,low,1m,phase1-v1.0.0,29776.25,2026-07-06 09:31:00-04:00,,2026-07-06 21:22:00-04:00,2026-07-06 21:22:00-04:00,False,2026-07-06
NQ,candle_1000_high,high,1m,phase1-v1.0.0,29959.5,2026-07-06 10:01:00-04:00,,2026-07-06 10:02:00-04:00,2026-07-06 10:02:00-04:00,False,2026-07-06
NQ,candle_1000_low,low,1m,phase1-v1.0.0,29903.25,2026-07-06 10:01:00-04:00,,2026-07-06 13:43:00-04:00,2026-07-06 13:43:00-04:00,False,2026-07-06
NQ,prev_rth_high,high,rth_session,phase1-v1.0.0,29685.75,2026-07-07 16:01:00-04:00,2026-07-09 03:46:00-04:00,2026-07-09 03:48:00-04:00,2026-07-09 03:48:00-04:00,False,2026-07-07
NQ,prev_rth_low,low,rth_session,phase1-v1.0.0,29210.0,2026-07-07 16:01:00-04:00,,2026-07-08 04:24:00-04:00,2026-07-08 04:24:00-04:00,False,2026-07-07
NQ,overnight_high,high,overnight_session,phase1-v1.0.0,29973.75,2026-07-07 09:30:00-04:00,,2026-07-09 13:19:00-04:00,2026-07-09 13:19:00-04:00,False,2026-07-07
NQ,overnight_low,low,overnight_session,phase1-v1.0.0,29558.5,2026-07-07 09:30:00-04:00,,2026-07-07 09:34:00-04:00,2026-07-07 09:34:00-04:00,False,2026-07-07
NQ,candle_0900_high,high,1m,phase1-v1.0.0,29645.0,2026-07-07 09:01:00-04:00,2026-07-07 09:02:00-04:00,2026-07-07 09:03:00-04:00,2026-07-07 09:03:00-04:00,False,2026-07-07
NQ,candle_0900_low,low,1m,phase1-v1.0.0,29634.5,2026-07-07 09:01:00-04:00,,2026-07-07 09:02:00-04:00,2026-07-07 09:02:00-04:00,False,2026-07-07
NQ,candle_0930_high,high,1m,phase1-v1.0.0,29685.75,2026-07-07 09:31:00-04:00,2026-07-09 03:46:00-04:00,2026-07-09 03:48:00-04:00,2026-07-09 03:48:00-04:00,False,2026-07-07
NQ,candle_0930_low,low,1m,phase1-v1.0.0,29569.25,2026-07-07 09:31:00-04:00,,2026-07-07 09:34:00-04:00,2026-07-07 09:34:00-04:00,False,2026-07-07
NQ,candle_1000_high,high,1m,phase1-v1.0.0,29499.5,2026-07-07 10:01:00-04:00,,2026-07-07 10:02:00-04:00,2026-07-07 10:02:00-04:00,False,2026-07-07
NQ,candle_1000_low,low,1m,phase1-v1.0.0,29445.75,2026-07-07 10:01:00-04:00,,2026-07-07 10:04:00-04:00,2026-07-07 10:04:00-04:00,False,2026-07-07
NQ,prev_rth_high,high,rth_session,phase1-v1.0.0,29500.0,2026-07-08 16:01:00-04:00,,2026-07-08 19:57:00-04:00,2026-07-08 19:57:00-04:00,False,2026-07-08
NQ,prev_rth_low,low,rth_session,phase1-v1.0.0,29034.0,2026-07-08 16:01:00-04:00,,,,True,2026-07-08
NQ,overnight_high,high,overnight_session,phase1-v1.0.0,29558.75,2026-07-08 09:30:00-04:00,,2026-07-08 20:12:00-04:00,2026-07-08 20:12:00-04:00,False,2026-07-08
