instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,15m,bear,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,29740.25,29748.5,29748.5,29740.25,8.25,37.0,10.0,55.25,0.825,0.1493212669683258,70.25,2026-07-05 23:45:00-04:00,0.1423487544483986,0.7864768683274022,0.11743772241992882,30.0,25.0,40.0,2026-07-06 00:15:00-04:00,2026-07-06 00:15:00-04:00,2026-07-06 00:15:00-04:00,,body_overlap,2026-07-06 00:15:00-04:00,False,False,6,True,35470
NQ,15m,bull,phase1-v1.0.0,2026-07-05 23:45:00-04:00,2026-07-06 00:00:00-04:00,29693.25,29730.25,29693.25,29730.25,37.0,8.25,10.0,55.25,3.7,0.669683257918552,70.25,2026-07-05 23:45:00-04:00,0.1423487544483986,0.7864768683274022,0.5266903914590747,80.0,80.0,87.5,2026-07-06 00:15:00-04:00,2026-07-06 23:30:00-04:00,2026-07-06 23:30:00-04:00,2026-07-06 00:15:00-04:00,body_overlap,2026-07-06 23:30:00-04:00,False,False,6,True,35470
NQ,15m,bear,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,29774.75,29778.0,29778.0,29774.75,3.25,27.25,44.5,75.0,0.07303370786516854,0.043333333333333335,65.26785714285714,2026-07-06 00:00:00-04:00,0.6818057455540356,1.1491108071135432,0.049794801641586874,20.0,15.0,17.5,2026-07-06 00:30:00-04:00,2026-07-06 00:30:00-04:00,2026-07-06 00:30:00-04:00,,body_overlap,2026-07-06 00:30:00-04:00,False,False,6,True,35471
NQ,15m,bull,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:15:00-04:00,29703.0,29730.25,29703.0,29730.25,27.25,3.25,44.5,75.0,0.6123595505617978,0.36333333333333334,65.26785714285714,2026-07-06 00:00:00-04:00,0.6818057455540356,1.1491108071135432,0.4175102599179207,80.0,75.0,85.0,2026-07-06 21:30:00-04:00,2026-07-06 23:30:00-04:00,2026-07-06 23:30:00-04:00,,body_overlap,2026-07-06 23:30:00-04:00,False,False,6,True,35471
NQ,15m,bear,phase1-v1.0.0,2026-07-06 00:15:00-04:00,2026-07-06 00:30:00-04:00,29794.75,29801.0,29801.0,29794.75,6.25,2.5,23.25,32.0,0.26881720430107525,0.1953125,63.517857142857146,2026-07-06 00:15:00-04:00,0.36603879673882483,0.5037953331459094,0.09839752600506044,30.0,25.0,33.75,2026-07-06 00:45:00-04:00,2026-07-06 00:45:00-04:00,2026-07-06 00:45:00-04:00,,body_overlap,2026-07-06 00:45:00-04:00,False,False,6,True,35472
NQ,15m,bull,phase1-v1.0.0,2026-07-06 00:15:00-04:00,2026-07-06 00:30:00-04:00,29769.0,29771.5,29769.0,29771.5,2.5,6.25,23.25,32.0,0.10752688172043011,0.078125,63.517857142857146,2026-07-06 00:15:00-04:00,0.36603879673882483,0.5037953331459094,0.03935901040202418,15.0,7.5,15.0,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,,body_overlap,2026-07-06 01:30:00-04:00,False,False,6,True,35472
NQ,15m,bear,phase1-v1.0.0,2026-07-06 00:30:00-04:00,2026-07-06 00:45:00-04:00,29828.5,29836.0,29836.0,29828.5,7.5,7.0,33.0,47.5,0.22727272727272727,0.15789473684210525,61.857142857142854,2026-07-06 00:30:00-04:00,0.5334872979214781,0.7678983833718245,0.1212471131639723,40.0,35.0,40.0,2026-07-06 01:00:00-04:00,,2026-07-06 01:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 01:00:00-04:00,False,False,6,True,35473
NQ,15m,bull,phase1-v1.0.0,2026-07-06 00:30:00-04:00,2026-07-06 00:45:00-04:00,29788.5,29795.5,29788.5,29795.5,7.0,7.5,33.0,47.5,0.21212121212121213,0.14736842105263157,61.857142857142854,2026-07-06 00:30:00-04:00,0.5334872979214781,0.7678983833718245,0.11316397228637413,50.0,40.0,45.0,2026-07-06 01:15:00-04:00,2026-07-06 01:30:00-04:00,2026-07-06 01:30:00-04:00,,body_overlap,2026-07-06 01:30:00-04:00,False,False,6,True,35473
NQ,15m,bear,phase1-v1.0.0,2026-07-06 00:45:00-04:00,2026-07-06 01:00:00-04:00,29828.25,29840.5,29840.5,29828.25,12.25,13.75,1.5,27.5,8.166666666666666,0.44545454545454544,60.625,2026-07-06 00:45:00-04:00,0.024742268041237112,0.4536082474226804,0.2020618556701031,70.0,55.0,55.0,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,,,body_overlap,2026-07-06 01:15:00-04:00,False,False,6,True,35474
NQ,15m,bull,phase1-v1.0.0,2026-07-06 00:45:00-04:00,2026-07-06 01:00:00-04:00,29813.0,29826.75,29813.0,29826.75,13.75,12.25,1.5,27.5,9.166666666666666,0.5,60.625,2026-07-06 00:45:00-04:00,0.024742268041237112,0.4536082474226804,0.2268041237113402,60.0,57.5,71.25,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,2026-07-06 01:15:00-04:00,,body_overlap,2026-07-06 01:15:00-04:00,False,False,6,True,35474
NQ,15m,bear,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 01:15:00-04:00,29829.5,29830.5,29830.5,29829.5,1.0,14.5,22.25,37.75,0.0449438202247191,0.026490066225165563,54.035714285714285,2026-07-06 01:00:00-04:00,0.4117647058823529,0.6986120290812955,0.018506278916060808,0.0,7.5,6.25,2026-07-06 02:45:00-04:00,2026-07-06 02:45:00-04:00,2026-07-06 02:45:00-04:00,,body_overlap,2026-07-06 02:45:00-04:00,False,False,6,True,35475
