instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,1h,bear,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,29730.25,29806.5,29806.5,29730.25,76.25,33.25,3.75,113.25,20.333333333333332,0.673289183222958,,,,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,2026-07-06 01:00:00-04:00,,body_overlap,2026-07-06 01:00:00-04:00,False,False,25,True,8419
NQ,1h,bull,phase1-v1.0.0,2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,29693.25,29726.5,29693.25,29726.5,33.25,76.25,3.75,113.25,8.866666666666667,0.293598233995585,,,,2026-07-06 01:00:00-04:00,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,,body_overlap,2026-07-07 00:00:00-04:00,False,False,25,True,8419
NQ,1h,bear,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,29828.25,29840.5,29840.5,29828.25,12.25,27.25,98.0,137.5,0.125,0.0890909090909091,,,,2026-07-06 02:00:00-04:00,2026-07-06 02:00:00-04:00,,,body_overlap,2026-07-06 02:00:00-04:00,False,False,25,True,8420
NQ,1h,bull,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,29703.0,29730.25,29703.0,29730.25,27.25,12.25,98.0,137.5,0.2780612244897959,0.19818181818181818,,,,2026-07-06 22:00:00-04:00,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,,body_overlap,2026-07-07 00:00:00-04:00,False,False,25,True,8420
NQ,1h,bear,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,29829.5,29830.5,29830.5,29829.5,1.0,38.0,39.0,78.0,0.02564102564102564,0.01282051282051282,,,,2026-07-06 03:00:00-04:00,2026-07-06 03:00:00-04:00,2026-07-06 03:00:00-04:00,,body_overlap,2026-07-06 03:00:00-04:00,False,False,25,True,8421
NQ,1h,bull,phase1-v1.0.0,2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,29752.5,29790.5,29752.5,29790.5,38.0,1.0,39.0,78.0,0.9743589743589743,0.48717948717948717,,,,2026-07-06 03:00:00-04:00,2026-07-06 22:00:00-04:00,2026-07-06 22:00:00-04:00,,body_overlap,2026-07-06 22:00:00-04:00,False,False,25,True,8421
NQ,1h,bear,phase1-v1.0.0,2026-07-06 02:00:00-04:00,2026-07-06 03:00:00-04:00,29847.25,29858.25,29858.25,29847.25,11.0,36.75,55.75,103.5,0.19730941704035873,0.10628019323671498,,,,2026-07-06 04:00:00-04:00,2026-07-06 04:00:00-04:00,2026-07-06 04:00:00-04:00,,body_overlap,2026-07-06 04:00:00-04:00,False,False,25,True,8422
NQ,1h,bull,phase1-v1.0.0,2026-07-06 02:00:00-04:00,2026-07-06 03:00:00-04:00,29754.75,29791.5,29754.75,29791.5,36.75,11.0,55.75,103.5,0.6591928251121076,0.35507246376811596,,,,2026-07-06 05:00:00-04:00,2026-07-06 22:00:00-04:00,2026-07-06 22:00:00-04:00,,body_overlap,2026-07-06 22:00:00-04:00,False,False,25,True,8422
NQ,1h,bear,phase1-v1.0.0,2026-07-06 03:00:00-04:00,2026-07-06 04:00:00-04:00,29852.5,29876.25,29876.25,29852.5,23.75,30.0,6.25,60.0,3.8,0.3958333333333333,,,,2026-07-06 05:00:00-04:00,2026-07-06 05:00:00-04:00,2026-07-06 05:00:00-04:00,,body_overlap,2026-07-06 05:00:00-04:00,False,False,25,True,8423
NQ,1h,bull,phase1-v1.0.0,2026-07-06 03:00:00-04:00,2026-07-06 04:00:00-04:00,29816.25,29846.25,29816.25,29846.25,30.0,23.75,6.25,60.0,4.8,0.5,,,,2026-07-06 05:00:00-04:00,,2026-07-06 05:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 05:00:00-04:00,False,False,25,True,8423
NQ,1h,bear,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 05:00:00-04:00,29867.0,29884.0,29884.0,29867.0,17.0,72.75,14.25,104.0,1.1929824561403508,0.16346153846153846,,,,2026-07-06 06:00:00-04:00,2026-07-06 06:00:00-04:00,2026-07-06 06:00:00-04:00,,body_overlap,2026-07-06 06:00:00-04:00,False,False,25,True,8424
NQ,1h,bull,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 05:00:00-04:00,29780.0,29852.75,29780.0,29852.75,72.75,17.0,14.25,104.0,5.105263157894737,0.6995192307692307,,,,2026-07-06 06:00:00-04:00,,2026-07-06 10:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 10:00:00-04:00,False,False,25,True,8424
NQ,1h,bear,phase1-v1.0.0,2026-07-06 05:00:00-04:00,2026-07-06 06:00:00-04:00,29877.0,29888.5,29888.5,29877.0,11.5,42.25,7.25,61.0,1.5862068965517242,0.1885245901639344,,,,2026-07-06 07:00:00-04:00,2026-07-06 07:00:00-04:00,2026-07-06 07:00:00-04:00,,body_overlap,2026-07-06 07:00:00-04:00,False,False,25,True,8425
NQ,1h,bull,phase1-v1.0.0,2026-07-06 05:00:00-04:00,2026-07-06 06:00:00-04:00,29827.5,29869.75,29827.5,29869.75,42.25,11.5,7.25,61.0,5.827586206896552,0.6926229508196722,,,,2026-07-06 07:00:00-04:00,,2026-07-06 10:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 10:00:00-04:00,False,False,25,True,8425
NQ,1h,bear,phase1-v1.0.0,2026-07-06 06:00:00-04:00,2026-07-06 07:00:00-04:00,29884.5,29891.5,29891.5,29884.5,7.0,30.75,6.5,44.25,1.0769230769230769,0.15819209039548024,20.0,,,2026-07-06 08:00:00-04:00,,2026-07-06 08:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 08:00:00-04:00,False,False,25,True,8426
NQ,1h,bull,phase1-v1.0.0,2026-07-06 06:00:00-04:00,2026-07-06 07:00:00-04:00,29847.25,29878.0,29847.25,29878.0,30.75,7.0,6.5,44.25,4.730769230769231,0.6949152542372882,20.0,,,2026-07-06 08:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 08:00:00-04:00,,body_overlap,2026-07-06 08:00:00-04:00,False,False,25,True,8426
NQ,1h,bear,phase1-v1.0.0,2026-07-06 07:00:00-04:00,2026-07-06 08:00:00-04:00,29884.25,29915.0,29915.0,29884.25,30.75,36.0,6.5,73.25,4.730769230769231,0.4197952218430034,90.0,,,2026-07-06 09:00:00-04:00,2026-07-06 09:00:00-04:00,2026-07-06 09:00:00-04:00,,body_overlap,2026-07-06 09:00:00-04:00,False,False,25,True,8427
NQ,1h,bull,phase1-v1.0.0,2026-07-06 07:00:00-04:00,2026-07-06 08:00:00-04:00,29841.75,29877.75,29841.75,29877.75,36.0,30.75,6.5,73.25,5.538461538461538,0.49146757679180886,40.0,,,2026-07-06 09:00:00-04:00,,2026-07-06 10:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 10:00:00-04:00,False,False,25,True,8427
NQ,1h,bear,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 09:00:00-04:00,29934.0,29936.0,29936.0,29934.0,2.0,13.5,55.0,70.5,0.03636363636363636,0.028368794326241134,10.0,,,2026-07-06 10:00:00-04:00,2026-07-06 10:00:00-04:00,2026-07-06 10:00:00-04:00,,body_overlap,2026-07-06 10:00:00-04:00,False,False,25,True,8428
NQ,1h,bull,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 09:00:00-04:00,29865.5,29879.0,29865.5,29879.0,13.5,2.0,55.0,70.5,0.24545454545454545,0.19148936170212766,0.0,,,2026-07-06 10:00:00-04:00,,2026-07-06 10:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 10:00:00-04:00,False,False,25,True,8428
NQ,1h,bear,phase1-v1.0.0,2026-07-06 09:00:00-04:00,2026-07-06 10:00:00-04:00,29934.75,30009.0,30009.0,29934.75,74.25,156.25,2.25,232.75,33.0,0.31901181525241673,90.0,,,2026-07-06 11:00:00-04:00,2026-07-06 11:00:00-04:00,2026-07-06 11:00:00-04:00,,body_overlap,2026-07-06 11:00:00-04:00,False,False,25,True,8429
NQ,1h,bull,phase1-v1.0.0,2026-07-06 09:00:00-04:00,2026-07-06 10:00:00-04:00,29776.25,29932.5,29776.25,29932.5,156.25,74.25,2.25,232.75,69.44444444444444,0.6713211600429646,100.0,,,2026-07-06 11:00:00-04:00,2026-07-06 14:00:00-04:00,,,body_overlap,2026-07-06 14:00:00-04:00,False,False,25,True,8429
NQ,1h,bear,phase1-v1.0.0,2026-07-06 10:00:00-04:00,2026-07-06 11:00:00-04:00,30025.25,30067.5,30067.5,30025.25,42.25,32.25,89.75,164.25,0.47075208913649025,0.2572298325722983,90.0,,,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,,body_overlap,2026-07-06 12:00:00-04:00,False,False,25,True,8430
NQ,1h,bull,phase1-v1.0.0,2026-07-06 10:00:00-04:00,2026-07-06 11:00:00-04:00,29903.25,29935.5,29903.25,29935.5,32.25,42.25,89.75,164.25,0.3593314763231198,0.1963470319634703,40.0,,,2026-07-06 14:00:00-04:00,2026-07-06 14:00:00-04:00,2026-07-06 14:00:00-04:00,,body_overlap,2026-07-06 14:00:00-04:00,False,False,25,True,8430
NQ,1h,bear,phase1-v1.0.0,2026-07-06 11:00:00-04:00,2026-07-06 12:00:00-04:00,30074.25,30083.75,30083.75,30074.25,9.5,84.5,48.5,142.5,0.1958762886597938,0.06666666666666667,30.0,,,2026-07-06 13:00:00-04:00,,2026-07-06 13:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 13:00:00-04:00,False,False,25,True,8431
NQ,1h,bull,phase1-v1.0.0,2026-07-06 11:00:00-04:00,2026-07-06 12:00:00-04:00,29941.25,30025.75,29941.25,30025.75,84.5,9.5,48.5,142.5,1.7422680412371134,0.5929824561403508,90.0,,,2026-07-06 13:00:00-04:00,2026-07-06 13:00:00-04:00,,,body_overlap,2026-07-06 13:00:00-04:00,False,False,25,True,8431
NQ,1h,bear,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 13:00:00-04:00,30074.0,30094.0,30094.0,30074.0,20.0,9.0,84.0,113.0,0.23809523809523808,0.17699115044247787,60.0,,,2026-07-10 16:00:00-04:00,,,,,,True,False,25,True,8432
NQ,1h,bull,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 13:00:00-04:00,29981.0,29990.0,29981.0,29990.0,9.0,20.0,84.0,113.0,0.10714285714285714,0.07964601769911504,0.0,,,2026-07-06 14:00:00-04:00,2026-07-06 14:00:00-04:00,2026-07-06 14:00:00-04:00,,body_overlap,2026-07-06 14:00:00-04:00,False,False,25,True,8432
NQ,1h,bear,phase1-v1.0.0,2026-07-06 13:00:00-04:00,2026-07-06 14:00:00-04:00,29989.0,30036.75,30036.75,29989.0,47.75,14.5,92.25,154.5,0.5176151761517616,0.30906148867313915,90.0,,,2026-07-06 15:00:00-04:00,2026-07-06 15:00:00-04:00,,,body_overlap,2026-07-06 15:00:00-04:00,False,False,25,True,8433
NQ,1h,bull,phase1-v1.0.0,2026-07-06 13:00:00-04:00,2026-07-06 14:00:00-04:00,29882.25,29896.75,29882.25,29896.75,14.5,47.75,92.25,154.5,0.15718157181571815,0.09385113268608414,20.0,,,2026-07-06 15:00:00-04:00,2026-07-06 15:00:00-04:00,,,body_overlap,2026-07-06 15:00:00-04:00,False,False,25,True,8433
