instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,1m,bear,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,29730.25,29736.0,29736.0,29730.25,5.75,0.0,11.0,16.75,0.5227272727272727,0.34328358208955223,90.0,85.0,82.5,2026-07-06 00:01:00-04:00,2026-07-06 00:05:00-04:00,2026-07-06 00:05:00-04:00,2026-07-06 00:01:00-04:00,body_overlap,2026-07-06 00:05:00-04:00,False,False,25,True,504905
NQ,1m,bull,phase1-v1.0.0,2026-07-05 23:59:00-04:00,2026-07-06 00:00:00-04:00,29719.25,29719.25,29719.25,29719.25,0.0,5.75,11.0,16.75,0.0,0.0,0.0,0.0,2.5,2026-07-06 00:01:00-04:00,2026-07-06 00:01:00-04:00,2026-07-06 00:01:00-04:00,,body_overlap,2026-07-06 00:01:00-04:00,False,False,25,True,504905
NQ,1m,bear,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,29730.25,29732.5,29732.5,29730.25,2.25,8.75,18.5,29.5,0.12162162162162163,0.07627118644067797,60.0,45.0,45.0,2026-07-06 00:05:00-04:00,2026-07-06 00:05:00-04:00,2026-07-06 00:05:00-04:00,,body_overlap,2026-07-06 00:05:00-04:00,False,False,25,True,504906
NQ,1m,bull,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 00:01:00-04:00,29703.0,29711.75,29703.0,29711.75,8.75,2.25,18.5,29.5,0.47297297297297297,0.2966101694915254,100.0,95.0,97.5,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,,,body_overlap,2026-07-06 00:03:00-04:00,False,False,25,True,504906
NQ,1m,bear,phase1-v1.0.0,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,29714.75,29721.0,29721.0,29714.75,6.25,4.75,2.0,13.0,3.125,0.4807692307692308,90.0,85.0,88.75,2026-07-06 00:04:00-04:00,2026-07-06 00:04:00-04:00,2026-07-06 00:04:00-04:00,,body_overlap,2026-07-06 00:04:00-04:00,False,False,25,True,504907
NQ,1m,bull,phase1-v1.0.0,2026-07-06 00:01:00-04:00,2026-07-06 00:02:00-04:00,29708.0,29712.75,29708.0,29712.75,4.75,6.25,2.0,13.0,2.375,0.36538461538461536,50.0,45.0,62.5,2026-07-06 00:03:00-04:00,2026-07-06 00:03:00-04:00,2026-07-06 00:03:00-04:00,,body_overlap,2026-07-06 00:03:00-04:00,False,False,25,True,504907
NQ,1m,bear,phase1-v1.0.0,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,29713.5,29714.75,29714.75,29713.5,1.25,3.5,2.5,7.25,0.5,0.1724137931034483,40.0,30.0,28.75,2026-07-06 00:04:00-04:00,2026-07-06 00:04:00-04:00,2026-07-06 00:04:00-04:00,,body_overlap,2026-07-06 00:04:00-04:00,False,False,25,True,504908
NQ,1m,bull,phase1-v1.0.0,2026-07-06 00:02:00-04:00,2026-07-06 00:03:00-04:00,29707.5,29711.0,29707.5,29711.0,3.5,1.25,2.5,7.25,1.4,0.4827586206896552,20.0,30.0,51.25,2026-07-06 00:04:00-04:00,2026-07-06 00:04:00-04:00,2026-07-06 00:04:00-04:00,,body_overlap,2026-07-06 00:04:00-04:00,False,False,25,True,504908
NQ,1m,bear,phase1-v1.0.0,2026-07-06 00:03:00-04:00,2026-07-06 00:04:00-04:00,29723.25,29725.0,29725.0,29723.25,1.75,2.5,14.75,19.0,0.11864406779661017,0.09210526315789473,55.0,42.5,37.5,2026-07-06 00:05:00-04:00,2026-07-06 00:05:00-04:00,,,body_overlap,2026-07-06 00:05:00-04:00,False,False,25,True,504909
NQ,1m,bull,phase1-v1.0.0,2026-07-06 00:03:00-04:00,2026-07-06 00:04:00-04:00,29706.0,29708.5,29706.0,29708.5,2.5,1.75,14.75,19.0,0.1694915254237288,0.13157894736842105,10.0,20.0,33.75,2026-07-06 23:28:00-04:00,,2026-07-06 23:28:00-04:00,,wick_traversal_beyond_far,2026-07-06 23:28:00-04:00,False,False,25,True,504909
NQ,1m,bear,phase1-v1.0.0,2026-07-06 00:04:00-04:00,2026-07-06 00:05:00-04:00,29732.5,29738.5,29738.5,29732.5,6.0,0.0,8.5,14.5,0.7058823529411765,0.41379310344827586,90.0,85.0,85.0,2026-07-06 00:06:00-04:00,2026-07-06 00:06:00-04:00,2026-07-06 00:06:00-04:00,,body_overlap,2026-07-06 00:06:00-04:00,False,False,25,True,504910
NQ,1m,bull,phase1-v1.0.0,2026-07-06 00:04:00-04:00,2026-07-06 00:05:00-04:00,29724.0,29724.0,29724.0,29724.0,0.0,6.0,8.5,14.5,0.0,0.0,5.0,2.5,2.5,2026-07-06 00:10:00-04:00,2026-07-06 00:10:00-04:00,2026-07-06 00:10:00-04:00,,body_overlap,2026-07-06 00:10:00-04:00,False,False,25,True,504910
