instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,atr_value,atr_availability_et,body_atr,range_atr,dwick_atr,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,4h,bear,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,29987.75,30004.75,30004.75,29987.75,17.0,47.25,257.5,321.75,0.06601941747572816,0.05283605283605284,256.48214285714283,2026-07-05 20:00:00-04:00,1.0039685302513404,1.2544732994499757,0.06628141753115645,30.0,25.0,22.5,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,,body_overlap,2026-07-06 12:00:00-04:00,False,False,6,True,2413
NQ,4h,bull,phase1-v1.0.0,2026-07-05 20:00:00-04:00,2026-07-06 00:00:00-04:00,29683.0,29730.25,29683.0,29730.25,47.25,17.0,257.5,321.75,0.18349514563106797,0.14685314685314685,256.48214285714283,2026-07-05 20:00:00-04:00,1.0039685302513404,1.2544732994499757,0.18422335166747897,30.0,35.0,32.5,2026-07-06 04:00:00-04:00,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,2026-07-06 04:00:00-04:00,body_overlap,2026-07-07 00:00:00-04:00,False,False,6,True,2413
NQ,4h,bear,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,29852.5,29876.25,29876.25,29852.5,23.75,27.25,122.25,173.25,0.19427402862985685,0.1370851370851371,268.94642857142856,2026-07-06 00:00:00-04:00,0.45455149060487354,0.6441803333112012,0.08830754929951531,40.0,40.0,32.5,2026-07-06 08:00:00-04:00,2026-07-06 08:00:00-04:00,2026-07-06 08:00:00-04:00,,body_overlap,2026-07-06 08:00:00-04:00,False,False,6,True,2414
NQ,4h,bull,phase1-v1.0.0,2026-07-06 00:00:00-04:00,2026-07-06 04:00:00-04:00,29703.0,29730.25,29703.0,29730.25,27.25,23.75,122.25,173.25,0.2229038854805726,0.15728715728715728,268.94642857142856,2026-07-06 00:00:00-04:00,0.45455149060487354,0.6441803333112012,0.1013212934068123,25.0,27.5,13.75,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,,body_overlap,2026-07-07 00:00:00-04:00,False,False,6,True,2414
NQ,4h,bear,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,29877.75,29915.0,29915.0,29877.75,37.25,72.75,25.0,135.0,1.49,0.2759259259259259,268.0357142857143,2026-07-06 04:00:00-04:00,0.0932711525649567,0.5036642238507661,0.1389740173217855,50.0,55.0,52.5,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,2026-07-06 12:00:00-04:00,,body_overlap,2026-07-06 12:00:00-04:00,False,False,6,True,2415
NQ,4h,bull,phase1-v1.0.0,2026-07-06 04:00:00-04:00,2026-07-06 08:00:00-04:00,29780.0,29852.75,29780.0,29852.75,72.75,37.25,25.0,135.0,2.91,0.5388888888888889,268.0357142857143,2026-07-06 04:00:00-04:00,0.0932711525649567,0.5036642238507661,0.271419053964024,70.0,60.0,47.5,2026-07-06 12:00:00-04:00,,2026-07-06 12:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 12:00:00-04:00,False,False,6,True,2415
NQ,4h,bear,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,30074.25,30083.75,30083.75,30074.25,9.5,102.75,195.25,307.5,0.04865556978233035,0.030894308943089432,265.14285714285717,2026-07-06 08:00:00-04:00,0.7363954741379309,1.1597521551724137,0.03582974137931034,10.0,10.0,17.5,2026-07-06 16:00:00-04:00,,2026-07-06 16:00:00-04:00,,wick_traversal_beyond_far,2026-07-06 16:00:00-04:00,False,False,6,True,2416
NQ,4h,bull,phase1-v1.0.0,2026-07-06 08:00:00-04:00,2026-07-06 12:00:00-04:00,29776.25,29879.0,29776.25,29879.0,102.75,9.5,195.25,307.5,0.5262483994878361,0.33414634146341465,265.14285714285717,2026-07-06 08:00:00-04:00,0.7363954741379309,1.1597521551724137,0.3875269396551724,90.0,85.0,67.5,2026-07-06 20:00:00-04:00,2026-07-06 20:00:00-04:00,,,body_overlap,2026-07-06 20:00:00-04:00,False,False,6,True,2416
NQ,4h,bear,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,30074.0,30094.0,30094.0,30074.0,20.0,69.5,122.25,211.75,0.16359918200409,0.09445100354191263,278.69642857142856,2026-07-06 12:00:00-04:00,0.43864932402127255,0.7597872749407317,0.0717626705965272,40.0,35.0,30.0,2026-07-10 16:00:00-04:00,,,,,,True,False,6,True,2417
NQ,4h,bull,phase1-v1.0.0,2026-07-06 12:00:00-04:00,2026-07-06 16:00:00-04:00,29882.25,29951.75,29882.25,29951.75,69.5,20.0,122.25,211.75,0.5685071574642127,0.3282172373081464,278.69642857142856,2026-07-06 12:00:00-04:00,0.43864932402127255,0.7597872749407317,0.24937528032293202,60.0,55.0,47.5,2026-07-06 20:00:00-04:00,2026-07-06 20:00:00-04:00,2026-07-06 20:00:00-04:00,,body_overlap,2026-07-06 20:00:00-04:00,False,False,6,True,2417
NQ,4h,bear,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,29951.25,29973.75,29973.75,29951.25,22.5,13.0,99.0,134.5,0.22727272727272727,0.16728624535315986,271.875,2026-07-06 16:00:00-04:00,0.3641379310344828,0.4947126436781609,0.08275862068965517,50.0,45.0,32.5,2026-07-09 16:00:00-04:00,,2026-07-09 16:00:00-04:00,,wick_traversal_beyond_far,2026-07-09 16:00:00-04:00,False,False,6,False,2418
NQ,4h,bull,phase1-v1.0.0,2026-07-06 16:00:00-04:00,2026-07-06 20:00:00-04:00,29839.25,29852.25,29839.25,29852.25,13.0,22.5,99.0,134.5,0.13131313131313133,0.09665427509293681,271.875,2026-07-06 16:00:00-04:00,0.3641379310344828,0.4947126436781609,0.04781609195402299,10.0,10.0,10.0,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,2026-07-07 00:00:00-04:00,,body_overlap,2026-07-07 00:00:00-04:00,False,False,6,False,2418
NQ,4h,bear,phase1-v1.0.0,2026-07-06 20:00:00-04:00,2026-07-07 00:00:00-04:00,29851.0,29914.25,29914.25,29851.0,63.25,40.0,182.75,286.0,0.34610123119015046,0.22115384615384615,271.875,2026-07-06 20:00:00-04:00,0.672183908045977,1.0519540229885058,0.23264367816091955,90.0,85.0,77.5,2026-07-09 12:00:00-04:00,2026-07-09 12:00:00-04:00,2026-07-09 12:00:00-04:00,,body_overlap,2026-07-09 12:00:00-04:00,False,False,6,True,2419
NQ,4h,bull,phase1-v1.0.0,2026-07-06 20:00:00-04:00,2026-07-07 00:00:00-04:00,29628.25,29668.25,29628.25,29668.25,40.0,63.25,182.75,286.0,0.2188782489740082,0.13986013986013987,271.875,2026-07-06 20:00:00-04:00,0.672183908045977,1.0519540229885058,0.1471264367816092,30.0,25.0,25.0,2026-07-07 04:00:00-04:00,2026-07-07 04:00:00-04:00,2026-07-07 04:00:00-04:00,,body_overlap,2026-07-07 04:00:00-04:00,False,False,6,True,2419
