instrument,tf,direction,param_version,source_open_et,availability_et,zone_lower,zone_upper,far_boundary,near_boundary,directional_wick_len,opposite_wick_len,body_len,total_range,dwick_body_ratio,dwick_range_ratio,dwick_pctile_prev10,dwick_pctile_prev20,dwick_pctile_prev40,first_partial_wick_entry_et,first_body_overlap_et,first_complete_traversal_et,exact_boundary_body_touch_et,invalidation_reason,invalidation_et,still_valid_end_of_data,untested_through_jul10,segment_id,source_complete,source_index
NQ,daily,bear,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,29987.75,30094.0,30094.0,29987.75,106.25,264.75,40.0,411.0,2.65625,0.25851581508515814,,,,2026-07-09 17:00:00-04:00,2026-07-10 17:00:00-04:00,,,body_overlap,2026-07-10 17:00:00-04:00,False,False,25,False,372
NQ,daily,bull,phase1-v1.0.0,2026-07-05 18:00:00-04:00,2026-07-06 17:00:00-04:00,29683.0,29947.75,29683.0,29947.75,264.75,106.25,40.0,411.0,6.61875,0.6441605839416058,,,,2026-07-07 17:00:00-04:00,2026-07-07 17:00:00-04:00,2026-07-07 17:00:00-04:00,,body_overlap,2026-07-07 17:00:00-04:00,False,False,25,False,372
NQ,daily,bear,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,29960.0,29973.75,29973.75,29960.0,13.75,209.5,540.5,763.75,0.02543940795559667,0.01800327332242226,,,,2026-07-09 17:00:00-04:00,,2026-07-09 17:00:00-04:00,,wick_traversal_beyond_far,2026-07-09 17:00:00-04:00,False,False,25,True,373
NQ,daily,bull,phase1-v1.0.0,2026-07-06 18:00:00-04:00,2026-07-07 17:00:00-04:00,29210.0,29419.5,29210.0,29419.5,209.5,13.75,540.5,763.75,0.3876040703052729,0.27430441898527,,,,2026-07-08 17:00:00-04:00,2026-07-08 17:00:00-04:00,2026-07-08 17:00:00-04:00,,body_overlap,2026-07-08 17:00:00-04:00,False,False,25,True,373
NQ,daily,bear,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,29391.25,29558.75,29558.75,29391.25,167.5,464.0,17.5,649.0,9.571428571428571,0.2580893682588598,,,,2026-07-09 17:00:00-04:00,2026-07-09 17:00:00-04:00,,,body_overlap,2026-07-09 17:00:00-04:00,False,False,25,True,374
NQ,daily,bull,phase1-v1.0.0,2026-07-07 18:00:00-04:00,2026-07-08 17:00:00-04:00,28909.75,29373.75,28909.75,29373.75,464.0,167.5,17.5,649.0,26.514285714285716,0.7149460708782742,,,,,,,,,,True,True,25,True,374
NQ,daily,bear,phase1-v1.0.0,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,29931.25,29993.5,29993.5,29931.25,62.25,17.0,519.25,598.5,0.11988444872412132,0.10401002506265664,,,,2026-07-10 17:00:00-04:00,2026-07-10 17:00:00-04:00,2026-07-10 17:00:00-04:00,,body_overlap,2026-07-10 17:00:00-04:00,False,False,25,True,375
NQ,daily,bull,phase1-v1.0.0,2026-07-08 18:00:00-04:00,2026-07-09 17:00:00-04:00,29395.0,29412.0,29395.0,29412.0,17.0,62.25,519.25,598.5,0.0327395281656235,0.028404344193817876,,,,,,,,,,True,True,25,True,375
NQ,daily,bear,phase1-v1.0.0,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,30068.5,30077.75,30077.75,30068.5,9.25,262.75,130.75,402.75,0.07074569789674952,0.022967101179391682,,,,,,,,,,True,True,25,True,376
NQ,daily,bull,phase1-v1.0.0,2026-07-09 18:00:00-04:00,2026-07-10 17:00:00-04:00,29675.0,29937.75,29675.0,29937.75,262.75,9.25,130.75,402.75,2.0095602294455066,0.6523898199875854,,,,2026-07-13 17:00:00-04:00,2026-07-13 17:00:00-04:00,,,body_overlap,2026-07-13 17:00:00-04:00,False,True,25,True,376
