instrument,param_version,session_globex_day,selected_contract,evidence_session,is_bootstrap,decision_timestamp_et,selected_evidence_volume,evidence_session_volumes,current_session_volumes
NQ,phase1-v1.0.0,2025-01-02,NQH5,,True,,,{},"{""NQH5"": 658865, ""NQM5"": 1303}"
NQ,phase1-v1.0.0,2025-01-03,NQH5,2025-01-02,False,2025-01-02 17:00:00-05:00,658865.0,"{""NQH5"": 658865, ""NQM5"": 1303}","{""NQH5"": 479425, ""NQM5"": 694}"
NQ,phase1-v1.0.0,2025-01-06,NQH5,2025-01-03,False,2025-01-05 17:00:00-05:00,479425.0,"{""NQH5"": 479425, ""NQM5"": 694}","{""NQH5"": 562263, ""NQM5"": 713, ""NQU5"": 1}"
NQ,phase1-v1.0.0,2025-01-07,NQH5,2025-01-06,False,2025-01-06 17:00:00-05:00,562263.0,"{""NQH5"": 562263, ""NQM5"": 713, ""NQU5"": 1}","{""NQH5"": 632574, ""NQM5"": 1221}"
NQ,phase1-v1.0.0,2025-01-08,NQH5,2025-01-07,False,2025-01-07 17:00:00-05:00,632574.0,"{""NQH5"": 632574, ""NQM5"": 1221}","{""NQH5"": 626784, ""NQM5"": 1540}"
NQ,phase1-v1.0.0,2025-01-09,NQH5,2025-01-08,False,2025-01-08 17:00:00-05:00,626784.0,"{""NQH5"": 626784, ""NQM5"": 1540}","{""NQH5"": 77136, ""NQM5"": 121}"
NQ,phase1-v1.0.0,2025-01-10,NQH5,2025-01-09,False,2025-01-09 17:00:00-05:00,77136.0,"{""NQH5"": 77136, ""NQM5"": 121}","{""NQH5"": 691607, ""NQM5"": 1192, ""NQU5"": 10}"
NQ,phase1-v1.0.0,2025-01-13,NQH5,2025-01-10,False,2025-01-12 17:00:00-05:00,691607.0,"{""NQH5"": 691607, ""NQM5"": 1192, ""NQU5"": 10}","{""NQH5"": 606692, ""NQM5"": 1952, ""NQZ5"": 6}"
NQ,phase1-v1.0.0,2025-01-14,NQH5,2025-01-13,False,2025-01-13 17:00:00-05:00,606692.0,"{""NQH5"": 606692, ""NQM5"": 1952, ""NQZ5"": 6}","{""NQH5"": 664463, ""NQM5"": 1243}"
NQ,phase1-v1.0.0,2025-01-15,NQH5,2025-01-14,False,2025-01-14 17:00:00-05:00,664463.0,"{""NQH5"": 664463, ""NQM5"": 1243}","{""NQH5"": 543896, ""NQM5"": 876, ""NQU5"": 6}"
NQ,phase1-v1.0.0,2025-01-16,NQH5,2025-01-15,False,2025-01-15 17:00:00-05:00,543896.0,"{""NQH5"": 543896, ""NQM5"": 876, ""NQU5"": 6}","{""NQH5"": 586335, ""NQM5"": 803, ""NQU5"": 13}"
NQ,phase1-v1.0.0,2025-01-17,NQH5,2025-01-16,False,2025-01-16 17:00:00-05:00,586335.0,"{""NQH5"": 586335, ""NQM5"": 803, ""NQU5"": 13}","{""NQH5"": 580291, ""NQM5"": 617, ""NQU5"": 1}"
NQ,phase1-v1.0.0,2025-01-20,NQH5,2025-01-17,False,2025-01-19 17:00:00-05:00,580291.0,"{""NQH5"": 580291, ""NQM5"": 617, ""NQU5"": 1}","{""NQH5"": 155116, ""NQM5"": 312, ""NQU5"": 1}"
NQ,phase1-v1.0.0,2025-01-21,NQH5,2025-01-20,False,2025-01-20 17:00:00-05:00,155116.0,"{""NQH5"": 155116, ""NQM5"": 312, ""NQU5"": 1}","{""NQH5"": 499679, ""NQM5"": 693, ""NQU5"": 1}"
