context_conditions,n_context_conditions,occurrence_id,setup_def_version,tf,session_globex_day,segment_id,direction,origin_family,origin_object_id,origin_extreme,trigger_object_id,trigger_index,C_index,trigger_ts_et,availability_et,entry,structural_stop,structural_target,target_kind,risk_points,risk_atr,target_R,expiry_E_bars,resolve_H_1m,exact_graph,reduced_graph,broad_family,structural_score,sc_context_coherence,sc_trigger_clarity,sc_displacement_quality,sc_freshness,sc_invalidation_clarity,sc_target_room,sc_contradiction,primitive_ids,outcome,entry_fill_et,resolution_et,realized_R,favorable,mfe_R,mae_R,time_to_target_min,time_to_invalidation_min,target_still_valid,feat_direction,feat_session,feat_origin_family,feat_time_anchor,feat_displacement_atr,feat_path_efficiency,feat_fvg_tf,feat_fvg_width_atr,feat_vwap_side,feat_nearest_vwap_band,feat_nearest_band_dist_atr,feat_level_family,feat_target_distance_R,feat_opposing_distance_atr,feat_volatility_bucket,feat_risk_atr,prior_global_p,prior_global_R,exact_n,exact_wins,exact_losses,exact_fav_rate,exact_mean_R,reduced_n,reduced_fav_rate,reduced_mean_R,broad_n,broad_fav_rate,broad_mean_R,global_n,w_exact,w_reduced,w_broad,shrunk_favorable_probability,shrunk_expected_R,evidence_count,effective_sample_size,uncertainty_halfwidth,final_predicted_class
origin=LIQ_SWEEP | anchor=asia_open,2,OC-5m-20260615T1800-S-LIQ,cg-recognizer-v1.0.0,5m,2026-06-16,6,short,LIQ_SWEEP,LVL-6-2026-06-16-candle_0900_high,30835.0,FVG-5m-bear-20260615T1815,32055,32058,2026-06-15 18:00:00-04:00,2026-06-15 18:20:00-04:00,30804.5,30830.0,30800.5,level,25.5,1.232,0.157,20,120,LIQ_SWEEP(candle_0900_high)|short|5m->DISP->FVG_bear->FILL,ORIGIN_LIQ_SWEEP|short|5m->DISPLACEMENT->FVG_RETEST,LIQ_SWEEP|short,62.615,1.0,0.625,0.7555,1.0,0.7602,0.0523,0.8067,ORIGIN:LVL-6-2026-06-16-candle_0900_high ; TRIGGER_FVG:FVG-5m-bear-20260615T1815,WIN,2026-06-15 18:50:00-04:00,2026-06-15 18:50:00-04:00,0.1568627450980392,True,1.147,0.127,0.0,,True,short,2026-06-16,LIQ_SWEEP,asia_open,2.79,0.511,5m,1.232,,,,LIQ_SWEEP,0.157,0.193,normal,1.232,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-5m-20260615T2045-S-FVG,cg-recognizer-v1.0.0,5m,2026-06-16,6,short,FVG_FAILURE,FVG-5m-bull-20260615T1925,30811.25,FVG-5m-bear-20260615T2050,32088,32089,2026-06-15 20:45:00-04:00,2026-06-15 20:55:00-04:00,30790.5,30805.75,30765.25,level,15.25,0.557,1.656,20,120,FVG_FAILURE(20260615T1925)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,76.961,1.0,0.8896,0.6389,1.0,0.9753,0.5519,0.0776,ORIGIN:FVG-5m-bull-20260615T1925 ; TRIGGER_FVG:FVG-5m-bear-20260615T2050,WIN,2026-06-15 20:56:00-04:00,2026-06-15 21:07:00-04:00,1.6557377049180328,True,1.787,0.443,11.0,,True,short,2026-06-16,FVG_FAILURE,off_anchor,1.279,0.426,5m,0.557,,,,,1.656,0.922,normal,0.557,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-5m-20260615T2250-S-FVG,cg-recognizer-v1.0.0,5m,2026-06-16,6,short,FVG_FAILURE,FVG-5m-bull-20260615T2235,30793.25,FVG-5m-bear-20260615T2255,32113,32114,2026-06-15 22:50:00-04:00,2026-06-15 23:00:00-04:00,30790.75,30792.5,30765.25,level,1.75,0.11,14.571,20,120,FVG_FAILURE(20260615T2235)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,70.271,1.0,0.5693,0.4956,1.0,0.4341,1.0,0.0,ORIGIN:FVG-5m-bull-20260615T2235 ; TRIGGER_FVG:FVG-5m-bear-20260615T2255,LOSS,2026-06-15 23:05:00-04:00,2026-06-15 23:06:00-04:00,-1.0,False,2.143,4.571,,1.0,True,short,2026-06-16,FVG_FAILURE,off_anchor,0.973,0.343,5m,0.11,,,,,14.571,1.601,low,0.11,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-15m-20260615T2315-L-FVG,cg-recognizer-v1.0.0,15m,2026-06-16,6,long,FVG_FAILURE,FVG-15m-bear-20260615T2100,30805.75,FVG-15m-bull-20260615T2330,10706,10707,2026-06-15 23:15:00-04:00,2026-06-15 23:45:00-04:00,30813.25,30798.75,30819.0,level,14.5,0.416,0.397,20,120,FVG_FAILURE(20260615T2100)|long|15m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|15m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,70.928,1.0,0.9871,0.7815,1.0,0.8777,0.1322,0.8351,ORIGIN:FVG-15m-bear-20260615T2100 ; TRIGGER_FVG:FVG-15m-bull-20260615T2330,WIN,2026-06-16 00:19:00-04:00,2026-06-16 00:20:00-04:00,0.39655172413793105,True,0.397,0.293,1.0,,True,long,2026-06-16,FVG_FAILURE,off_anchor,1.763,0.563,15m,0.416,,,,,0.397,0.165,normal,0.416,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-5m-20260615T2315-L-FVG,cg-recognizer-v1.0.0,5m,2026-06-16,6,long,FVG_FAILURE,FVG-5m-bear-20260615T2255,30792.5,FVG-5m-bull-20260615T2320,32118,32119,2026-06-15 23:15:00-04:00,2026-06-15 23:25:00-04:00,30795.75,30794.25,30799.0,level,1.5,0.11,2.167,20,120,FVG_FAILURE(20260615T2255)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,66.342,1.0,0.57,0.6568,1.0,0.4348,0.7222,0.7615,ORIGIN:FVG-5m-bear-20260615T2255 ; TRIGGER_FVG:FVG-5m-bull-20260615T2320,AMBIGUOUS,2026-06-16 00:51:00-04:00,2026-06-16 00:51:00-04:00,,False,4.667,1.0,,,True,long,2026-06-16,FVG_FAILURE,off_anchor,1.394,0.384,5m,0.11,,,,,2.167,0.239,low,0.11,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-5m-20260615T2320-L-FVG,cg-recognizer-v1.0.0,5m,2026-06-16,6,long,FVG_FAILURE,FVG-5m-bear-20260615T2050,30805.75,FVG-5m-bull-20260615T2325,32119,32120,2026-06-15 23:20:00-04:00,2026-06-15 23:30:00-04:00,30810.0,30801.0,30819.0,level,9.0,0.661,1.0,20,120,FVG_FAILURE(20260615T2050)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,75.917,1.0,0.8324,0.818,1.0,0.9675,0.3333,0.3386,ORIGIN:FVG-5m-bear-20260615T2050 ; TRIGGER_FVG:FVG-5m-bull-20260615T2325,WIN,2026-06-16 00:19:00-04:00,2026-06-16 00:20:00-04:00,1.0,True,1.0,0.111,1.0,,True,long,2026-06-16,FVG_FAILURE,off_anchor,2.407,0.636,5m,0.661,,,,,1.0,0.661,low,0.661,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-5m-20260616T0100-L-FVG,cg-recognizer-v1.0.0,5m,2026-06-16,6,long,FVG_FAILURE,FVG-5m-bear-20260616T0050,30815.5,FVG-5m-bull-20260616T0105,32139,32140,2026-06-16 01:00:00-04:00,2026-06-16 01:10:00-04:00,30820.25,30818.25,30830.0,level,2.0,0.136,4.875,20,120,FVG_FAILURE(20260616T0050)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,77.82,1.0,0.6402,0.7941,1.0,0.5051,1.0,0.3374,ORIGIN:FVG-5m-bear-20260616T0050 ; TRIGGER_FVG:FVG-5m-bull-20260616T0105,LOSS,2026-06-16 01:33:00-04:00,2026-06-16 01:33:00-04:00,-1.0,False,4.125,6.125,,0.0,True,long,2026-06-16,FVG_FAILURE,off_anchor,1.869,0.588,5m,0.136,,,,,4.875,0.663,normal,0.136,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-15m-20260616T0130-S-FVG,cg-recognizer-v1.0.0,15m,2026-06-16,6,short,FVG_FAILURE,FVG-15m-bull-20260616T0115,30830.0,FVG-15m-bear-20260616T0145,10715,10716,2026-06-16 01:30:00-04:00,2026-06-16 02:00:00-04:00,30826.0,30830.0,30812.0,level,4.0,0.147,3.5,20,120,FVG_FAILURE(20260616T0115)|short|15m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|15m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,70.326,1.0,0.6661,0.4982,1.0,0.5309,1.0,0.4859,ORIGIN:FVG-15m-bull-20260616T0115 ; TRIGGER_FVG:FVG-15m-bear-20260616T0145,LOSS,2026-06-16 02:04:00-04:00,2026-06-16 02:05:00-04:00,-1.0,False,1.125,2.188,,1.0,True,short,2026-06-16,FVG_FAILURE,off_anchor,1.001,0.329,15m,0.147,,,,,3.5,0.514,low,0.147,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-5m-20260616T0130-S-FVG,cg-recognizer-v1.0.0,5m,2026-06-16,6,short,FVG_FAILURE,FVG-5m-bull-20260616T0105,30820.25,FVG-5m-bear-20260616T0135,32145,32146,2026-06-16 01:30:00-04:00,2026-06-16 01:40:00-04:00,30817.75,30830.0,30812.0,level,12.25,0.776,0.469,20,120,FVG_FAILURE(20260616T0105)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,66.708,1.0,0.7791,0.6684,1.0,0.9143,0.1565,0.6357,ORIGIN:FVG-5m-bull-20260616T0105 ; TRIGGER_FVG:FVG-5m-bear-20260616T0135,WIN,2026-06-16 01:45:00-04:00,2026-06-16 01:45:00-04:00,0.46938775510204084,True,0.694,0.265,0.0,,True,short,2026-06-16,FVG_FAILURE,off_anchor,1.52,0.337,5m,0.776,,,,,0.469,0.364,normal,0.776,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
origin=FVG_FAILURE | anchor=off_anchor,2,OC-5m-20260616T0130-S-FVG,cg-recognizer-v1.0.0,5m,2026-06-16,6,short,FVG_FAILURE,FVG-5m-bull-20260616T0115,30832.5,FVG-5m-bear-20260616T0135,32145,32146,2026-06-16 01:30:00-04:00,2026-06-16 01:40:00-04:00,30817.75,30830.0,30812.0,level,12.25,0.776,0.469,20,120,FVG_FAILURE(20260616T0115)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,66.708,1.0,0.7791,0.6684,1.0,0.9143,0.1565,0.6357,ORIGIN:FVG-5m-bull-20260616T0115 ; TRIGGER_FVG:FVG-5m-bear-20260616T0135,WIN,2026-06-16 01:45:00-04:00,2026-06-16 01:45:00-04:00,0.46938775510204084,True,0.694,0.265,0.0,,True,short,2026-06-16,FVG_FAILURE,off_anchor,1.52,0.337,5m,0.776,,,,,0.469,0.364,normal,0.776,0.5,0.0,0,0,0,,,0,,,0,,,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.98,INSUFFICIENT_EVIDENCE
